Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gerencia I,E,2020-03-30,Clase 30 Marzo,1:31:08,https://ca.bbcollab.com/recording/8c5ef9b5967e4d3eacde18b46b044479
Gerencia I,E,2020-04-01,Clase 01 de abril,1:34:58,https://ca.bbcollab.com/recording/478af2b6e528482681ffbf58d8b67be3
Gerencia I,E,2020-04-06,Clase 06 abril,1:36:14,https://ca.bbcollab.com/recording/5ad899740bbd48cf8f78fb5e43e17bd1
Gerencia I,E,2020-04-08,Clase 08 de abril,2:17:28,https://ca.bbcollab.com/recording/b58a5f2afe6549d0806d343d39d40339
Gerencia I,E,2020-04-13,CLASE13 ABRIL,1:35:21,https://ca.bbcollab.com/recording/9d68d7384c234b38a1958fd3f23f1ac0
Gerencia I,E,2020-04-15,CLASE 15 DE ABRIL,2:08:44,https://ca.bbcollab.com/recording/d18603e8a3004f3eb70b2854576a929c
Gerencia I,E,2020-04-20,CLASE 20 ABRIL,2:03:46,https://ca.bbcollab.com/recording/b535db564dcf4381baff1d49bd1869d9
Gerencia I,E,2020-04-22,CLASE 22 ABRIL,1:22:51,https://ca.bbcollab.com/recording/8c3a187dcfea4962bccb1b796be9f3c0
Gerencia I,E,2020-04-27,CLASE 27 DE ABRIL,2:21:42,https://ca.bbcollab.com/recording/fc38e58f09e2404bbc883d1cbd999da6
Gerencia I,E,2020-04-29,C,1:21:15,https://ca.bbcollab.com/recording/25f880eb60994b56981ead752fdcde93
Gerencia I,E,2020-05-04,CLASE 4 DE MAYO,1:04:13,https://ca.bbcollab.com/recording/b4be0180f3394d6b83382a265b021f4e
Gerencia I,E,2020-05-06,CLASE 6 DE MAYO,1:55:24,https://ca.bbcollab.com/recording/4e2fc11f52234472ae0172de85ee6f7a
Gerencia I,E,2020-05-11,CLESE 11 ABRIL,0:32:19,https://ca.bbcollab.com/recording/7b45fe3d2a1b41df8bf1776d7f71ff24
Gerencia I,E,2020-05-13,clase 13 mayo,1:06:03,https://ca.bbcollab.com/recording/7d79acef47d143b3be3ff1a8c44c841e
Gerencia I,E,2020-05-25,CLASE 25 DE MAYO,1:27:19,https://ca.bbcollab.com/recording/c58b9c7649a044528a5b48ab23ee925a
Gerencia I,E,2020-05-27,CLASE 27 DE MAYO,1:28:55,https://ca.bbcollab.com/recording/c7fefdb7ed904ddeaf624087104d6021
Gerencia I,E,2020-06-01,CLASE 1 JUNIO,2:14:17,https://ca.bbcollab.com/recording/bc968174cb654da191fcfa02108eba40
Gerencia I,E,2020-06-03,CLASE 3 DE JUNIO,1:29:39,https://ca.bbcollab.com/recording/31112499506a49b0bbee278fe452d5a6
Gerencia I,E,2020-06-08,clase 08 de junio,1:28:04,https://ca.bbcollab.com/recording/477da07421244b558cd1743a6b9b603c
Gerencia I,E,2020-06-10,clase 10 de junio,1:45:48,https://ca.bbcollab.com/recording/f38a1882259f42cd90cb1dc1fa6e44d4
Gerencia I,E,2020-06-15,CLASE 15 DE JUNIO,1:05:52,https://ca.bbcollab.com/recording/30a5bdf09f434b8fa302d79be95a3991
Gerencia I,E,2020-06-17,CLASE 17 DE JUNIO,1:27:07,https://ca.bbcollab.com/recording/50691fcfe8c24c7ab2ca7d554a0293c3
Gerencia I,E,2020-06-22,CLASE 22 DE JUNIO,1:28:39,https://ca.bbcollab.com/recording/1557320ad1ec41c4a1d6ade0a25150f9
Gerencia I,E,2020-06-24,CLASE 25 DE JUNIO,1:38:29,https://ca.bbcollab.com/recording/7a077e94c84941268d46aa8c44079129
Gerencia I,E,2020-06-29,CLASE 29 DE JUNIO,0:51:36,https://ca.bbcollab.com/recording/c4acafb9835742bfa36e273f6fc5e61d
Gerencia I,E,2020-07-01,clase 01 de julio,1:31:08,https://ca.bbcollab.com/recording/c1d683a68ab34083a81d23ce5fcd75d1
Gerencia I,E,2020-07-06,CLASE 06 DE JULIO,1:08:12,https://ca.bbcollab.com/recording/18fc28ab013f479d880038472d09a452
