Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gerencia I,F,2020-04-01,Gerencia I-F sesión 2,1:16:02,https://ca.bbcollab.com/recording/edf3bcbef6334d7daa2be84d026fa0a4
Gerencia I,F,2020-04-06,Gerencia I - F,1:31:29,https://ca.bbcollab.com/recording/8f8b947e3c3942c2ad0eb3411b257226
Gerencia I,F,2020-04-13,Gerencia I - F,1:24:07,https://ca.bbcollab.com/recording/a3239a9aaa104c838d4f6eb5c9905027
Gerencia I,F,2020-04-15,Gerencia I - F,1:15:12,https://ca.bbcollab.com/recording/fc62ba0b5d334d8c9c46e464b6c6a522
Gerencia I,F,2020-04-20,Gerencia I - F,1:43:32,https://ca.bbcollab.com/recording/a9d7359bc5d741a6907284eba667400b
Gerencia I,F,2020-04-22,Gerencia I - F,1:16:57,https://ca.bbcollab.com/recording/474f6f4115b64a91bfe8cb3fe8fd050d
Gerencia I,F,2020-04-22,Gerencia I - F,0:21:50,https://ca.bbcollab.com/recording/d0e98a68bba345c8a5f42b9f99a74467
Gerencia I,F,2020-04-27,Gerencia I - F,1:30:20,https://ca.bbcollab.com/recording/2835f1ad9cf04d2c8962f0a6f8b1311f
Gerencia I,F,2020-04-29,Gerencia I - F,1:31:50,https://ca.bbcollab.com/recording/5cd4baef62be4d5b9583b0ef5ba4d2db
Gerencia I,F,2020-05-06,Gerencia I - F,0:14:22,https://ca.bbcollab.com/recording/1b1b294e095e4ca58aa52ff0edd99330
Gerencia I,F,2020-05-06,Gerencia I - F,0:28:46,https://ca.bbcollab.com/recording/d791ee4754de4e68977199c058cf7ae2
Gerencia I,F,2020-05-11,Gerencia I - F,0:01:59,https://ca.bbcollab.com/recording/50233b7960144ccaa16778196f95f177
Gerencia I,F,2020-05-11,Gerencia I - F,0:13:59,https://ca.bbcollab.com/recording/a7e955046f264974a3e0067ed3983cfe
Gerencia I,F,2020-05-11,Gerencia I - F,0:36:46,https://ca.bbcollab.com/recording/ba422a82e4674ddfb60d67d6ffe63c5d
Gerencia I,F,2020-05-13,Gerencia I - F,0:03:28,https://ca.bbcollab.com/recording/418235cdfb0047eab01e19fc5096a66b
Gerencia I,F,2020-05-13,Gerencia I - F,0:04:26,https://ca.bbcollab.com/recording/6982a7a3dec14e71b35b3f0c714081cd
Gerencia I,F,2020-05-13,Gerencia I - F,0:32:57,https://ca.bbcollab.com/recording/9374d98aebcf4a869d35a7d16919e5af
Gerencia I,F,2020-05-13,Gerencia I - F,0:00:49,https://ca.bbcollab.com/recording/e8a4ac8db6024950aa74a739b21322c6
Gerencia I,F,2020-05-25,Gerencia 1 - F,0:03:29,https://ca.bbcollab.com/recording/22758cf5fc0c42b3a953b3e470a7d465
Gerencia I,F,2020-05-27,Gerencia I - F,1:20:57,https://ca.bbcollab.com/recording/4a72507babd444dba990f15d867f4fe8
Gerencia I,F,2020-06-01,Gerencia I - F,1:31:34,https://ca.bbcollab.com/recording/7ea236cc53264a6e8d7d9cd02b9a380d
Gerencia I,F,2020-06-03,Gerencia I - F,1:41:53,https://ca.bbcollab.com/recording/c9bec3360c2048608bce5b6b5afc1eeb
Gerencia I,F,2020-06-08,Gerencia I - F,1:20:58,https://ca.bbcollab.com/recording/82bb290008c34e9cb32a8a2764fc439b
Gerencia I,F,2020-06-10,Gerencia I - F,1:30:01,https://ca.bbcollab.com/recording/4e0e02ecf9be4592bd55e0f4129f2735
Gerencia I,F,2020-06-17,Gerencia I - F,1:38:10,https://ca.bbcollab.com/recording/104b478d8fca40d2bf94128117ef32c5
Gerencia I,F,2020-06-22,Gerencia I - F,1:34:21,https://ca.bbcollab.com/recording/f172bde3cf7e4f509a2d6ffba48f6bba
Gerencia I,F,2020-06-24,Gerencia I - F,1:37:19,https://ca.bbcollab.com/recording/24de593dc8f24707aeea0c395c0402d3
Gerencia I,F,2020-07-01,Gerencia I - F,1:34:55,https://ca.bbcollab.com/recording/3d5314b857aa474d9e2a3211682f4862
Gerencia I,F,2020-07-06,Gerencia I - F,1:09:59,https://ca.bbcollab.com/recording/03a84289f72e4a74842125e4d2b08792
Gerencia I,F,2020-07-08,Gerencia I - F - Sustentación Final,0:45:26,https://ca.bbcollab.com/recording/1652d55f4b044692af8e75e306acb80e
