Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gerencia I,H,2020-04-22,Gerencia I grupo H,0:35:34,https://ca.bbcollab.com/recording/184adb5b990f4f96a7dc4ebea1eea886
Gerencia I,H,2020-04-29,Clase Gerencia I grupo H,0:11:58,https://ca.bbcollab.com/recording/8a672a4594fa44439fd0dadbc6d2b431
Gerencia I,H,2020-05-06,Clase Gerencia I-grupo H,1:10:04,https://ca.bbcollab.com/recording/dcbc62e0b06e4d319a27f9f95609549f
Gerencia I,H,2020-05-11,Gerencia I-H,0:04:01,https://ca.bbcollab.com/recording/e15506e969c24a7a9fc0e82559409338
Gerencia I,H,2020-05-25,Gerencia H lunes 25,0:08:51,https://ca.bbcollab.com/recording/d00fb8c5e8594678a8bcdd06b5bd8672
Gerencia I,H,2020-05-27,Gerencia H,1:02:04,https://ca.bbcollab.com/recording/a9cc31e40c5a447e8e75ac81b1790a49
Gerencia I,H,2020-06-01,Gerencia lunes,1:30:31,https://ca.bbcollab.com/recording/891f10c4a52e43efa90bda9ec60a0bc5
Gerencia I,H,2020-06-03,Gerencia,1:15:58,https://ca.bbcollab.com/recording/895ca4527bdd4f71b207d41085bde93c
Gerencia I,H,2020-06-08,Gerencia,1:29:12,https://ca.bbcollab.com/recording/85671b6d685a46d9b4536ca380ec400d
Gerencia I,H,2020-06-10,gerencia,0:23:00,https://ca.bbcollab.com/recording/786ac4cd29534fdeacb53a7faf4d0038
Gerencia I,H,2020-06-15,Gerencia,0:37:03,https://ca.bbcollab.com/recording/899604bdd29f4567ae4cf2ef64d5ed76
Gerencia I,H,2020-06-22,Gerencia,1:29:13,https://ca.bbcollab.com/recording/1163f39e97cf44b9a4fa4dc2b99396a8
Gerencia I,H,2020-06-24,gerencia,1:31:41,https://ca.bbcollab.com/recording/83d5f6b641124af2b11ddcfa20c63055
Gerencia I,H,2020-07-01,Gerencia,1:29:12,https://ca.bbcollab.com/recording/0ca37c8a783748ab8bae81a3f21388b8
Gerencia I,H,2020-07-06,Gerencia,0:59:39,https://ca.bbcollab.com/recording/801a5e7b481d43e7acbf8bbff036b36b
