Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión Estratégica de Costos,A,2020-04-07,Sesión,1:35:03,https://ca.bbcollab.com/recording/1a9d67a99b1444dfa87fec9dee3bf828
Gestión Estratégica de Costos,A,2020-04-14,Sesión 14.04.2020,1:35:54,https://ca.bbcollab.com/recording/6f25e292c58d4761858009be83ff4db2
Gestión Estratégica de Costos,A,2020-04-16,Sesión 16.04.2020,1:29:39,https://ca.bbcollab.com/recording/dbf24be7bb894f198357cb133e67bf05
Gestión Estratégica de Costos,A,2020-04-21,Sesión 21.04.2020,0:04:19,https://ca.bbcollab.com/recording/fb9897134b0a44958245d818c3c025e0
Gestión Estratégica de Costos,A,2020-04-28,"Sesión 28.04,2020",0:14:50,https://ca.bbcollab.com/recording/5de4c030c0b643179a7b4b7d3c1f55a1
Gestión Estratégica de Costos,A,2020-04-30,Sesión 30.04.2020,1:44:02,https://ca.bbcollab.com/recording/c02a5f409c614181b2bd31db8b004fff
Gestión Estratégica de Costos,A,2020-05-05,Sesión 05.05.2020,1:44:08,https://ca.bbcollab.com/recording/6d0c6aa7700a47c3b729908c5966375c
Gestión Estratégica de Costos,A,2020-05-07,Sesión 07.07.2020,1:41:57,https://ca.bbcollab.com/recording/75ff2bf00a75403783d7122ed54a59e1
Gestión Estratégica de Costos,A,2020-05-12,Sesión 12.05.2020,1:36:11,https://ca.bbcollab.com/recording/fdb4004a300d4ee78bc7a7ecd22cd91e
Gestión Estratégica de Costos,A,2020-05-14,Sesión 14.05.2020,1:13:42,https://ca.bbcollab.com/recording/51653328cbb5498fbd492926382514e5
Gestión Estratégica de Costos,A,2020-05-26,Sesión 26.05.2020,0:02:22,https://ca.bbcollab.com/recording/36d1d77d76a74c67980044e1b8952557
Gestión Estratégica de Costos,A,2020-05-28,Sesión 28.05.2020,1:24:00,https://ca.bbcollab.com/recording/09024343630d4bca904db1091de5f167
Gestión Estratégica de Costos,A,2020-05-28,Sesión 28.05.2020,0:08:10,https://ca.bbcollab.com/recording/53ddf6a22f014207af6af76717cb55f0
Gestión Estratégica de Costos,A,2020-05-28,Prueba,0:01:43,https://ca.bbcollab.com/recording/1ad3f3041d1a41e598507a15fb6c2f6f
Gestión Estratégica de Costos,A,2020-06-02,Sesión 02.06.2020,1:35:47,https://ca.bbcollab.com/recording/6647106e450b477da6e39cf195d0969c
Gestión Estratégica de Costos,A,2020-06-04,Sesión 04.06.2020,1:41:09,https://ca.bbcollab.com/recording/c17b8f83953642d6b8c5290d1218e3c2
Gestión Estratégica de Costos,A,2020-06-09,Sesión 09.06.2020,0:01:50,https://ca.bbcollab.com/recording/180aa23a8f67495a85f9381c433b71bf
Gestión Estratégica de Costos,A,2020-06-09,Sesión 09.06.2020,1:23:38,https://ca.bbcollab.com/recording/e3b28186a04d49e0b0b6cb088be2f8da
Gestión Estratégica de Costos,A,2020-06-11,Sesión 11.06.2020,0:01:47,https://ca.bbcollab.com/recording/2875365c568b42fb8b5ef5921e168d65
Gestión Estratégica de Costos,A,2020-06-16,Sesión 16.06.2020,0:00:49,https://ca.bbcollab.com/recording/9756006f5c9946b0898171804846b9da
Gestión Estratégica de Costos,A,2020-06-18,Sesión 18.06.2020,0:00:37,https://ca.bbcollab.com/recording/6db54b8a3e4b44168ffe07c7011c93bd
Gestión Estratégica de Costos,A,2020-06-23,Sesión 23.06.2020,0:34:40,https://ca.bbcollab.com/recording/13934b9d865e44ac99de2827fe090b95
Gestión Estratégica de Costos,A,2020-06-23,Sesión 23.06.2020,0:47:16,https://ca.bbcollab.com/recording/67f624aa1c9046eea68c6d1e4430c3cc
Gestión Estratégica de Costos,A,2020-06-25,Sesión 25.06.2020,1:39:02,https://ca.bbcollab.com/recording/8a145770b9244096980c07828aa616ba
Gestión Estratégica de Costos,A,2020-06-30,Sesión 30.06.2020,1:23:34,https://ca.bbcollab.com/recording/69698ed76d1c48bcb643de8d364ffe34
Gestión Estratégica de Costos,A,2020-07-02,Sesión 02.07.2020,1:11:48,https://ca.bbcollab.com/recording/d02164e4a11d41f8bf10360e2e0e517d
Gestión Estratégica de Costos,A,2020-07-07,Sesión 07.07.2020,0:06:50,https://ca.bbcollab.com/recording/24e9f760ec23496c8327a8826f63f5aa
Gestión Estratégica de Costos,A,2020-07-09,Sesión 09.07.2020,0:01:06,https://ca.bbcollab.com/recording/9ea28b60d5b9491eab17d586e315d8ff
