Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión Estratégica de la Responsabilida,C,2020-03-30,Sesión 1,0:56:35,https://ca.bbcollab.com/recording/f262179faa6246d785b7fa6be7178443
Gestión Estratégica de la Responsabilida,C,2020-04-01,Sesión 2,1:37:11,https://ca.bbcollab.com/recording/c4af932a8eb94b28abe697ceddca912d
Gestión Estratégica de la Responsabilida,C,2020-04-08,Sesión 4,1:49:17,https://ca.bbcollab.com/recording/d9869b11c280459d9b178412671fcd39
Gestión Estratégica de la Responsabilida,C,2020-04-13,Sesión 5,1:28:55,https://ca.bbcollab.com/recording/f8164395034d425a845b5405bccb2e2d
Gestión Estratégica de la Responsabilida,C,2020-04-15,Sesión 6,1:43:43,https://ca.bbcollab.com/recording/7f60d8bbda8d47899217247bae8878b2
Gestión Estratégica de la Responsabilida,C,2020-04-20,Sesíón 7,1:49:06,https://ca.bbcollab.com/recording/6c68b9e616ef41188abab6f81c5c3560
Gestión Estratégica de la Responsabilida,C,2020-04-22,Sesión 8,1:53:55,https://ca.bbcollab.com/recording/33e4feb0c2604297afe8f8aab52145e9
Gestión Estratégica de la Responsabilida,C,2020-04-29,Sesión 10,1:37:10,https://ca.bbcollab.com/recording/1869a5a2bdf340268c56be2f670b7132
Gestión Estratégica de la Responsabilida,C,2020-05-06,Sesión 12,1:47:53,https://ca.bbcollab.com/recording/bb8b30fb087845d783a37220760dc8ce
Gestión Estratégica de la Responsabilida,C,2020-05-11,Sesión 13,1:52:10,https://ca.bbcollab.com/recording/c3a443b80fd74d0b9a50041fc2f5ae26
Gestión Estratégica de la Responsabilida,C,2020-05-13,Sesión 13 de mayo,1:56:05,https://ca.bbcollab.com/recording/3f8affa346834e8cb532bfc6b05fb3ff
Gestión Estratégica de la Responsabilida,C,2020-05-27,Sesión 27 de mayo,1:27:25,https://ca.bbcollab.com/recording/2e7c53ee80ef450d971f6fce737a125c
Gestión Estratégica de la Responsabilida,C,2020-06-10,Sesión 10 de junio,1:33:59,https://ca.bbcollab.com/recording/0a92e136b642456b8631bf34d3d57c55
Gestión Estratégica de la Responsabilida,C,2020-06-10,Sesión 10 de junio,0:05:59,https://ca.bbcollab.com/recording/d0ea2d37e1ce43e1ba3a4f85ec999e2f
Gestión Estratégica de la Responsabilida,C,2020-06-22,Sesión 22 de junio,1:45:56,https://ca.bbcollab.com/recording/88c08a3d04614b79bc6739ab999f57f7
Gestión Estratégica de la Responsabilida,C,2020-06-24,Sesión 24 de junio,1:31:55,https://ca.bbcollab.com/recording/dfe642c784d74a889967ce3d07532b23
Gestión Estratégica de la Responsabilida,C,2020-07-01,Sesión 1 de julio,1:44:36,https://ca.bbcollab.com/recording/1be8ff00186742d2a9cb44f5278eed45
Gestión Estratégica de la Responsabilida,C,2020-07-08,Sesión 8 de julio,1:59:05,https://ca.bbcollab.com/recording/494324a7ab414251bdee16a5ec4f764a
