Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión Internacional de Empresas,A,2020-03-30,Sesión No. 1 - 30/03/20,1:45:42,https://ca.bbcollab.com/recording/9c75373566044bca9a3fedffd948f59f
Gestión Internacional de Empresas,A,2020-04-01,Sesión No. 2 01/04/2020,2:08:55,https://ca.bbcollab.com/recording/2bb903fbc5b340998ed2fa544c9b5d02
Gestión Internacional de Empresas,A,2020-04-06,Sesión No. 3 06/04/2020,1:53:41,https://ca.bbcollab.com/recording/4fa2570c9e1c4a86b692b6b8385d5778
Gestión Internacional de Empresas,A,2020-04-08,Charla de Biblioteca 08/04/2020,2:16:59,https://ca.bbcollab.com/recording/b3ce1882d07d492980332b59dd0111da
Gestión Internacional de Empresas,A,2020-04-08,Sesión No. 4 08/04/2020,1:48:51,https://ca.bbcollab.com/recording/fee2527bbf764c3faa53cf7cd4b8d260
Gestión Internacional de Empresas,A,2020-04-13,Sesión No. 5 13/04/2020,1:54:35,https://ca.bbcollab.com/recording/b597664a985147d5987ece8c7960d79b
Gestión Internacional de Empresas,A,2020-04-15,Sesión No. 6 15/04/2020,1:51:49,https://ca.bbcollab.com/recording/6080df9a4c354fd78a0b82a69edf7185
Gestión Internacional de Empresas,A,2020-04-20,Sesion No. 7 - 20/04/2020,1:48:31,https://ca.bbcollab.com/recording/454ce0da24994062a1d7c1b405c9e962
Gestión Internacional de Empresas,A,2020-04-22,Sesión No. 8 22/04/2020,1:51:58,https://ca.bbcollab.com/recording/4453f3809a2b4f038db879f79eafa364
Gestión Internacional de Empresas,A,2020-04-27,Sesión No. 9 27/04/2020,1:56:35,https://ca.bbcollab.com/recording/fd806fdae6864095af8adbf07406e34a
Gestión Internacional de Empresas,A,2020-04-29,Sesión No. 10 29/04/2020,1:56:10,https://ca.bbcollab.com/recording/f28735af5344479c8c4a0f08e5eb4dda
Gestión Internacional de Empresas,A,2020-05-04,Sesión No. 12 04/05/2020,1:54:19,https://ca.bbcollab.com/recording/4ff12f469b3c447994b30baf59e8a304
Gestión Internacional de Empresas,A,2020-05-06,Sesión No 12 06/05/2020,1:49:30,https://ca.bbcollab.com/recording/6a7a04beb2044aa88dc5bdeb41a38d41
Gestión Internacional de Empresas,A,2020-05-11,Sesión No. 14 11/05/2020,1:29:38,https://ca.bbcollab.com/recording/af7c82cd041240e1bfa3a8eca0784012
Gestión Internacional de Empresas,A,2020-05-13,Sesión No. 14 13/05/2020,1:49:27,https://ca.bbcollab.com/recording/ecf52fd8e35349c9a1993a4ae0966762
Gestión Internacional de Empresas,A,2020-05-18,Sesión EXAMEN PARCIAL 18/05/2020,2:01:16,https://ca.bbcollab.com/recording/657be343c791466ea4c2a6ad268d2f1f
Gestión Internacional de Empresas,A,2020-05-25,Sesión No. 16 25/05/2020,1:55:23,https://ca.bbcollab.com/recording/e1fa5ae0d16b419ab701c59ca430a826
Gestión Internacional de Empresas,A,2020-05-27,Sesión No. 16 27/05/2020,1:52:08,https://ca.bbcollab.com/recording/88f07f015f084722be2152aba3b56872
Gestión Internacional de Empresas,A,2020-06-01,Sesión No.18 01/06/2020,1:39:07,https://ca.bbcollab.com/recording/fefd73253f8644358feb6d7f75a552f8
Gestión Internacional de Empresas,A,2020-06-03,Sesión No. 18 03/06/2020,1:49:48,https://ca.bbcollab.com/recording/9d077e9d3f3a48cf8fd0c42ab21fded2
Gestión Internacional de Empresas,A,2020-06-08,Sesión No. 19 08/06/2020,1:51:21,https://ca.bbcollab.com/recording/c2bc0357ef3d4b9aa7486ae5571dc0f4
Gestión Internacional de Empresas,A,2020-06-10,Sesión No. 20 10/06/2020,2:19:56,https://ca.bbcollab.com/recording/36ba96813b6742b1a85a5002133941e1
Gestión Internacional de Empresas,A,2020-06-15,Sesión No. 21 15/06/2020,1:46:24,https://ca.bbcollab.com/recording/a5786284bbcf40fc9afd550f8e6188d9
Gestión Internacional de Empresas,A,2020-06-17,Sesión No 22 17/06/2020,1:55:32,https://ca.bbcollab.com/recording/26dc7a5f80b84ee09323f76b885c7047
Gestión Internacional de Empresas,A,2020-06-22,Sesión No. 23 22/06/2020,1:53:48,https://ca.bbcollab.com/recording/cb788f7be350473993dd403fd8c7626f
Gestión Internacional de Empresas,A,2020-06-24,Sesión No. 24 24/06/2020,1:53:53,https://ca.bbcollab.com/recording/d1f3e87575234bb3b6c0e8207dcfc6ff
Gestión Internacional de Empresas,A,2020-07-01,Sesión No. 25 01/07/2020,1:54:25,https://ca.bbcollab.com/recording/0ed7174deeed42c7af6a84c77aea3a95
Gestión Internacional de Empresas,A,2020-07-06,Sesión No. 25 06/072020,1:50:19,https://ca.bbcollab.com/recording/157dc289b2ae4779a54e46b31ff91f1c
Gestión Internacional de Empresas,A,2020-07-08,Sesión No. 26 08/07/2020,1:28:21,https://ca.bbcollab.com/recording/5a92e62b1b6a4a88853c82062236a563
Gestión Internacional de Empresas,A,2020-07-08,Sesión No. 26 08/07/2020,1:28:21,https://ca.bbcollab.com/recording/5a92e62b1b6a4a88853c82062236a563
Gestión Internacional de Empresas,A,2020-07-13,Sesión Examen Final 13/07/2020,1:12:11,https://ca.bbcollab.com/recording/f831d8a100dd41deb08146afba6cd92b
