Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión Internacional de Empresas,B,2020-03-30,Sesion No. 1 - 30/03/20,1:54:06,https://ca.bbcollab.com/recording/9571a641f6ea45b8ad6f0dd8ca139c5f
Gestión Internacional de Empresas,B,2020-04-01,Segunda sesión: 01/04/2020,1:41:50,https://ca.bbcollab.com/recording/006483add324417e865f0d237136870c
Gestión Internacional de Empresas,B,2020-04-06,Sesión No. 3  06/05/2020,1:53:04,https://ca.bbcollab.com/recording/1964560d3acf4138af07874be3c5d8ff
Gestión Internacional de Empresas,B,2020-04-08,Sesión No. 4  08/04/2020,1:53:29,https://ca.bbcollab.com/recording/8979484f2e92481cbcaca9b50f20aff3
Gestión Internacional de Empresas,B,2020-04-13,Sesión No. 5 13/04/2020,1:47:57,https://ca.bbcollab.com/recording/1c6a372cb79b40c185ac31f93eb879db
Gestión Internacional de Empresas,B,2020-04-15,Sesión No. 6 15/04/2020,2:03:29,https://ca.bbcollab.com/recording/db0f0f1f35044056875a02f6bfe8c3d2
Gestión Internacional de Empresas,B,2020-04-20,Sesión No. 7 20/04/2020,1:41:48,https://ca.bbcollab.com/recording/ab255026d0cb48dd9e1b60f8f3b5ab73
Gestión Internacional de Empresas,B,2020-04-22,Sesión No. 8 22/04/2020,1:48:05,https://ca.bbcollab.com/recording/c5dbf3f29d3b48a69f5a1bff3c96fd0b
Gestión Internacional de Empresas,B,2020-04-27,Sesión No. 9 27/04/2020,1:49:05,https://ca.bbcollab.com/recording/5c2dc65860ae406dbaa1d569666b4fef
Gestión Internacional de Empresas,B,2020-04-29,Sesión No. 10 29/04/2020,1:49:29,https://ca.bbcollab.com/recording/2f36e556651449d589d12f40c9cb41c8
Gestión Internacional de Empresas,B,2020-05-04,Sesión No. 12 04/05/2020,1:46:28,https://ca.bbcollab.com/recording/c182a42a609841f9b1b78fd72a893fc3
Gestión Internacional de Empresas,B,2020-05-06,Sesión No 12 06/05/2020,1:49:35,https://ca.bbcollab.com/recording/c80fe4d133a34e32bc5ebe98fdcee623
Gestión Internacional de Empresas,B,2020-05-11,Sesión No. 14 11/05/2020,1:57:01,https://ca.bbcollab.com/recording/78c7933f87dc430d8584d772460d7795
Gestión Internacional de Empresas,B,2020-05-13,Sesión No. 15 13/05/2020,1:43:30,https://ca.bbcollab.com/recording/4c231a3b267747049ae613aa671dec05
Gestión Internacional de Empresas,B,2020-05-18,Sesión EXAMEN PARCIAL 18/5/2020,2:01:34,https://ca.bbcollab.com/recording/a852586c7f174eadb46dcb677cd281ce
Gestión Internacional de Empresas,B,2020-05-25,sesión No. 16 25/05/2020,2:00:59,https://ca.bbcollab.com/recording/10fcdb73f73d4193a70aeb83af18aaac
Gestión Internacional de Empresas,B,2020-05-27,Sesión No. 16 27/05/2020,1:51:06,https://ca.bbcollab.com/recording/6c71f8abcb2240b49ceae1533a0ad982
Gestión Internacional de Empresas,B,2020-06-01,Sesión No. 18 01/06/2020,1:50:07,https://ca.bbcollab.com/recording/f451163c1bbe4eb69a615256b52d3e8a
Gestión Internacional de Empresas,B,2020-06-03,Sesión No. 18 03/06/2020,1:37:49,https://ca.bbcollab.com/recording/833eb19431d848a88aa61ee979c58c19
Gestión Internacional de Empresas,B,2020-06-08,Sesión No. 19 08/06/2020,1:53:13,https://ca.bbcollab.com/recording/28b36d7a3ce043e28273f192b8c83e28
Gestión Internacional de Empresas,B,2020-06-10,Sesión No. 20 10/06/2020,1:53:44,https://ca.bbcollab.com/recording/9f2a199db2214993a0ff56aff129b056
Gestión Internacional de Empresas,B,2020-06-15,Sesiión No. 21 15/06/2020,1:39:21,https://ca.bbcollab.com/recording/fdee308d87244e3b844a1d84229d4a71
Gestión Internacional de Empresas,B,2020-06-17,Sesión 22 17/06/2020,1:43:00,https://ca.bbcollab.com/recording/d9fcf98a0bbc4c53aceb6f9b13e1ef1a
Gestión Internacional de Empresas,B,2020-06-22,Sesión No. 23 22/06/2020,1:42:50,https://ca.bbcollab.com/recording/141eeadbf0f846d09b0f84e5ed80a1f3
Gestión Internacional de Empresas,B,2020-06-24,Sesión 24 24/06/2020,1:43:56,https://ca.bbcollab.com/recording/856cb0ab112e4518a24f9aee08be96ef
Gestión Internacional de Empresas,B,2020-07-01,Sesión No. 25 01/07/2020,1:56:25,https://ca.bbcollab.com/recording/a1aad622f61f44e5bec017a6bf5205f6
Gestión Internacional de Empresas,B,2020-07-06,Sesión No. 25 06/07/2020,1:23:28,https://ca.bbcollab.com/recording/1f5f9e9ff89b4efdaf1c3d478f87f505
Gestión Internacional de Empresas,B,2020-07-08,Sesión No. 26 08/07/2020,1:11:55,https://ca.bbcollab.com/recording/78682aaf687d4192bd5cec51420e544c
Gestión Internacional de Empresas,B,2020-07-08,Sesión No. 26 08/07/2020,1:11:55,https://ca.bbcollab.com/recording/78682aaf687d4192bd5cec51420e544c
Gestión Internacional de Empresas,B,2020-07-13,Sesión Examen Final 13/07/2020,1:20:05,https://ca.bbcollab.com/recording/e336d32f1c5a4de3b3f8ec69b67efcfc
