Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión Internacional de Empresas,C,2020-04-01,SESION_02_TEORIA INSTITUCIONAL,1:47:00,https://ca.bbcollab.com/recording/39bfa3849dd84b98ac337dd267df0384
Gestión Internacional de Empresas,C,2020-04-06,Sesión_02_Instituciones_Formales,1:50:00,https://ca.bbcollab.com/recording/ba0c001ecac248d19afc659851ea7e11
Gestión Internacional de Empresas,C,2020-04-08,Sesión_Instituciones_Formales_e _Informales,1:49:42,https://ca.bbcollab.com/recording/ec0757d22c2041fdb4c2fa89d95cf772
Gestión Internacional de Empresas,C,2020-04-13,Sesión Instituciones Infrmales,1:57:15,https://ca.bbcollab.com/recording/a4d1c7ea83584303ab6eddaa37d89b95
Gestión Internacional de Empresas,C,2020-04-15,Sesión_Semana_03_B,1:57:56,https://ca.bbcollab.com/recording/bc14634bc2294ab39e25c4a441b370cc
Gestión Internacional de Empresas,C,2020-04-20,SEsión_04A,1:18:36,https://ca.bbcollab.com/recording/8f3a5613df0f41ba841ed8a806b784b7
Gestión Internacional de Empresas,C,2020-04-22,SESION_03_B,1:56:03,https://ca.bbcollab.com/recording/acb19721c1dc40bcb3f852ddaa0e62ef
Gestión Internacional de Empresas,C,2020-04-27,Explicación Primer Avance Ensayo,0:08:49,https://ca.bbcollab.com/recording/38d56e854f2e41c8969cd69043cf07de
Gestión Internacional de Empresas,C,2020-04-27,Explicación Primer Avance Ensayo,0:28:02,https://ca.bbcollab.com/recording/a726870330d2476bb7a16f3f51b7d352
Gestión Internacional de Empresas,C,2020-04-27,Sesión_Fundamentos de NNII (VERBEKE),1:45:03,https://ca.bbcollab.com/recording/26b3b44dae234ec2aa5f891c0049f7cd
Gestión Internacional de Empresas,C,2020-04-29,Sesión_04_B_Verbeke 2da Parte,1:43:36,https://ca.bbcollab.com/recording/bef2c986399d42d4b37ea5834dd8f79b
Gestión Internacional de Empresas,C,2020-05-04,Sesión_06_A_ Verbeke y Paradigma OLI,2:00:03,https://ca.bbcollab.com/recording/637ff6dadc294ef689548213e9e2f9a6
Gestión Internacional de Empresas,C,2020-05-06,Sesión_06_B Paradigma Ecléctivo de OLI,1:47:19,https://ca.bbcollab.com/recording/24678bacfd4a4c7dbc16ad9c7aa92eb9
Gestión Internacional de Empresas,C,2020-05-11,Sesión_07_A Precios de Transferencia y Organización de EMN,1:44:31,https://ca.bbcollab.com/recording/cbcfa087ec124b85b9df39c7d6100ed6
Gestión Internacional de Empresas,C,2020-05-13,Sesión_07_B_Silvateam y Ethiopia,2:08:53,https://ca.bbcollab.com/recording/77bbe388481b4384bc72cc2cd13818c2
Gestión Internacional de Empresas,C,2020-05-18,Examen Parcial GIE,1:09:51,https://ca.bbcollab.com/recording/3f0cfb329af94b71b9d0f4cb938c273f
Gestión Internacional de Empresas,C,2020-05-25,SESION_08_A,1:48:32,https://ca.bbcollab.com/recording/403514a36c794c34a04d4d6940801c06
Gestión Internacional de Empresas,C,2020-06-01,Sesión_09_B,1:48:40,https://ca.bbcollab.com/recording/8063d31e0bfa4ea9ac3a995b7d45b8b2
Gestión Internacional de Empresas,C,2020-06-03,Sesión 10_B,1:29:37,https://ca.bbcollab.com/recording/4403040d75a846edbbcb0ffa21286184
Gestión Internacional de Empresas,C,2020-06-08,Sesión 10 A,1:56:08,https://ca.bbcollab.com/recording/26ca3125d79d4b7282eaf20528d387b8
Gestión Internacional de Empresas,C,2020-06-10,SESIÓN_10_B,3:18:19,https://ca.bbcollab.com/recording/94b58e87ac6a401f82b4d201d837153b
Gestión Internacional de Empresas,C,2020-06-15,SESION_11_A,1:47:14,https://ca.bbcollab.com/recording/041d43715bc242609f1735ff97bec465
Gestión Internacional de Empresas,C,2020-06-17,SESION_11_B,1:50:06,https://ca.bbcollab.com/recording/087a4618dc2c4038a35937765c51a9ed
Gestión Internacional de Empresas,C,2020-06-22,SESION_12_A,0:51:29,https://ca.bbcollab.com/recording/a0df51dd7a764764b222681f4863f54d
Gestión Internacional de Empresas,C,2020-06-24,SESION _12_B,0:18:44,https://ca.bbcollab.com/recording/436e50ee6f944c98a6075f0ce0da1548
Gestión Internacional de Empresas,C,2020-06-24,SESION _12_B,1:28:31,https://ca.bbcollab.com/recording/da8a85a15d224c138b8f4629ab26d0ad
Gestión Internacional de Empresas,C,2020-07-01,SESION_14_A,1:44:40,https://ca.bbcollab.com/recording/eabd2757243449119bf4dd6c44cd92ce
Gestión Internacional de Empresas,C,2020-07-06,SESION_14_B,2:06:32,https://ca.bbcollab.com/recording/b1fa1625326842e4a3254162fa9d00c1
Gestión Internacional de Empresas,C,2020-07-08,Sesión_15_B,0:05:37,https://ca.bbcollab.com/recording/1c00be195d4d4647adf93c84fbe5cb98
