Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión Sostenible de la Oferta Exportab,A,2020-03-30,Clase 30 Marzo,1:39:56,https://ca.bbcollab.com/recording/38cb08a511694e7490d98828b2dd80fe
Gestión Sostenible de la Oferta Exportab,A,2020-04-01,Clase 01 Abril,1:31:06,https://ca.bbcollab.com/recording/d6f1ed9a10a1456f9258aaa9c3460eab
Gestión Sostenible de la Oferta Exportab,A,2020-04-06,Clases,1:45:03,https://ca.bbcollab.com/recording/0a3aa6f3cb9248e9a61e6ac5d822087e
Gestión Sostenible de la Oferta Exportab,A,2020-04-08,Clases,1:40:57,https://ca.bbcollab.com/recording/096caa35c2be42b28b4a3b3a21280f2e
Gestión Sostenible de la Oferta Exportab,A,2020-04-13,Clases,1:50:08,https://ca.bbcollab.com/recording/c840c61260af4b52bdc3496246ab682c
Gestión Sostenible de la Oferta Exportab,A,2020-04-15,Clases,1:46:15,https://ca.bbcollab.com/recording/5d6dd5e442a2433caa5f07af36f187fd
Gestión Sostenible de la Oferta Exportab,A,2020-04-20,Clases,1:46:27,https://ca.bbcollab.com/recording/263e965fad184cbf89ea5623ea2d28c3
Gestión Sostenible de la Oferta Exportab,A,2020-04-22,Clases,1:47:43,https://ca.bbcollab.com/recording/958fa1f59429463488bce9326a8527a9
Gestión Sostenible de la Oferta Exportab,A,2020-04-27,Clases,1:40:01,https://ca.bbcollab.com/recording/f89c73d5d9f244d3b001bb7781c55b5d
Gestión Sostenible de la Oferta Exportab,A,2020-04-29,Clases,1:31:49,https://ca.bbcollab.com/recording/e525aceea2b744378faa878fab83bce0
Gestión Sostenible de la Oferta Exportab,A,2020-05-04,Clases,1:49:38,https://ca.bbcollab.com/recording/8f7a5bf4cf7941629d85dea31c922659
Gestión Sostenible de la Oferta Exportab,A,2020-05-06,Clases,2:08:00,https://ca.bbcollab.com/recording/c0de9a477e33420fadf7c7372225119a
Gestión Sostenible de la Oferta Exportab,A,2020-05-11,Clases,1:48:18,https://ca.bbcollab.com/recording/ae3fa6ea603346849d06ea198f983e6e
Gestión Sostenible de la Oferta Exportab,A,2020-05-13,Clases,0:44:44,https://ca.bbcollab.com/recording/7ed11b5348d74266809113b9dbaf664e
Gestión Sostenible de la Oferta Exportab,A,2020-05-13,Clases,0:34:15,https://ca.bbcollab.com/recording/de01595e420c41f3b96869c6342f4251
Gestión Sostenible de la Oferta Exportab,A,2020-05-13,Clases,0:11:22,https://ca.bbcollab.com/recording/f97748bf7cd1455aa317618e09fcfa6a
Gestión Sostenible de la Oferta Exportab,A,2020-05-25,Clases,1:11:39,https://ca.bbcollab.com/recording/45561f03335c4455b41371430932f8b0
Gestión Sostenible de la Oferta Exportab,A,2020-05-27,Clases,1:43:35,https://ca.bbcollab.com/recording/f3cff399333840d8962073e2aa169b90
Gestión Sostenible de la Oferta Exportab,A,2020-06-01,Clase 01 Abril,1:32:58,https://ca.bbcollab.com/recording/e0d6caeb1e3d4e7da40d259d3174d8df
Gestión Sostenible de la Oferta Exportab,A,2020-06-08,Clases,1:37:57,https://ca.bbcollab.com/recording/63a39b6d770e4e95bb21387448e13a57
Gestión Sostenible de la Oferta Exportab,A,2020-06-10,Clases,1:26:18,https://ca.bbcollab.com/recording/4cb9e10a783f485ea10acb9d66bab368
Gestión Sostenible de la Oferta Exportab,A,2020-06-15,Clases,1:45:45,https://ca.bbcollab.com/recording/4672775c919c4a6ea24336ba97914382
Gestión Sostenible de la Oferta Exportab,A,2020-06-17,Clases,1:45:33,https://ca.bbcollab.com/recording/195fa2c1439f44ecb6e67c89166c62a3
Gestión Sostenible de la Oferta Exportab,A,2020-06-22,Clases,1:44:41,https://ca.bbcollab.com/recording/7ddbe306cd1a46399bbe734943838d7e
Gestión Sostenible de la Oferta Exportab,A,2020-06-24,Clases,1:28:10,https://ca.bbcollab.com/recording/be5efd5735d448e2a856690ff0b08025
Gestión Sostenible de la Oferta Exportab,A,2020-07-01,Clases,1:47:21,https://ca.bbcollab.com/recording/73cd1d26efc843eb981afb3f4a59b451
Gestión Sostenible de la Oferta Exportab,A,2020-07-06,Clases,1:49:54,https://ca.bbcollab.com/recording/9f96a34d720e4609a0837c5247aa5abe
Gestión Sostenible de la Oferta Exportab,A,2020-07-08,Clases,1:47:40,https://ca.bbcollab.com/recording/39def5c882e64d89ab0908a42dfe0c2b
Gestión Sostenible de la Oferta Exportab,A,2020-07-08,Clases,1:47:40,https://ca.bbcollab.com/recording/39def5c882e64d89ab0908a42dfe0c2b
