Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de Emprendimientos Sostenibles,A,2020-04-02,Clase 1. Emprendimientos Sostenibles,2:39:37,https://ca.bbcollab.com/recording/7b263160ef54445496f907abfe2eca6d
Gestión de Emprendimientos Sostenibles,A,2020-04-16,Sesión 2. Emprendimientos sostenibles,2:53:27,https://ca.bbcollab.com/recording/8085cc714f5c472094a380080fdc9e04
Gestión de Emprendimientos Sostenibles,A,2020-04-23,Sesión 3 Emprendimientos sostenibles,2:49:00,https://ca.bbcollab.com/recording/61e5472d6e5a4756b848144f2d62782c
Gestión de Emprendimientos Sostenibles,A,2020-04-30,Sesión 4 Emprendimientos sostenibles,2:14:05,https://ca.bbcollab.com/recording/b7628a68c6d5404bae65aaf57d6aeafc
Gestión de Emprendimientos Sostenibles,A,2020-05-07,Sesión 5 Emprendimientos Sostenibles,2:20:47,https://ca.bbcollab.com/recording/e754c7496810449491952d788dce10f9
Gestión de Emprendimientos Sostenibles,A,2020-05-14,Sesión 6 Emprendimientos Sostenibles,2:38:26,https://ca.bbcollab.com/recording/0032dcf94c9744e187c6428375dd685f
Gestión de Emprendimientos Sostenibles,A,2020-05-28,Sesión 7 Emprendimientos sostenibles,2:32:42,https://ca.bbcollab.com/recording/e3e985d131704160b8e9c37b2f86dcf4
Gestión de Emprendimientos Sostenibles,A,2020-06-04,Sesión 8 Emprendientos sostenibles,2:44:20,https://ca.bbcollab.com/recording/6723ebf7769141d68416f0df9c26535d
Gestión de Emprendimientos Sostenibles,A,2020-06-11,Sesióon 10 Emprendimientos Sostenibles,2:42:51,https://ca.bbcollab.com/recording/8d86ba0bef0e4ce0a0d92e125da596b6
Gestión de Emprendimientos Sostenibles,A,2020-06-18,Ses 10a Emprendimientos sostenibles,2:40:35,https://ca.bbcollab.com/recording/b8723e069a3140b7a08413df63978ba9
Gestión de Emprendimientos Sostenibles,A,2020-06-25,Sesión 11 Emprendimientos sotenibles,2:51:22,https://ca.bbcollab.com/recording/fc3d1f044cd24d1e95b31f7fbd05de75
Gestión de Emprendimientos Sostenibles,A,2020-07-02,Sesión 12 Emprendimientos sostenibles,2:47:32,https://ca.bbcollab.com/recording/6e42f27392924635aa98ed831de81b57
Gestión de Emprendimientos Sostenibles,A,2020-07-09,Sesión 13 Emprendimientos sostenibles,2:21:09,https://ca.bbcollab.com/recording/500a0d2cea184c0fba4ba0545e871ac7
Gestión de Emprendimientos Sostenibles,A,2020-07-09,Sesión 13 Emprendimientos sostenibles,2:21:09,https://ca.bbcollab.com/recording/500a0d2cea184c0fba4ba0545e871ac7
