Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de Personas,A,2020-03-30,SESION 1,1:31:45,https://ca.bbcollab.com/recording/8e99820297ef4d5aaa0065204cd1e330
Gestión de Personas,A,2020-04-01,SESION 2,1:28:14,https://ca.bbcollab.com/recording/f5d5d81028c345fb9f6220057c45f268
Gestión de Personas,A,2020-04-06,sesión 3,0:33:39,https://ca.bbcollab.com/recording/3b521c58754e422c80cde3fb707354f5
Gestión de Personas,A,2020-04-06,sesión 3,0:51:36,https://ca.bbcollab.com/recording/8b22931ae2d247eab0be068711a7304e
Gestión de Personas,A,2020-04-08,SESION 4,1:16:05,https://ca.bbcollab.com/recording/a31e7ebe583b4e358d7e95a0866e246a
Gestión de Personas,A,2020-04-13,sesión 5,1:33:35,https://ca.bbcollab.com/recording/545458696f154ee0a48cdc72e6370c50
Gestión de Personas,A,2020-04-15,SESION 6,1:02:30,https://ca.bbcollab.com/recording/07f4e6fcb46e489caefa4263b0329a8e
Gestión de Personas,A,2020-04-15,SESION 6,0:07:54,https://ca.bbcollab.com/recording/daeb58eb4d524cb2a62ca55e358172f3
Gestión de Personas,A,2020-04-20,sesión 7,1:28:14,https://ca.bbcollab.com/recording/a6e47c217cf5406487e8b28660c66bcc
Gestión de Personas,A,2020-04-22,sesión 8,1:25:32,https://ca.bbcollab.com/recording/4dc3a7e6d738487cbf7fd32b0d65befd
Gestión de Personas,A,2020-04-27,SESIÓN 9,0:33:29,https://ca.bbcollab.com/recording/12c00b819ee14210b34fdc469ea0b15c
Gestión de Personas,A,2020-04-29,SESIÓN 10,1:13:39,https://ca.bbcollab.com/recording/20d39e17a002464a92f5f505dd594c47
Gestión de Personas,A,2020-05-04,SESIÓN 11,1:40:16,https://ca.bbcollab.com/recording/c66238faa039445ba638d2241688a2c0
Gestión de Personas,A,2020-05-06,sesión 12,1:18:03,https://ca.bbcollab.com/recording/8a58f1a59d104b2794968a7c789dd3cc
Gestión de Personas,A,2020-05-11,SESION 13,1:12:28,https://ca.bbcollab.com/recording/9e8b0230c13740ebbc076989fa6a6fa0
Gestión de Personas,A,2020-05-13,SESIÓN 14,0:16:40,https://ca.bbcollab.com/recording/51cc4de63c5f40bcb83f0bc41691b6dc
Gestión de Personas,A,2020-05-13,SESIÓN 14,0:31:33,https://ca.bbcollab.com/recording/dae6d9021b004a60bc0bad58ac28ee86
Gestión de Personas,A,2020-05-25,sesión 15,0:24:50,https://ca.bbcollab.com/recording/b0cdbeec23e740028884bc8666878897
Gestión de Personas,A,2020-05-27,sesión 16,1:24:22,https://ca.bbcollab.com/recording/15a8a963544c44efbe604121c6479487
Gestión de Personas,A,2020-06-01,sesión 17,1:36:13,https://ca.bbcollab.com/recording/fecb2a85c1564175b2bf2605ab27a70a
Gestión de Personas,A,2020-06-03,sesion 18,0:37:17,https://ca.bbcollab.com/recording/53ee0ffbc2ef4dbca48be9d4734b137a
Gestión de Personas,A,2020-06-08,SESION 19,1:21:38,https://ca.bbcollab.com/recording/cee8442fa88a4da990ec6dfb712672f4
Gestión de Personas,A,2020-06-10,SESIÓN 20,1:37:09,https://ca.bbcollab.com/recording/d9dec747583840908b3e5b61bf8f7ab0
Gestión de Personas,A,2020-06-15,sesión 21,1:17:40,https://ca.bbcollab.com/recording/0808eb687f614b208285e84d68a51848
Gestión de Personas,A,2020-06-17,sesión 22,0:41:50,https://ca.bbcollab.com/recording/25d5fcd561f44fde8f3a4116129bd549
Gestión de Personas,A,2020-06-17,sesión 22,0:27:55,https://ca.bbcollab.com/recording/2cffecb5afea44caaa3695bf430b816b
Gestión de Personas,A,2020-06-22,sesión 23,1:25:28,https://ca.bbcollab.com/recording/ec02a3198741419485280e5bb8d11220
Gestión de Personas,A,2020-07-01,sesión 26,1:58:26,https://ca.bbcollab.com/recording/3ca8fa161e1e4d51832207fa5ca2488f
Gestión de Personas,A,2020-07-08,sesión 28,2:05:50,https://ca.bbcollab.com/recording/39ebd510550c4807b9b287f908c924e7
