Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de Personas,C,2020-04-02,SESIÓN 1,0:00:11,https://ca.bbcollab.com/recording/369c0db44be9436181f2a655ba332a4e
Gestión de Personas,C,2020-04-02,SESIÓN 1,1:40:39,https://ca.bbcollab.com/recording/e55cd2be6268404ca37b4480689a4660
Gestión de Personas,C,2020-04-04,SESIÓN 2,1:27:16,https://ca.bbcollab.com/recording/32d972129636461381a6421f1541dbba
Gestión de Personas,C,2020-04-16,SESIÓN 3,1:57:08,https://ca.bbcollab.com/recording/6f07bd131956418ab632809b14d159a9
Gestión de Personas,C,2020-04-18,SESIÓN 4,1:57:43,https://ca.bbcollab.com/recording/c4a086591bb34ef4aa08a78acd01447d
Gestión de Personas,C,2020-04-23,SESIÓN 5,1:56:00,https://ca.bbcollab.com/recording/f44a1d41601e4af183c190ba63a3cc9b
Gestión de Personas,C,2020-04-25,SESIÓN 7,1:53:25,https://ca.bbcollab.com/recording/730852bbc2be4f8aadb05f0d8ccedf1f
Gestión de Personas,C,2020-04-30,SESIÓN 7,2:00:58,https://ca.bbcollab.com/recording/e73f7dd0ae6d4350818a5bc36bf6dd0c
Gestión de Personas,C,2020-05-02,SESIÓN 8,1:55:00,https://ca.bbcollab.com/recording/8aa9bbbe8a3d4ce281df795a5cafb327
Gestión de Personas,C,2020-05-07,SESIÓN 9,1:57:04,https://ca.bbcollab.com/recording/4ea87895bcbe4c6cae0aa50e3bae22dc
Gestión de Personas,C,2020-05-09,SESIÓN 13,0:09:37,https://ca.bbcollab.com/recording/ba6f877f9c384c8d9a856f53023edcad
Gestión de Personas,C,2020-05-09,SESIÓN 13,1:26:34,https://ca.bbcollab.com/recording/bb0f9610ea5c41708f6d175255b14da7
Gestión de Personas,C,2020-05-14,SESIÓN 11,1:51:57,https://ca.bbcollab.com/recording/91277d98ff75435492600eda3fa05608
Gestión de Personas,C,2020-05-16,SESIÓN 12,1:34:00,https://ca.bbcollab.com/recording/343337b06d194b748ce74fda1d185792
Gestión de Personas,C,2020-05-28,sesión 14,1:05:55,https://ca.bbcollab.com/recording/ec417e679fb24f63890bd7103fd4a136
Gestión de Personas,C,2020-05-30,SESIÓN 15,1:20:42,https://ca.bbcollab.com/recording/34834d7d9a744ded963fc38fe6f87cb2
Gestión de Personas,C,2020-06-04,SESIÓN 16,1:37:27,https://ca.bbcollab.com/recording/37099c42bb4444bd928fcfae3e02d5f4
Gestión de Personas,C,2020-06-06,SESIÓN 17,1:41:03,https://ca.bbcollab.com/recording/5a933421a5c34b1bbbe2fd135537d7e3
Gestión de Personas,C,2020-06-11,Sesión 18,1:32:08,https://ca.bbcollab.com/recording/cfab6461d989499c83bd07b8144c9684
Gestión de Personas,C,2020-06-13,SESIÓN 19,1:26:01,https://ca.bbcollab.com/recording/21901e791720449a8aabda00fa7635d0
Gestión de Personas,C,2020-06-18,SESIÓN 20,1:16:30,https://ca.bbcollab.com/recording/539125b9218142a9a2da8e0d301645ee
Gestión de Personas,C,2020-06-20,SESIÓN 21,1:21:42,https://ca.bbcollab.com/recording/2a77c379a2854bafb7fe506cfa1eafff
Gestión de Personas,C,2020-06-25,SESIÓN 22,1:28:51,https://ca.bbcollab.com/recording/929583c681dd41aebe557434ad0bae48
Gestión de Personas,C,2020-06-27,SESIÓN 23,1:23:25,https://ca.bbcollab.com/recording/88acf12981864433aef5514da32fb455
Gestión de Personas,C,2020-07-02,SESIÓN 24,1:08:16,https://ca.bbcollab.com/recording/35d801e1693a4962a7066b5c03698fab
Gestión de Personas,C,2020-07-04,SESIÓN 25,1:32:11,https://ca.bbcollab.com/recording/640edff78fde482dbcd47b0caf3243b6
Gestión de Personas,C,2020-07-09,SESIÓN 26,1:19:18,https://ca.bbcollab.com/recording/1086f658e226478b83d547c08aa1f212
Gestión de Personas,C,2020-07-09,SESIÓN 26,1:19:18,https://ca.bbcollab.com/recording/1086f658e226478b83d547c08aa1f212
Gestión de Personas,C,2020-07-11,SESIÓN 27,1:38:36,https://ca.bbcollab.com/recording/631295f0f1c34cda9fbb61f836f6011d
