Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de la Cadena de Suministros,B,2020-04-01,Sesión del 01-04-2020,1:40:54,https://ca.bbcollab.com/recording/d8f4e92a98c74132b06763a864fb12c0
Gestión de la Cadena de Suministros,B,2020-04-03,Sesión del 03-04-2020,1:42:43,https://ca.bbcollab.com/recording/e83b3769026d4d04864924f669eeea18
Gestión de la Cadena de Suministros,B,2020-04-08,Sesión 08-04-2020,1:56:57,https://ca.bbcollab.com/recording/86eeb343e4f448feaea32bf7f81f08d6
Gestión de la Cadena de Suministros,B,2020-04-15,Sesión 15-04-2020,1:13:21,https://ca.bbcollab.com/recording/d8130b2230164ad9b7970531c8850d35
Gestión de la Cadena de Suministros,B,2020-04-15,Sesión 15-04-2020,0:03:37,https://ca.bbcollab.com/recording/f61f7ab5923d4ee698f573399314f63f
Gestión de la Cadena de Suministros,B,2020-04-17,Sesión 16-04-2020,1:33:28,https://ca.bbcollab.com/recording/152b4c3850a04915a91bd4a4a913ef1e
Gestión de la Cadena de Suministros,B,2020-04-22,Sesión 22-04-2020,0:56:45,https://ca.bbcollab.com/recording/d5812e65a76c414d8b47f81368d94cad
Gestión de la Cadena de Suministros,B,2020-04-24,Sesión 24-04-2020,1:30:36,https://ca.bbcollab.com/recording/fb525ac771d34057ac1c40c5589c557d
Gestión de la Cadena de Suministros,B,2020-04-29,Sesión 29-04-2020,1:40:26,https://ca.bbcollab.com/recording/173c1a924aba4f15b34d81a1afe36282
Gestión de la Cadena de Suministros,B,2020-05-06,Sesión 06-05-2020,1:37:30,https://ca.bbcollab.com/recording/a569820b32704cc199d75d665b59ebe6
Gestión de la Cadena de Suministros,B,2020-05-08,Sesión 08-05-2020,1:42:01,https://ca.bbcollab.com/recording/d9f410762bb74801b62e043b3a04f4dc
Gestión de la Cadena de Suministros,B,2020-05-13,Sesión 13-05-2020,1:40:01,https://ca.bbcollab.com/recording/bc780197aa0f4dca97202e0ba858e9cb
Gestión de la Cadena de Suministros,B,2020-05-15,Sesión 15-05-2020,1:36:28,https://ca.bbcollab.com/recording/bf85e641b39e42eeabcf1628199b68dd
Gestión de la Cadena de Suministros,B,2020-05-27,Sesión 27-05-2020,1:32:30,https://ca.bbcollab.com/recording/b13d6f38a60a4729b773c540410a4259
Gestión de la Cadena de Suministros,B,2020-05-29,Sesión 29-05-2020,1:40:31,https://ca.bbcollab.com/recording/21938cbd76fb448eb1ec442fd4134071
Gestión de la Cadena de Suministros,B,2020-06-03,Sesión 03-06-2020,1:46:33,https://ca.bbcollab.com/recording/c9f10b9af4154a9e8b8a64790cf70e2f
Gestión de la Cadena de Suministros,B,2020-06-05,Sesión 05-06-2020,1:40:39,https://ca.bbcollab.com/recording/ad8859e140414a40b08e605a2420f35a
Gestión de la Cadena de Suministros,B,2020-06-10,Sesión 10-06-2020,1:39:05,https://ca.bbcollab.com/recording/289182d03c5d40b1be36a588d5bfac1e
Gestión de la Cadena de Suministros,B,2020-06-12,Sesión 12-06-2020,1:44:19,https://ca.bbcollab.com/recording/98fddc7a2b9243b7acd3cc55cc7127eb
Gestión de la Cadena de Suministros,B,2020-06-17,Sesión 17-06-2020,1:43:59,https://ca.bbcollab.com/recording/68fd6a5ff6c9488e8ccddb17f0408290
Gestión de la Cadena de Suministros,B,2020-06-19,Sesión 19-06-2020,1:38:55,https://ca.bbcollab.com/recording/af617677547e4674aeb853e7d6fd1caf
Gestión de la Cadena de Suministros,B,2020-06-24,Sesión 24-06-2020,1:50:27,https://ca.bbcollab.com/recording/9edf8d5107ad474ea4192ec77ac8b403
Gestión de la Cadena de Suministros,B,2020-06-26,Sesión 26-06-2020,1:26:40,https://ca.bbcollab.com/recording/b45f8844653c46678fb7cf73237720c6
Gestión de la Cadena de Suministros,B,2020-07-01,Sesión 01-07-2020,1:45:45,https://ca.bbcollab.com/recording/7b54aacfa98642c3a97233f6576964eb
Gestión de la Cadena de Suministros,B,2020-07-03,Sesión 03-07-2020,1:30:08,https://ca.bbcollab.com/recording/f4bdb6cb6b074a90b9423094d82cb28f
Gestión de la Cadena de Suministros,B,2020-07-08,Sesión 08-07-2020,0:58:14,https://ca.bbcollab.com/recording/01ce00f36cde444b8a45095fea8f353c
Gestión de la Cadena de Suministros,B,2020-07-10,Sesión 10-07-2020,1:29:03,https://ca.bbcollab.com/recording/02eb6004d5be4d239d60381c6c90130c
Gestión de la Cadena de Suministros,B,2020-07-10,Sesión 10-07-2020,1:29:03,https://ca.bbcollab.com/recording/02eb6004d5be4d239d60381c6c90130c
