Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de los Recursos Naturales,A,2020-03-30,Clases GRN,1:42:25,https://ca.bbcollab.com/recording/7e29362259074249aefdc2bae1b8b374
Gestión de los Recursos Naturales,A,2020-04-02,Clases GRN,1:49:46,https://ca.bbcollab.com/recording/cb904fa526b54e51a92982a1d646b797
Gestión de los Recursos Naturales,A,2020-04-06,Clases GRN,2:16:53,https://ca.bbcollab.com/recording/1dcbe6031a4d4a3ca59f73850e2df7ab
Gestión de los Recursos Naturales,A,2020-04-13,Clases GRN,1:55:31,https://ca.bbcollab.com/recording/51d7fd2cffad4e8fa69f9f608f74c2b4
Gestión de los Recursos Naturales,A,2020-04-16,Clases GRN,2:06:49,https://ca.bbcollab.com/recording/da49ad4fd5b8423089a9e7700291bdab
Gestión de los Recursos Naturales,A,2020-04-20,Clases GRN,1:25:37,https://ca.bbcollab.com/recording/19d8f380c21849c3a755ccd6bb1823d9
Gestión de los Recursos Naturales,A,2020-04-23,Clases GRN,1:36:41,https://ca.bbcollab.com/recording/e1585787ad0f4dbd80105271a9b32399
Gestión de los Recursos Naturales,A,2020-04-27,Clases GRN,1:47:29,https://ca.bbcollab.com/recording/05cb1a3649934ca5be3f2553d3cbe445
Gestión de los Recursos Naturales,A,2020-04-30,Clases GRN,1:37:44,https://ca.bbcollab.com/recording/0b369691df644a16bf937faceaea6635
Gestión de los Recursos Naturales,A,2020-05-04,Clases GRN,2:13:54,https://ca.bbcollab.com/recording/d76dc3f70b914b19a253bd62bd90e9f5
Gestión de los Recursos Naturales,A,2020-05-07,Clases GRN,1:34:39,https://ca.bbcollab.com/recording/6563bd9ea0eb4203802ddca4dfc6dd14
Gestión de los Recursos Naturales,A,2020-05-11,Clases GRN,1:44:18,https://ca.bbcollab.com/recording/fcb9b3b631834339aaaf270c9a4beb08
Gestión de los Recursos Naturales,A,2020-05-14,Clases GRN,1:40:10,https://ca.bbcollab.com/recording/c5ffa3219a4c46efaf000397a953cb10
Gestión de los Recursos Naturales,A,2020-05-25,Clases GRN,1:38:58,https://ca.bbcollab.com/recording/324ce71910f847bab0bf77d60f5823d8
Gestión de los Recursos Naturales,A,2020-05-28,Clases GRN,1:56:25,https://ca.bbcollab.com/recording/c3da37bd30f244f898c9d0b774ee89f0
Gestión de los Recursos Naturales,A,2020-06-01,Clases GRN,1:46:38,https://ca.bbcollab.com/recording/2d5cbbd31725493cbd207d098e0edbdd
Gestión de los Recursos Naturales,A,2020-06-08,Clases GRN,1:40:23,https://ca.bbcollab.com/recording/7232ed66f90f4e13adfbafc46d0f64e1
Gestión de los Recursos Naturales,A,2020-06-11,Clases GRN,1:47:04,https://ca.bbcollab.com/recording/89d3739e3e274a1a9cd376db75cd8619
Gestión de los Recursos Naturales,A,2020-06-15,Clases GRN,1:02:59,https://ca.bbcollab.com/recording/3b46ff36a1a844ad8de4f8e29fe2858a
Gestión de los Recursos Naturales,A,2020-06-18,Clases GRN,1:35:42,https://ca.bbcollab.com/recording/9fea100162ed4e64b91823483b0dba2c
Gestión de los Recursos Naturales,A,2020-06-22,Clases GRN,1:48:42,https://ca.bbcollab.com/recording/c37b25393cb644839e4f932aa7b23c07
Gestión de los Recursos Naturales,A,2020-06-25,Clases GRN,2:01:04,https://ca.bbcollab.com/recording/8457cc4cdd2b4776b713f98e6f47872a
Gestión de los Recursos Naturales,A,2020-07-06,Clases GRN,1:48:59,https://ca.bbcollab.com/recording/9d2dfd48104d452290490852b3b295c0
Gestión de los Recursos Naturales,A,2020-07-09,Clases GRN,2:00:07,https://ca.bbcollab.com/recording/dd40ae61a6fe4f879514d5d301102d83
Gestión de los Recursos Naturales,A,2020-07-09,Clases GRN,2:00:07,https://ca.bbcollab.com/recording/dd40ae61a6fe4f879514d5d301102d83
Gestión de los Recursos Naturales,A,2020-07-16,Clases GRN,2:17:53,https://ca.bbcollab.com/recording/f90c1700e131425ab565e6cd5e9853e9
