Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de los Recursos Naturales,B,2020-03-30,Sesión 1 - 30/03/2020,2:02:19,https://ca.bbcollab.com/recording/8c3ae62a68554685b995671cd4f122db
Gestión de los Recursos Naturales,B,2020-04-03,Sesión 2 - 03/04/2020,2:15:40,https://ca.bbcollab.com/recording/7cf043fc9b3544e68b87b41563be5a90
Gestión de los Recursos Naturales,B,2020-04-06,Sesión 3 - 06/04/2020,1:57:12,https://ca.bbcollab.com/recording/ae5a41dd370f4f4980b98aca8f30192a
Gestión de los Recursos Naturales,B,2020-04-10,Sesión 4 - 10/04/2020,1:19:06,https://ca.bbcollab.com/recording/9574461ef0bd457295ad07c73adc645f
Gestión de los Recursos Naturales,B,2020-04-10,Sesión 4 - 10/04/2020,0:20:37,https://ca.bbcollab.com/recording/f06175adb62f469eaec52e1cc41c766d
Gestión de los Recursos Naturales,B,2020-04-13,Sesión 5 - 13/04/2020,1:57:28,https://ca.bbcollab.com/recording/92c4369d05274588b5ce6a07fb820e12
Gestión de los Recursos Naturales,B,2020-04-17,Sesión 6 - 17/04/2020,0:18:53,https://ca.bbcollab.com/recording/cea933b405b041c0a3452244034a615f
Gestión de los Recursos Naturales,B,2020-04-17,Sesión 6 - 17/04/2020,1:37:49,https://ca.bbcollab.com/recording/f76c43c0e50e45c2ba3f752cb5336a72
Gestión de los Recursos Naturales,B,2020-04-20,Sesión 7 - 20/04/2020,1:16:49,https://ca.bbcollab.com/recording/5f3d8f2a1c934f71a67865ee10d99dad
Gestión de los Recursos Naturales,B,2020-04-24,Sesión 8 - 24/04/20,1:59:51,https://ca.bbcollab.com/recording/5bacfc32bff24fc5816dffecc2e28e91
Gestión de los Recursos Naturales,B,2020-04-27,Sesión 9 - 27/04/2020,1:22:06,https://ca.bbcollab.com/recording/4837c7f13dd447c39629334dc812bd9a
Gestión de los Recursos Naturales,B,2020-04-27,Sesión 9 - 27/04/2020,0:11:06,https://ca.bbcollab.com/recording/cc4fbf3a616c43529d53f6e5373164f8
Gestión de los Recursos Naturales,B,2020-05-01,Sesión 10 - 01/05/2020,1:54:27,https://ca.bbcollab.com/recording/87a81bc632b944039215b9c430750630
