Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión de los Recursos Naturales,C,2020-04-01,Clases,1:40:10,https://ca.bbcollab.com/recording/627d54bcdae34a649097b6cf70e59dba
Gestión de los Recursos Naturales,C,2020-04-06,Clases,3:40:24,https://ca.bbcollab.com/recording/550c665f18f74372b0627d01f719bdad
Gestión de los Recursos Naturales,C,2020-04-08,Clases,1:33:29,https://ca.bbcollab.com/recording/923ac39929574e1a80b5c9eaec4a4796
Gestión de los Recursos Naturales,C,2020-04-13,Clases,1:41:10,https://ca.bbcollab.com/recording/2d53c659ef504be9bc42e9a48983ce36
Gestión de los Recursos Naturales,C,2020-04-15,Clases,1:37:15,https://ca.bbcollab.com/recording/9f413497866448b78f74ce8b8313310e
Gestión de los Recursos Naturales,C,2020-04-20,Clases,1:43:31,https://ca.bbcollab.com/recording/ac307b0992a8444c89fcfd5b9f44f359
Gestión de los Recursos Naturales,C,2020-04-22,Clases,1:43:59,https://ca.bbcollab.com/recording/e63fd74a0352461f84483a4673c8be7e
Gestión de los Recursos Naturales,C,2020-04-27,Clases,1:19:28,https://ca.bbcollab.com/recording/cd9b6854a51a4459bd2807e61a9263a4
Gestión de los Recursos Naturales,C,2020-04-29,Clases,1:04:52,https://ca.bbcollab.com/recording/a32ce8fe718c419e8a57f4797653e30b
Gestión de los Recursos Naturales,C,2020-05-04,Clases,1:14:38,https://ca.bbcollab.com/recording/5a474a33ec864047a42c84871001315a
Gestión de los Recursos Naturales,C,2020-05-06,Clase,0:48:47,https://ca.bbcollab.com/recording/5649c96d2059440dbcf92289b57c5912
Gestión de los Recursos Naturales,C,2020-05-11,Clase,1:38:14,https://ca.bbcollab.com/recording/9ff95846d0b94005913b35b222dd9a79
Gestión de los Recursos Naturales,C,2020-05-13,Clase,1:44:08,https://ca.bbcollab.com/recording/bbd114e2ccfa4a77b50c4f97aae1bc8f
Gestión de los Recursos Naturales,C,2020-05-21,C-Examen Parcial,2:05:53,https://ca.bbcollab.com/recording/2b316e29bc72426381e52cc1d5ee40f2
Gestión de los Recursos Naturales,C,2020-05-25,Clase,1:40:50,https://ca.bbcollab.com/recording/45d1582f79b3408b83e5b7f1d6507215
Gestión de los Recursos Naturales,C,2020-06-01,Clase,1:37:36,https://ca.bbcollab.com/recording/e4df94b6bb2a4e9a98eeefe8ac1dd622
Gestión de los Recursos Naturales,C,2020-06-03,Clase,1:10:38,https://ca.bbcollab.com/recording/eac10bbbe4c041139b912109e8ca2851
Gestión de los Recursos Naturales,C,2020-06-08,Clase,1:27:37,https://ca.bbcollab.com/recording/592fd9a29de5453ab13460a335467c24
Gestión de los Recursos Naturales,C,2020-06-10,Clase,1:16:43,https://ca.bbcollab.com/recording/e52b972ab4814bfd8f4d6884e988af54
Gestión de los Recursos Naturales,C,2020-06-15,Clase,0:21:50,https://ca.bbcollab.com/recording/415661ebf33c46ffb0d48093437cd3a9
Gestión de los Recursos Naturales,C,2020-06-17,Clase,1:44:13,https://ca.bbcollab.com/recording/50a24a3f621444db86cf11cfa9df5f35
Gestión de los Recursos Naturales,C,2020-06-22,Clase,1:25:23,https://ca.bbcollab.com/recording/870eb45ba5794e1f87a76a7916147a24
Gestión de los Recursos Naturales,C,2020-06-24,Clase,1:02:14,https://ca.bbcollab.com/recording/6ab0187fe7cb44b7b873133d5a14504a
Gestión de los Recursos Naturales,C,2020-07-01,Clase,1:19:53,https://ca.bbcollab.com/recording/44cdb2a7f3a54aa4ab9d14915879f9b9
Gestión de los Recursos Naturales,C,2020-07-06,Clase,1:41:02,https://ca.bbcollab.com/recording/368b276a259b4b35a49a43d683cb6b49
Gestión de los Recursos Naturales,C,2020-07-08,Clase,1:59:13,https://ca.bbcollab.com/recording/008f4c023a8a4d5f99eb3905304e0238
Gestión de los Recursos Naturales,C,2020-07-08,Clase,1:59:13,https://ca.bbcollab.com/recording/008f4c023a8a4d5f99eb3905304e0238
Gestión de los Recursos Naturales,C,2020-07-16,Examen Final,2:49:43,https://ca.bbcollab.com/recording/329fed2287b340388b8388cac79d13c6
