Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión del Capital Humano,B,2020-03-31,Sesión 1,1:43:10,https://ca.bbcollab.com/recording/8ac4560e4ebf4809a18cbb0c1da6b4e4
Gestión del Capital Humano,B,2020-04-02,SESION 2,1:35:48,https://ca.bbcollab.com/recording/8efb9e1b9f674179a14970ee44ab02ba
Gestión del Capital Humano,B,2020-04-07,SESIÓN 3,0:10:16,https://ca.bbcollab.com/recording/433870953dda47d39cc4f3fe574bf2f6
Gestión del Capital Humano,B,2020-04-07,SESIÓN 3,1:00:45,https://ca.bbcollab.com/recording/6d93b155ceee42ddaea1e7d2e5c384a9
Gestión del Capital Humano,B,2020-04-14,SESION 5,1:36:06,https://ca.bbcollab.com/recording/3c5f79ad10744d24bf4efc5a768625ee
Gestión del Capital Humano,B,2020-04-16,SESION 6,1:24:49,https://ca.bbcollab.com/recording/cfd8e7a2eacb4567a9a63d04401eb947
Gestión del Capital Humano,B,2020-04-21,sesión 7,1:27:44,https://ca.bbcollab.com/recording/f5d24217f93c46d289fe96f7503da7ca
Gestión del Capital Humano,B,2020-04-23,sesión 8,0:44:18,https://ca.bbcollab.com/recording/ef12d28b5bbd4a4b93b84d289283c99b
Gestión del Capital Humano,B,2020-04-28,sesión 9,1:32:34,https://ca.bbcollab.com/recording/665a62e272ae4e2098c54a056dd28a06
Gestión del Capital Humano,B,2020-04-30,sesión 10,0:05:32,https://ca.bbcollab.com/recording/74196eaadd21456b8358ba67ad7afda6
Gestión del Capital Humano,B,2020-04-30,sesión 10,1:04:18,https://ca.bbcollab.com/recording/fdcf0b6fab7e4c83bba931bfec4fa066
Gestión del Capital Humano,B,2020-05-05,sesión 11,1:32:28,https://ca.bbcollab.com/recording/8b7f2498b4bf4dff9f873f27bf2ef3d7
Gestión del Capital Humano,B,2020-05-07,sesión 12,0:22:02,https://ca.bbcollab.com/recording/91ea6529c3e345aeaa68265e8f62e8df
Gestión del Capital Humano,B,2020-05-07,sesión 12,0:04:04,https://ca.bbcollab.com/recording/c8833fe5c0c74f23a122589d566fa4d5
Gestión del Capital Humano,B,2020-05-07,sesión 12,0:26:34,https://ca.bbcollab.com/recording/d612cbf09c484ab5b89ab1dfc551878d
Gestión del Capital Humano,B,2020-05-12,SESIÓN 13,1:24:59,https://ca.bbcollab.com/recording/e62f8a02fe2e422e98dcc521a5673c37
Gestión del Capital Humano,B,2020-05-14,sesión 14,1:11:41,https://ca.bbcollab.com/recording/8f3db107a71c4c3aa0ea7bd413523e8e
Gestión del Capital Humano,B,2020-05-26,sesión 15,0:34:35,https://ca.bbcollab.com/recording/2a107f5149a6471fae923214ddbcf49c
Gestión del Capital Humano,B,2020-05-26,sesión 15,0:36:59,https://ca.bbcollab.com/recording/821832b7f7e147598f70ca5db97d30e6
Gestión del Capital Humano,B,2020-05-28,sesión 16,1:16:41,https://ca.bbcollab.com/recording/b90088b460584988bd6dcc57b3af05d9
Gestión del Capital Humano,B,2020-06-02,SESIÓN 17,1:27:26,https://ca.bbcollab.com/recording/64b318d3fbfe4a28b4f9ace5301b3c22
Gestión del Capital Humano,B,2020-06-04,sesión 18,0:40:16,https://ca.bbcollab.com/recording/a7fee05b66584a889f40e4bc14cf8f7c
Gestión del Capital Humano,B,2020-06-09,SESIÓN 19,1:35:25,https://ca.bbcollab.com/recording/cba317b8cdc64f6dabfe80e05124d6f2
Gestión del Capital Humano,B,2020-06-11,SESIÓN 20,0:28:24,https://ca.bbcollab.com/recording/44d647d466fb4f61bdd51bd6b7ad3bf6
Gestión del Capital Humano,B,2020-06-11,SESIÓN 20,0:35:17,https://ca.bbcollab.com/recording/4c814c19521a40e3a2a809931be1785e
Gestión del Capital Humano,B,2020-06-16,sesión 21,1:36:33,https://ca.bbcollab.com/recording/e987550e5d734faf8a4e7fce2b7b8543
Gestión del Capital Humano,B,2020-06-18,SESIÓN 22,1:21:41,https://ca.bbcollab.com/recording/3e0980ca283e4d7d8fe154c6fbe313d5
Gestión del Capital Humano,B,2020-06-23,sesión 23,1:22:32,https://ca.bbcollab.com/recording/7eb5881676e14fa5938fe1be22799176
Gestión del Capital Humano,B,2020-06-25,sesión 24,1:29:30,https://ca.bbcollab.com/recording/5086e3b25b9644d98aa116ba96eb264f
Gestión del Capital Humano,B,2020-06-30,sesión 25,0:51:43,https://ca.bbcollab.com/recording/1d1543e50fd84ef384f026434f858731
Gestión del Capital Humano,B,2020-07-09,sesión 28,0:50:08,https://ca.bbcollab.com/recording/51362015077e4891845054ef61711938
