Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gestión del Comercio Internacional,A,2020-04-01,Sesion1,1:26:26,https://ca.bbcollab.com/recording/d8dd7873e60046969e201547cda1a6d6
Gestión del Comercio Internacional,A,2020-04-03,Sesion2,1:36:22,https://ca.bbcollab.com/recording/c4ee78362e68478e8941f98efaf7314c
Gestión del Comercio Internacional,A,2020-04-08,Sesion3,2:24:58,https://ca.bbcollab.com/recording/a9c0be14025a4d1d902909912821e664
Gestión del Comercio Internacional,A,2020-04-15,sesion4,1:39:55,https://ca.bbcollab.com/recording/7263c367ee954765b329876db64e930d
Gestión del Comercio Internacional,A,2020-04-17,Sesion 5,0:36:15,https://ca.bbcollab.com/recording/33e0845acedf437388dd9c4987fb5f3d
Gestión del Comercio Internacional,A,2020-04-22,Sesion 6,1:47:46,https://ca.bbcollab.com/recording/707752f4c2974577b2fc8a73cf8389ff
Gestión del Comercio Internacional,A,2020-04-24,Sesion 7,1:34:15,https://ca.bbcollab.com/recording/b3a787ce00534fa6988e07df92111570
Gestión del Comercio Internacional,A,2020-04-29,Sesion 8,0:50:17,https://ca.bbcollab.com/recording/011d6a8c94184f84bbea1c370c77035c
Gestión del Comercio Internacional,A,2020-05-06,Sesion 9,0:20:00,https://ca.bbcollab.com/recording/3afd98a70da04a03941fa2e524359958
Gestión del Comercio Internacional,A,2020-05-06,Sesion 9,1:40:11,https://ca.bbcollab.com/recording/d718ce1e039f446e88cbd4ad51ddd3f0
Gestión del Comercio Internacional,A,2020-05-08,Sesion 08-05,2:16:18,https://ca.bbcollab.com/recording/e9ed08ffb8f44311badc1a09d6a2cbd4
Gestión del Comercio Internacional,A,2020-05-13,Sesion 11,1:40:59,https://ca.bbcollab.com/recording/887f69e1369d4bb380b5539e82cccae4
Gestión del Comercio Internacional,A,2020-05-15,Sesion 15Mayo,1:40:25,https://ca.bbcollab.com/recording/079dd064568543e1abcaabc55a496164
Gestión del Comercio Internacional,A,2020-05-21,Examen Parcial GCI_2020_1,2:10:59,https://ca.bbcollab.com/recording/19f382f109854d2694b29127c368d35b
Gestión del Comercio Internacional,A,2020-05-27,Sesion 27 de mayo,1:12:21,https://ca.bbcollab.com/recording/130b4d3c6c524693aaf6da16a8b2a2ce
Gestión del Comercio Internacional,A,2020-05-29,Sesión 29/05,1:41:33,https://ca.bbcollab.com/recording/6e2467ead3cc4fd8a4e9e8309c4d0c51
Gestión del Comercio Internacional,A,2020-06-03,Sesión 3 de junio,1:51:08,https://ca.bbcollab.com/recording/6151d2f697b64de1b7fee40f7bcb9196
Gestión del Comercio Internacional,A,2020-06-05,Sesion 05 JUn,1:43:15,https://ca.bbcollab.com/recording/00281574884f4d32a0800dd61483f645
Gestión del Comercio Internacional,A,2020-06-10,Sesion 10 de junio,0:07:47,https://ca.bbcollab.com/recording/e0b7d471931946efa13daf1f8167129e
Gestión del Comercio Internacional,A,2020-06-17,Sesion 17 de junio,1:57:29,https://ca.bbcollab.com/recording/bb57adce09b74568a948d20636b9d60e
Gestión del Comercio Internacional,A,2020-06-18,Sesión recuperación 18/06/2020,1:13:35,https://ca.bbcollab.com/recording/49aec94f20c54f6b91ba60d61ece1e75
Gestión del Comercio Internacional,A,2020-06-19,Sesion 19/06/2020,1:07:41,https://ca.bbcollab.com/recording/92631d00884240b69e5766eeb2f34825
Gestión del Comercio Internacional,A,2020-06-24,Sesion 24 de junio,1:26:09,https://ca.bbcollab.com/recording/cd101ffabb214c9c859d4be71f18b3ae
Gestión del Comercio Internacional,A,2020-06-26,sesión 26/06/2020,1:08:52,https://ca.bbcollab.com/recording/0ada0b2b105441228507834f8ea1bd0a
Gestión del Comercio Internacional,A,2020-07-01,01/07/2020,1:11:26,https://ca.bbcollab.com/recording/8a590a3660e54369a62b7561df593a46
Gestión del Comercio Internacional,A,2020-07-01,01/07/2020,1:11:26,https://ca.bbcollab.com/recording/8a590a3660e54369a62b7561df593a46
Gestión del Comercio Internacional,A,2020-07-03,Sesion 03/07/2020,1:33:28,https://ca.bbcollab.com/recording/233b129ff2c445f49b1c8fd309375f67
Gestión del Comercio Internacional,A,2020-07-03,Sesion 03/07/2020,1:33:28,https://ca.bbcollab.com/recording/233b129ff2c445f49b1c8fd309375f67
Gestión del Comercio Internacional,A,2020-07-08,sesion 08/07/2020,1:31:10,https://ca.bbcollab.com/recording/92368e2c242540a580c34cb369a85747
Gestión del Comercio Internacional,A,2020-07-08,sesion 08/07/2020,1:31:10,https://ca.bbcollab.com/recording/92368e2c242540a580c34cb369a85747
Gestión del Comercio Internacional,A,2020-07-10,Sesión 10/07/2020,0:53:48,https://ca.bbcollab.com/recording/a98ab9e39c0943da854d65e9908d00f8
Gestión del Comercio Internacional,A,2020-07-10,Sesión 10/07/2020,0:53:48,https://ca.bbcollab.com/recording/a98ab9e39c0943da854d65e9908d00f8
Gestión del Comercio Internacional,A,2020-07-16,Examen Final,1:47:38,https://ca.bbcollab.com/recording/0a9c6ed739bd43ffb96b1c7b73293207
