Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Global Branding,A,2020-04-03,GB - Friday Sessions,2:42:11,https://ca.bbcollab.com/recording/9ed15da50a1847089b6b5abfbecc2b1e
Global Branding,A,2020-04-17,GB - Friday Sessions,2:40:41,https://ca.bbcollab.com/recording/64bb3ad61b824bcdb857b821d9059e7d
Global Branding,A,2020-04-24,GB - Friday Sessions,2:33:06,https://ca.bbcollab.com/recording/60708b44c84544f79b2ecd22bb3b6ff2
Global Branding,A,2020-05-08,GB - Friday Sessions,2:47:30,https://ca.bbcollab.com/recording/efea589387c64efcaa99cb72a7585eb9
Global Branding,A,2020-05-15,GB - Friday Sessions,2:32:39,https://ca.bbcollab.com/recording/00a347eaf3d74c7499cf5d7ea8015908
Global Branding,A,2020-05-29,GB - Friday Sessions,2:25:32,https://ca.bbcollab.com/recording/de2f6cd23b1748159fa8ee47bf87e4a3
Global Branding,A,2020-06-05,GB - Friday Sessions,2:50:37,https://ca.bbcollab.com/recording/6a87cb1464564b99816703e971164c28
Global Branding,A,2020-06-12,GB - Friday Sessions,2:44:21,https://ca.bbcollab.com/recording/25749137090a4880a4c03ea017d42b93
Global Branding,A,2020-06-19,GB - Friday Sessions,1:40:08,https://ca.bbcollab.com/recording/ab8cb152213d49bea108020a0b815fa4
Global Branding,A,2020-06-26,GB - Friday Sessions,2:37:37,https://ca.bbcollab.com/recording/873ab07f395141a3ba295dcba8795963
Global Branding,A,2020-07-03,GB - Friday Sessions,2:33:44,https://ca.bbcollab.com/recording/f42cebe256f14bab9105675699364204
Global Branding,A,2020-07-10,GB - Friday Sessions,2:18:22,https://ca.bbcollab.com/recording/10b69f015939482bb0070c4ce72f96b7
Global Branding,A,2020-07-10,GB - Friday Sessions,2:18:22,https://ca.bbcollab.com/recording/10b69f015939482bb0070c4ce72f96b7
