Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,A,2020-03-30,SESION DEL LUNES,1:40:27,https://ca.bbcollab.com/recording/134a2b16f2724a76ad6e6a1cd07f8044
Historia Económica y Empresarial,A,2020-04-03,SESION DEL VIERNES,1:38:59,https://ca.bbcollab.com/recording/863fd94b7fa04f4f887485ed8bc6ce78
Historia Económica y Empresarial,A,2020-04-06,SESION DEL LUNES,1:51:40,https://ca.bbcollab.com/recording/f171c3d1fb6a4a008bf476e8e482df43
Historia Económica y Empresarial,A,2020-04-13,SESION DEL LUNES,2:10:20,https://ca.bbcollab.com/recording/20cdf41491154b37b86febac87c070e4
Historia Económica y Empresarial,A,2020-04-17,SESION DEL VIERNES,1:42:45,https://ca.bbcollab.com/recording/e13b0c5346e0468c91da3da1df3f6a16
Historia Económica y Empresarial,A,2020-04-20,SESION DEL LUNES,0:21:16,https://ca.bbcollab.com/recording/fd79d122211f4f75909b71bcb013c5c2
Historia Económica y Empresarial,A,2020-04-24,SESION DEL VIERNES,1:11:40,https://ca.bbcollab.com/recording/b3314668264f45a7bae43592a3e5118e
Historia Económica y Empresarial,A,2020-04-24,SESION DEL VIERNES,1:37:24,https://ca.bbcollab.com/recording/7a4ffdc4d42f401eab62f32c76f80f17
Historia Económica y Empresarial,A,2020-04-27,SESION DEL LUNES,2:04:41,https://ca.bbcollab.com/recording/dfdfb372a928489a81bc39d0c32f769f
Historia Económica y Empresarial,A,2020-05-04,SESION DEL LUNES,2:02:18,https://ca.bbcollab.com/recording/2bab2e11654c4492adb733548f651315
Historia Económica y Empresarial,A,2020-05-08,SESION DEL VIERNES,1:51:36,https://ca.bbcollab.com/recording/38a34b07e4c948408866770412a4042a
Historia Económica y Empresarial,A,2020-05-11,SESION DEL LUNES,0:09:35,https://ca.bbcollab.com/recording/2b4a2f21a8c54eac878626efaff76311
Historia Económica y Empresarial,A,2020-05-15,SESION DEL VIERNES,1:44:57,https://ca.bbcollab.com/recording/428665ddb7224d0facc98fb5c45c0cf6
Historia Económica y Empresarial,A,2020-05-25,SESION DEL LUNES,2:04:30,https://ca.bbcollab.com/recording/a6703ac854654a17ab2c42a210140e04
Historia Económica y Empresarial,A,2020-05-29,SESION DEL VIERNES,1:31:23,https://ca.bbcollab.com/recording/ca000dfcb0694ea4bdd5c4dbf5cbd228
Historia Económica y Empresarial,A,2020-06-01,SESION DEL LUNES,1:47:17,https://ca.bbcollab.com/recording/51a5794e9eb94110a751ea560a1309c7
Historia Económica y Empresarial,A,2020-06-05,SESION DEL VIERNES,1:42:42,https://ca.bbcollab.com/recording/7d9efc9acc424a798684eb0a2ee97b1d
Historia Económica y Empresarial,A,2020-06-08,SESION DEL LUNES,1:47:07,https://ca.bbcollab.com/recording/4fe5378c129e415dbf25c312c058a880
Historia Económica y Empresarial,A,2020-06-12,SESION DEL VIERNES,1:31:28,https://ca.bbcollab.com/recording/5a7ae6d97f9f4d629667ff8eef7b995c
Historia Económica y Empresarial,A,2020-06-15,SESION DEL LUNES,2:15:28,https://ca.bbcollab.com/recording/3ae568f0459843d49db71d7db82da4a0
Historia Económica y Empresarial,A,2020-06-19,SESION DEL VIERNES,0:03:47,https://ca.bbcollab.com/recording/7fd7b94eb75a47e28a73a5b293afecb6
Historia Económica y Empresarial,A,2020-06-22,SESION DEL LUNES,2:08:48,https://ca.bbcollab.com/recording/48e2121b938043dda3e59260c24bda07
Historia Económica y Empresarial,A,2020-06-26,SESION DEL VIERNES,1:32:33,https://ca.bbcollab.com/recording/748c9ecb58564cc8b9cb0a1138abd283
Historia Económica y Empresarial,A,2020-07-03,SESION DEL VIERNES,1:46:12,https://ca.bbcollab.com/recording/0cb8c8399ef64ac2bde71df426f8899c
Historia Económica y Empresarial,A,2020-07-06,SESION DEL LUNES,2:24:32,https://ca.bbcollab.com/recording/543750e6bb6f4ddf85a8e0b96064029d
Historia Económica y Empresarial,A,2020-07-10,SESION DEL VIERNES,0:00:02,https://ca.bbcollab.com/recording/26737b71143147af993fc142e570919c
Historia Económica y Empresarial,A,2020-07-10,SESION DEL VIERNES,1:32:01,https://ca.bbcollab.com/recording/4606b56e546f47b7987381c41fd46a68
