Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,C,2020-03-30,Sesión 1: Presentación del curso,2:15:00,https://ca.bbcollab.com/recording/f85968dfe4bb4e6aa19b59ba4135e802
Historia Económica y Empresarial,C,2020-04-03,Sesión 2,0:26:42,https://ca.bbcollab.com/recording/227024e81f774296aaffa319a40e0eb4
Historia Económica y Empresarial,C,2020-04-03,Sesión 2,1:03:40,https://ca.bbcollab.com/recording/c9ccbecaff774779a0b6090e3ad19295
Historia Económica y Empresarial,C,2020-04-06,Sesión lunes,2:11:31,https://ca.bbcollab.com/recording/27a09f8b459d4dea8cf1720f36ef1b6c
Historia Económica y Empresarial,C,2020-04-13,Sesión lunes,2:55:29,https://ca.bbcollab.com/recording/ccff421e376a49509fb8e9410c8066f6
Historia Económica y Empresarial,C,2020-04-17,Sesión viernes,1:56:29,https://ca.bbcollab.com/recording/6d7f20e004c84a67ae35a14fe3b5708c
Historia Económica y Empresarial,C,2020-04-20,Sesión lunes,0:11:36,https://ca.bbcollab.com/recording/f316bec2264e4f0b9bd2fc99636fb63d
Historia Económica y Empresarial,C,2020-04-24,Sesión viernes,1:33:29,https://ca.bbcollab.com/recording/5ac6f19ca25248e0b537335618aa6413
Historia Económica y Empresarial,C,2020-04-27,Sesión lunes,2:44:32,https://ca.bbcollab.com/recording/f1c082742c0d4e9fb5367815770b1f84
Historia Económica y Empresarial,C,2020-05-04,Sesión lunes,2:38:50,https://ca.bbcollab.com/recording/f5eef8f7648d48b8a2b96a10026e7004
Historia Económica y Empresarial,C,2020-05-08,Sesión viernes,2:25:52,https://ca.bbcollab.com/recording/5ccac12564704ed9b822ac72b3b49d61
Historia Económica y Empresarial,C,2020-05-15,Sesión viernes,1:33:37,https://ca.bbcollab.com/recording/03e01cd4118d44c299377bc32433430f
Historia Económica y Empresarial,C,2020-05-25,Sesión lunes,2:50:47,https://ca.bbcollab.com/recording/4ae2684e584a41b49b718a1b621f09d4
Historia Económica y Empresarial,C,2020-05-29,Sesión viernes,1:50:14,https://ca.bbcollab.com/recording/f61f8575e86045a6a3eb1de1fd3aee1c
Historia Económica y Empresarial,C,2020-06-01,Sesión lunes,2:49:37,https://ca.bbcollab.com/recording/4655d4b331594b5d93561f6fd25f3dd7
Historia Económica y Empresarial,C,2020-06-05,Sesión viernes,1:34:37,https://ca.bbcollab.com/recording/2158d23ce23e4117b7e4ae3adb401517
Historia Económica y Empresarial,C,2020-06-08,Sesión lunes,2:44:47,https://ca.bbcollab.com/recording/e280a8a847ba4700b04ce35e2a2f73dc
Historia Económica y Empresarial,C,2020-06-12,Sesión viernes,1:42:43,https://ca.bbcollab.com/recording/2ca943a7103c40f9beb55e2846bd7ea0
Historia Económica y Empresarial,C,2020-06-15,Lunes,2:24:20,https://ca.bbcollab.com/recording/fc67f3162c05441a9dbf2956b606cfa8
Historia Económica y Empresarial,C,2020-06-22,Lunes,2:47:42,https://ca.bbcollab.com/recording/2e642ab396124bf59e855025ddacd636
Historia Económica y Empresarial,C,2020-06-26,Sesión viernes,1:46:34,https://ca.bbcollab.com/recording/ac3479fb642445d5bbfad0158901052a
Historia Económica y Empresarial,C,2020-07-03,Sesión viernes,1:34:15,https://ca.bbcollab.com/recording/9c603c4bb6eb49a7a313ac202ceb70eb
Historia Económica y Empresarial,C,2020-07-06,Lunes,2:39:52,https://ca.bbcollab.com/recording/dd51c76f50cc48ec957b8e40fb71aeb6
