Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,D,2020-03-30,SESION DEL LUNES,1:40:12,https://ca.bbcollab.com/recording/2c5d5c5ae12a45729aeff7f6dfeb79fb
Historia Económica y Empresarial,D,2020-04-03,SESION DEL VIERNES,1:38:24,https://ca.bbcollab.com/recording/1061a31752ac4cb7b34414ac0623ff6f
Historia Económica y Empresarial,D,2020-04-06,SESION DEL LUNES,1:45:26,https://ca.bbcollab.com/recording/2e0ea33975b24363a97b6c540cb3bc1d
Historia Económica y Empresarial,D,2020-04-13,SESION DEL LUNES,2:06:03,https://ca.bbcollab.com/recording/716128a6cb3a4044927f4d215d71c371
Historia Económica y Empresarial,D,2020-04-17,SESION DEL VIERNES,1:38:48,https://ca.bbcollab.com/recording/adfb2cd4612440db81a0b5d8fd0e79a5
Historia Económica y Empresarial,D,2020-04-20,SESION DEL LUNES,0:20:31,https://ca.bbcollab.com/recording/2bea3fa307104866b2141e7b1f268d4d
Historia Económica y Empresarial,D,2020-04-24,SESION DEL VIERNES,1:48:55,https://ca.bbcollab.com/recording/bc752b05375f471a98172c21d183e0fe
Historia Económica y Empresarial,D,2020-04-27,SESION DEL LUNES,2:00:20,https://ca.bbcollab.com/recording/0d1c0278aa7e41c29cadd818c0fcca13
Historia Económica y Empresarial,D,2020-05-04,SESION DEL LUNES,2:11:30,https://ca.bbcollab.com/recording/3d2b7ce7ecc2445eaa68ae3ccc0141a4
Historia Económica y Empresarial,D,2020-05-08,SESION DEL VIERNES,1:54:18,https://ca.bbcollab.com/recording/c6438b47f1ef4117813f2b7c28c96c04
Historia Económica y Empresarial,D,2020-05-11,SESION DEL LUNES,0:09:30,https://ca.bbcollab.com/recording/629fda40bcab438b8671091dd8e8b63d
Historia Económica y Empresarial,D,2020-05-15,SESION DEL VIERNES,1:43:44,https://ca.bbcollab.com/recording/2811b9d2d6c0483b853c41252c1a7ab2
Historia Económica y Empresarial,D,2020-05-25,SESION DEL LUNES,2:16:20,https://ca.bbcollab.com/recording/25edf56897d84dd59022c1546d7e494f
Historia Económica y Empresarial,D,2020-05-29,SESION DEL VIERNES,1:25:16,https://ca.bbcollab.com/recording/fd0bf5af800d47768ad7005e7035d69d
Historia Económica y Empresarial,D,2020-06-01,SESION DEL LUNES,1:47:12,https://ca.bbcollab.com/recording/45be89bc3c14404c9ce59fed52b6ca24
Historia Económica y Empresarial,D,2020-06-05,SESION DEL VIERNES,1:45:55,https://ca.bbcollab.com/recording/8c281d14e86d4fcdadd69a33d5a95691
Historia Económica y Empresarial,D,2020-06-08,SESION DEL LUNES,1:28:26,https://ca.bbcollab.com/recording/16e01fb5316b45b49b7b9bb1a780176c
Historia Económica y Empresarial,D,2020-06-08,SESION DEL LUNES,0:28:50,https://ca.bbcollab.com/recording/adcb35d502164fbebe21f032d7a0722d
Historia Económica y Empresarial,D,2020-06-12,SESION DEL VIERNES,1:30:18,https://ca.bbcollab.com/recording/b1c6c9c6b83948dea4d82bcc6a36de06
Historia Económica y Empresarial,D,2020-06-15,SESION DEL LUNES,2:04:34,https://ca.bbcollab.com/recording/94723bd5b37347238805273f8773eb05
Historia Económica y Empresarial,D,2020-06-19,SESION DEL VIERNES,0:03:23,https://ca.bbcollab.com/recording/d7adb566bad24c478fd7d0fba4edfeee
Historia Económica y Empresarial,D,2020-06-22,SESION DEL LUNES,2:09:25,https://ca.bbcollab.com/recording/70cdace37c34419180296f21c801d27e
Historia Económica y Empresarial,D,2020-06-26,SESION DEL VIERNES,1:52:55,https://ca.bbcollab.com/recording/7a21afe636214cd1afc3ccc1297c5c49
Historia Económica y Empresarial,D,2020-07-03,SESION DEL VIERNES,1:39:51,https://ca.bbcollab.com/recording/6149ade2c1cb46cd83d2437257169974
Historia Económica y Empresarial,D,2020-07-06,SESION DEL LUNES,2:28:58,https://ca.bbcollab.com/recording/096e8e225d1b4132980024d3520db9e4
Historia Económica y Empresarial,D,2020-07-10,SESION DEL VIERNES,0:02:50,https://ca.bbcollab.com/recording/2e04613695eb4a6bbb0b56f3e0d44df9
