Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,E,2020-03-30,Sesión 1,2:37:38,https://ca.bbcollab.com/recording/bdebd4df913244b7bef27f317db9b9e8
Historia Económica y Empresarial,E,2020-04-03,Sesión 2,1:48:05,https://ca.bbcollab.com/recording/c7e6d4ae22664becb7d08ab84d9107a1
Historia Económica y Empresarial,E,2020-04-06,Sesión lunes,2:10:14,https://ca.bbcollab.com/recording/e2dba69aa4a24da3abefdae8b94cd000
Historia Económica y Empresarial,E,2020-04-13,Sesión lunes,2:42:20,https://ca.bbcollab.com/recording/52d8e142d49b49c2b473a5161f19b9ee
Historia Económica y Empresarial,E,2020-04-17,Sesión viernes,2:57:18,https://ca.bbcollab.com/recording/93abf13e1468435ba7386fe17a63b825
Historia Económica y Empresarial,E,2020-04-20,Sesión lunes,0:12:49,https://ca.bbcollab.com/recording/4d97b62a459048b0bf29e0f061ea3522
Historia Económica y Empresarial,E,2020-04-24,Sesión viernes,1:55:17,https://ca.bbcollab.com/recording/5765a100e3694fa7bcb18a6dd2ac950e
Historia Económica y Empresarial,E,2020-04-27,Sesión lunes,2:38:41,https://ca.bbcollab.com/recording/41cfa1b6a4094c169581ef55c33ce71b
Historia Económica y Empresarial,E,2020-05-04,Sesión lunes,2:38:29,https://ca.bbcollab.com/recording/f86b367837eb4b0390a1a7d551fc5729
Historia Económica y Empresarial,E,2020-05-08,Sesión viernes,2:55:38,https://ca.bbcollab.com/recording/56a15b2464a942e7bbccc95cd1f28e32
Historia Económica y Empresarial,E,2020-05-15,Sesión viernes,1:32:45,https://ca.bbcollab.com/recording/518765eae7584869a93096433061db7d
Historia Económica y Empresarial,E,2020-05-25,Sesión lunes,2:58:07,https://ca.bbcollab.com/recording/1d447523c4ab48ca880ec4ccc81ceb2a
Historia Económica y Empresarial,E,2020-05-29,Sesión viernes,1:32:49,https://ca.bbcollab.com/recording/bc032d3de73e4ef489d6f29b1982638f
Historia Económica y Empresarial,E,2020-06-01,Sesión lunes,2:38:49,https://ca.bbcollab.com/recording/5a347d97a20e426985adcf8c3d4107df
Historia Económica y Empresarial,E,2020-06-05,Sesión viernes,1:39:36,https://ca.bbcollab.com/recording/30fa72a63f1a4ccfb023db530cb26c95
Historia Económica y Empresarial,E,2020-06-08,Sesión lunes,2:46:12,https://ca.bbcollab.com/recording/bdca7249ae9146a394ff30f3c2104c8f
Historia Económica y Empresarial,E,2020-06-12,Sesión viernes,1:58:16,https://ca.bbcollab.com/recording/62c8c44833ab4da88ce06205b41faf61
Historia Económica y Empresarial,E,2020-06-15,Lunes,2:32:51,https://ca.bbcollab.com/recording/72ccced05648420b8bb9026606ca9f86
Historia Económica y Empresarial,E,2020-06-22,Lunes,2:57:50,https://ca.bbcollab.com/recording/278f0667160f4851b1e4c33df9ae22d7
Historia Económica y Empresarial,E,2020-06-26,Viernes,1:30:34,https://ca.bbcollab.com/recording/fae74c8033b045be9d92ade86ba8d4b7
Historia Económica y Empresarial,E,2020-07-03,Sesión viernes,1:53:16,https://ca.bbcollab.com/recording/fa15ac0eda924ec18c6249ef6e1d86bc
Historia Económica y Empresarial,E,2020-07-06,Lunes,2:30:51,https://ca.bbcollab.com/recording/145c0c9d430340fbb72ff5ac1411157b
