Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,F,2020-03-30,SESION DEL LUNES,1:50:43,https://ca.bbcollab.com/recording/a3612fd193804553a85e118897e239c3
Historia Económica y Empresarial,F,2020-04-03,SESION DEL VIERNES,1:40:32,https://ca.bbcollab.com/recording/1322fb63bfef4061b412003426363c7f
Historia Económica y Empresarial,F,2020-04-06,SESION DEL LUNES,1:44:07,https://ca.bbcollab.com/recording/51c0c58997fe43e6a5a9a56b4f62def4
Historia Económica y Empresarial,F,2020-04-13,SESION DEL LUNES,1:46:59,https://ca.bbcollab.com/recording/72452601f78c49719ac6e6888327daf6
Historia Económica y Empresarial,F,2020-04-17,SESION DEL VIERNES,1:49:35,https://ca.bbcollab.com/recording/14a582c7b913468aba0965a5e590692e
Historia Económica y Empresarial,F,2020-04-20,SESION DEL LUNES,0:20:13,https://ca.bbcollab.com/recording/73c0b83659f7444a9d6c6736ea8708b4
Historia Económica y Empresarial,F,2020-04-24,SESION DEL VIERNES,2:05:06,https://ca.bbcollab.com/recording/b1577f9b8279443abf602abbd8a0c763
Historia Económica y Empresarial,F,2020-04-27,SESION DEL LUNES,1:59:01,https://ca.bbcollab.com/recording/669e233144f74a0aa3c8344cf52ed70a
Historia Económica y Empresarial,F,2020-05-04,SESION DEL LUNES,1:49:05,https://ca.bbcollab.com/recording/c10a4314215e44e9aa2b864ecd759dcc
Historia Económica y Empresarial,F,2020-05-08,SESION DEL VIERNES,2:07:48,https://ca.bbcollab.com/recording/321e85cb362b4996828f9d9c2b0b1c5d
Historia Económica y Empresarial,F,2020-05-11,SESION DEL LUNES,0:09:35,https://ca.bbcollab.com/recording/bacd556891d74589b224dc681919a716
Historia Económica y Empresarial,F,2020-05-15,SESION DEL VIERNES,1:54:10,https://ca.bbcollab.com/recording/98aabae7f13b447aa3612b4c1d9b3e21
Historia Económica y Empresarial,F,2020-05-25,SESION DEL LUNES,2:05:57,https://ca.bbcollab.com/recording/c8a5fc222eba45ccb6f1e8e2e136abce
Historia Económica y Empresarial,F,2020-05-29,SESION DEL VIERNES,1:34:42,https://ca.bbcollab.com/recording/5e3b7e6a58a54b2ab6f9c55a2d5d6648
Historia Económica y Empresarial,F,2020-06-01,SESION DEL LUNES,1:44:16,https://ca.bbcollab.com/recording/c19b62057ac343f79f63a9cb1dbc0878
Historia Económica y Empresarial,F,2020-06-05,SESION DEL VIERNES,1:38:16,https://ca.bbcollab.com/recording/21d86d2237ea4872869e26490ffb623e
Historia Económica y Empresarial,F,2020-06-08,SESION DEL LUNES,2:25:23,https://ca.bbcollab.com/recording/f3eac994bcf2458d8b66e186e68d1fa8
Historia Económica y Empresarial,F,2020-06-12,SESION DEL VIERNES,1:32:13,https://ca.bbcollab.com/recording/7e90adefabd04d8e818996632a411ec9
Historia Económica y Empresarial,F,2020-06-15,SESION DEL LUNES,2:01:24,https://ca.bbcollab.com/recording/d8fadf3b646d4086ba37792d66778e16
Historia Económica y Empresarial,F,2020-06-19,SESION DEL VIERNES,0:04:34,https://ca.bbcollab.com/recording/3d0c7c1b583e47b29311d4f60da20a07
Historia Económica y Empresarial,F,2020-06-22,SESION DEL LUNES,2:19:47,https://ca.bbcollab.com/recording/1329551aae8e43a6a3e4c94fcd9b5f4c
Historia Económica y Empresarial,F,2020-06-26,SESION DEL VIERNES,1:48:10,https://ca.bbcollab.com/recording/1c5d83047bae43caaf524088d4bbd2bc
Historia Económica y Empresarial,F,2020-07-03,SESION DEL VIERNES,2:00:01,https://ca.bbcollab.com/recording/47a8a72396334cf9999493c023afed12
Historia Económica y Empresarial,F,2020-07-06,SESION DEL LUNES,2:02:56,https://ca.bbcollab.com/recording/ccf7e7f740984089956293ec56717618
Historia Económica y Empresarial,F,2020-07-10,SESION DEL VIERNES,0:03:39,https://ca.bbcollab.com/recording/1bb45d121822471196358c8a6ae49d8c
