Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,G,2020-03-31,Introducción al curso,1:10:11,https://ca.bbcollab.com/recording/2029416dd5184bc9b94458c20c3d37ed
Historia Económica y Empresarial,G,2020-04-02,1. La primera globalización,1:25:18,https://ca.bbcollab.com/recording/e37a2ed499424c9ab33b14d962041f8f
Historia Económica y Empresarial,G,2020-04-07,Miller,0:23:25,https://ca.bbcollab.com/recording/b3f97f19ddc44cfaaccd306d24b4e17d
Historia Económica y Empresarial,G,2020-04-14,2. de la Cruz Fernández,0:39:50,https://ca.bbcollab.com/recording/8d8932ffc460447ea330660e043d1e57
Historia Económica y Empresarial,G,2020-04-16,Pautas ensayo,1:09:20,https://ca.bbcollab.com/recording/8cb7755dfad94f35916895f56645993b
Historia Económica y Empresarial,G,2020-04-16,Tutorial ensayo,0:03:33,https://ca.bbcollab.com/recording/ef23672b27b4441c9498684b9bf21010
Historia Económica y Empresarial,G,2020-04-23,Posguerra,1:16:14,https://ca.bbcollab.com/recording/01531f0b17a543bda928a7b02ae62c2d
Historia Económica y Empresarial,G,2020-04-28,Bulmer-Thomas,0:43:20,https://ca.bbcollab.com/recording/c76e9c83e3c64d968f27c3ed59eb4e14
Historia Económica y Empresarial,G,2020-04-30,El Nuevo Trato,2:41:16,https://ca.bbcollab.com/recording/0320f683cf8f4de887e40bc11cb85581
Historia Económica y Empresarial,G,2020-05-05,Contreras,0:15:39,https://ca.bbcollab.com/recording/a64e725c9d3943c28a8502f3605e2291
Historia Económica y Empresarial,G,2020-05-05,Contreras,0:25:56,https://ca.bbcollab.com/recording/fd6d1b0a373f40df8e957f3b1ab2b700
Historia Económica y Empresarial,G,2020-05-07,"Perú, 1930-1948",1:06:02,https://ca.bbcollab.com/recording/80092809fde64ba09e3863016d0dcc38
Historia Económica y Empresarial,G,2020-05-14,SGM-Holocausto,1:16:32,https://ca.bbcollab.com/recording/f4954443cafe4858841e5d42754e8f79
Historia Económica y Empresarial,G,2020-05-26,Amsden,2:29:23,https://ca.bbcollab.com/recording/cd6491d7743d4e74a666e4f6de9370be
Historia Económica y Empresarial,G,2020-05-28,Bretton Woods,0:23:12,https://ca.bbcollab.com/recording/3a9145bfdff342e18f9fd22db3226e62
Historia Económica y Empresarial,G,2020-05-28,Bretton Woods,0:53:33,https://ca.bbcollab.com/recording/cfcab89ae4284ea3bb2156e5b8b6d4e8
Historia Económica y Empresarial,G,2020-06-02,Bulmer-Thomas IX,0:29:10,https://ca.bbcollab.com/recording/99119aaa185d4b8192c366c4010c5bbc
Historia Económica y Empresarial,G,2020-06-02,Bulmer-Thomas IX,1:21:43,https://ca.bbcollab.com/recording/99e224a2b0c1408ba6f04f7c262b1883
Historia Económica y Empresarial,G,2020-06-04,Época dorada del capitalismo,1:02:50,https://ca.bbcollab.com/recording/af2c1b5985794dc38e9cfd23b4a3d67e
Historia Económica y Empresarial,G,2020-06-09,Jaramillo,2:22:17,https://ca.bbcollab.com/recording/49d4f4da5be64e5f9aed3b792c18b6b6
Historia Económica y Empresarial,G,2020-06-11,"Peru, 1948-1972, primera parte",1:21:18,https://ca.bbcollab.com/recording/c048f6f46c0f4684aa7b04838484ddc4
Historia Económica y Empresarial,G,2020-06-16,Tercer ensayo,1:16:48,https://ca.bbcollab.com/recording/b6c39d380ef7464eaadfe6c24a040514
Historia Económica y Empresarial,G,2020-06-18,Tercer ensayo,2:11:59,https://ca.bbcollab.com/recording/cd0e55fb79ba4b6198a58ce4dc17b251
Historia Económica y Empresarial,G,2020-06-18,Tercer ensayo,0:10:08,https://ca.bbcollab.com/recording/eb0216897eff4bc99792e24210b0fc9d
Historia Económica y Empresarial,G,2020-06-23,Williamson,2:05:41,https://ca.bbcollab.com/recording/d0a04ef62f0b45c4876e87079685006a
Historia Económica y Empresarial,G,2020-06-25,"Perú, 1975-1990",1:00:20,https://ca.bbcollab.com/recording/6f251316838145df986d3a7764058069
Historia Económica y Empresarial,G,2020-06-30,Dancourt,1:06:02,https://ca.bbcollab.com/recording/3af0655499f246a3916565b4f17804dd
Historia Económica y Empresarial,G,2020-06-30,Dancourt,0:30:38,https://ca.bbcollab.com/recording/98f18b95c2f0481fb54cfb6ec23756b9
Historia Económica y Empresarial,G,2020-07-02,Globalización,1:26:54,https://ca.bbcollab.com/recording/e88c93945d694e35af88459d2ae65610
Historia Económica y Empresarial,G,2020-07-07,Preguntas Ex Final,0:42:25,https://ca.bbcollab.com/recording/ee309f1330d14b119182c8a2ea1cbcc4
