Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,I,2020-03-31,Sesión 01 - 31/03,2:49:43,https://ca.bbcollab.com/recording/3a55e51a992f4ef7ae8f215af0be932c
Historia Económica y Empresarial,I,2020-04-02,Sesión 2. Jueves 2 de abril.,1:37:13,https://ca.bbcollab.com/recording/cb0546018c774def9b9c10ffd439e28a
Historia Económica y Empresarial,I,2020-04-07,Sesión del 7 de abril,2:51:05,https://ca.bbcollab.com/recording/b58feeea332b4a34802cbb8d1cf74ef1
Historia Económica y Empresarial,I,2020-04-14,Clase 14 de abril,2:49:02,https://ca.bbcollab.com/recording/0eec1d20c66d475ea6cd1b5d3451ab88
Historia Económica y Empresarial,I,2020-04-16,Clase 16 de abril,1:52:36,https://ca.bbcollab.com/recording/5f1ec76429fa4d0c84a32218c484baaa
Historia Económica y Empresarial,I,2020-04-21,Clase 21 de abril (ensayo),0:30:57,https://ca.bbcollab.com/recording/b6efa0ff40b9414a99031ab37c2a61ba
Historia Económica y Empresarial,I,2020-04-23,Clase 23 de abril,1:41:51,https://ca.bbcollab.com/recording/fff57ec8e9be4ac399b014e6930fd435
Historia Económica y Empresarial,I,2020-04-28,28 de abril,2:32:36,https://ca.bbcollab.com/recording/2955cb2d43ef46419cf3a000d39bb504
Historia Económica y Empresarial,I,2020-04-30,Clase 30 de abril,1:45:25,https://ca.bbcollab.com/recording/272db498319e41068214d8268b988744
Historia Económica y Empresarial,I,2020-05-05,Clase 5 de mayo,2:27:01,https://ca.bbcollab.com/recording/73043fdf9d30420bae675570fc8d743b
Historia Económica y Empresarial,I,2020-05-07,Clase 7 de mayo,1:41:45,https://ca.bbcollab.com/recording/2a70899a4122401abd388c55e208ce52
Historia Económica y Empresarial,I,2020-05-12,Clase 12 de mayo - Ensayo 2,0:14:48,https://ca.bbcollab.com/recording/86ff8bcb756e4905ab48fbd075202d24
Historia Económica y Empresarial,I,2020-05-12,Clase 12 de mayo - Ensayo 2,0:36:15,https://ca.bbcollab.com/recording/dbe7adaa8a1a43269ed26cb6cd464e70
Historia Económica y Empresarial,I,2020-05-14,Clase 14 de mayo,1:49:55,https://ca.bbcollab.com/recording/9447deffdd8b4c87883bf29dee6709ea
Historia Económica y Empresarial,I,2020-05-26,Clase 26 de mayo,2:54:07,https://ca.bbcollab.com/recording/e821e7ae881144a69b9edbeea513e572
Historia Económica y Empresarial,I,2020-05-28,Clase 28 de mayo,1:40:41,https://ca.bbcollab.com/recording/c1631b95b6644bda9a03f85caafcc47c
Historia Económica y Empresarial,I,2020-06-02,Clase 2 de junio,2:47:44,https://ca.bbcollab.com/recording/88d638f5cf26472b9f4547fedc6ed5fc
Historia Económica y Empresarial,I,2020-06-04,Clase 4 de junio,1:42:46,https://ca.bbcollab.com/recording/1183e85e539a4a3d81cb4b53f38a9475
Historia Económica y Empresarial,I,2020-06-09,Clase 9 de junio,2:52:53,https://ca.bbcollab.com/recording/c10ff015191c47648084ae6f24be987e
Historia Económica y Empresarial,I,2020-06-11,Clase 11 de junio,1:50:44,https://ca.bbcollab.com/recording/9b5cecf7567f4960b205b58340adf94f
Historia Económica y Empresarial,I,2020-06-16,Clase 16 de junio,3:04:31,https://ca.bbcollab.com/recording/2eb226a0e084485db580f1c7cbbd708b
Historia Económica y Empresarial,I,2020-06-18,Clase 18 de junio - ENSAYO 3,1:52:31,https://ca.bbcollab.com/recording/d47d3ff784ff406e95a040f4bcf5b997
Historia Económica y Empresarial,I,2020-06-23,Clase 23 de junio,1:49:45,https://ca.bbcollab.com/recording/ae463d0720044add90385d868e6220df
Historia Económica y Empresarial,I,2020-06-25,Clase 25 de junio,1:55:21,https://ca.bbcollab.com/recording/374951cee7864c1d8189b265490d4369
Historia Económica y Empresarial,I,2020-06-30,Clase 30 de junio,2:55:46,https://ca.bbcollab.com/recording/b8fe92455e414eb6a0bb53fb485aac44
Historia Económica y Empresarial,I,2020-07-02,Clase 2 de julio,1:52:33,https://ca.bbcollab.com/recording/e98a882592ff487289be32877931effc
Historia Económica y Empresarial,I,2020-07-07,Clase 7 de julio,2:55:22,https://ca.bbcollab.com/recording/c5918c4b87dc4382b2b18fa371392155
Historia Económica y Empresarial,I,2020-07-09,Clase 9 de julio - ENSAYO 4,2:25:19,https://ca.bbcollab.com/recording/a43904d0ef0c4cd8a68acbe4388bc59d
Historia Económica y Empresarial,I,2020-07-09,Clase 9 de julio - ENSAYO 4,2:25:19,https://ca.bbcollab.com/recording/a43904d0ef0c4cd8a68acbe4388bc59d
