Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,J,2020-03-31,"Sesión 1 martes 31 marzo, 10:30 am.",2:39:10,https://ca.bbcollab.com/recording/8767650db1e74b43abb2b95afe699f06
Historia Económica y Empresarial,J,2020-04-02,"Sesión 2, jueves 2 de abril, 11:30 am.",1:47:09,https://ca.bbcollab.com/recording/36a81e26734144549b8f7fb305281d68
Historia Económica y Empresarial,J,2020-04-07,"Sesión 3, martes 7 de abril 2020",2:50:01,https://ca.bbcollab.com/recording/41a6adda311b4767880a5ddc01d118ac
Historia Económica y Empresarial,J,2020-04-14,Sesión 4 martes 14 de abril 2020,2:42:28,https://ca.bbcollab.com/recording/89e2bdca8e6d49b9b04a2017ef0445fb
Historia Económica y Empresarial,J,2020-04-16,"Sesión 5, jueves 16 de abril 2020",1:43:36,https://ca.bbcollab.com/recording/9fa3e09c10e34725aa37213d571a56db
Historia Económica y Empresarial,J,2020-04-23,Sesión 7 jueves 23 de abril 2020,1:36:22,https://ca.bbcollab.com/recording/8803783830d8494f8003821290f795a7
Historia Económica y Empresarial,J,2020-04-28,Sesión 8 martes 28 de abril 2020,2:41:44,https://ca.bbcollab.com/recording/5bf008a60c1f4eb8b1b56b7021d48d3d
Historia Económica y Empresarial,J,2020-05-05,Sesión 10 martes 5 de mayo 2020,2:45:02,https://ca.bbcollab.com/recording/3f1b962a3bd34b1a9219654f252078db
Historia Económica y Empresarial,J,2020-05-07,"Sesión 11, jueves 7 de mayo de 2020",1:46:21,https://ca.bbcollab.com/recording/4acd6ea6a9ce44a7ab5da6de1833bd11
Historia Económica y Empresarial,J,2020-05-14,Sesión 13 jueves 14 de mayo 2020,1:29:32,https://ca.bbcollab.com/recording/1e32396455f24482bddc3914597f0365
Historia Económica y Empresarial,J,2020-05-26,"Sesión 14, martes 26 de mayo 2020",2:20:33,https://ca.bbcollab.com/recording/bb86ff380b774eb4ac5ed6245052c1db
Historia Económica y Empresarial,J,2020-05-28,"Sesión 15, jueves 28 de mayo 2020",1:47:14,https://ca.bbcollab.com/recording/4496dfd4eeb94f55aa764e73d0a6de74
Historia Económica y Empresarial,J,2020-06-02,"Sesión 16, martes 2 de junio 2020",2:46:10,https://ca.bbcollab.com/recording/f58b722a4bf4405ca34d42e52fb0e8f8
Historia Económica y Empresarial,J,2020-06-04,"Sesión 17, jueves 4 de junio 2020",1:45:57,https://ca.bbcollab.com/recording/91a40643d864405fb271b07164c09f08
Historia Económica y Empresarial,J,2020-06-09,"Sesión 18, martes 9 de junio 2020",2:37:08,https://ca.bbcollab.com/recording/b3c807a95cde41e1a28a8bf8bae19058
Historia Económica y Empresarial,J,2020-06-11,"Sesión 19, jueves 11 junio 2020",1:39:07,https://ca.bbcollab.com/recording/78739660af1e480497a8eae8329325f5
Historia Económica y Empresarial,J,2020-06-16,"Sesión 20, martes 16 de junio 2020",2:47:16,https://ca.bbcollab.com/recording/366079a4591f49f0bfdaf6359bae0823
Historia Económica y Empresarial,J,2020-06-23,"Sesión 22, martes 23 de junio 2020",2:36:29,https://ca.bbcollab.com/recording/b39de01d805f45b687e5a58af3de5644
Historia Económica y Empresarial,J,2020-06-25,Sesión 23 Jueves 25 de junio 2020,1:42:42,https://ca.bbcollab.com/recording/1f78af30dfb548f1876de6e5c8781915
Historia Económica y Empresarial,J,2020-06-30,"Sesión 24, martes 30 de junio",2:22:16,https://ca.bbcollab.com/recording/d681fe1ebe7c4a9494e2da6ec5376116
Historia Económica y Empresarial,J,2020-07-02,"Sesión 25,  jueves 2 de julio",1:46:01,https://ca.bbcollab.com/recording/db053a5babe247a3a6a4b2129ebc8d7f
Historia Económica y Empresarial,J,2020-07-07,"Sesión 26, martes 7 de julio 2020",2:12:39,https://ca.bbcollab.com/recording/2e6aae2e9221410286478765e1a74487
