Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia Económica y Empresarial,K,2020-03-31,"Sesión 1, martes 31 de marzo, 14:30 pm.",2:39:54,https://ca.bbcollab.com/recording/87b30b791a344cce8892f4d0b899b860
Historia Económica y Empresarial,K,2020-04-02,"Sesión 2, jueves 2 de abril, 14:30 pm",1:43:25,https://ca.bbcollab.com/recording/68bacdd505ee46abb93fbf71ebc1aef3
Historia Económica y Empresarial,K,2020-04-07,"Sesión 3, martes 7 de abril 2020",2:36:55,https://ca.bbcollab.com/recording/e570a34831d14c329e07a2917c20cbb3
Historia Económica y Empresarial,K,2020-04-14,"Sesión 4, martes 13 de abril 2020",2:47:35,https://ca.bbcollab.com/recording/f174c600baeb469fb0a774d3a505178c
Historia Económica y Empresarial,K,2020-04-16,"Sesión 5, jueves 16 de abril de 2020",1:52:53,https://ca.bbcollab.com/recording/587ab57f335c4833839b88e1f9d076cb
Historia Económica y Empresarial,K,2020-04-23,Sesión 7 jueves 23 de abril 2020,1:32:45,https://ca.bbcollab.com/recording/2f1939e7d8954497b137090ba2654eda
Historia Económica y Empresarial,K,2020-04-28,Sesión 8 martes 28 de abril 2020,2:38:38,https://ca.bbcollab.com/recording/f73d72410a2d4430ac0f8a5893422305
Historia Económica y Empresarial,K,2020-05-05,Sesión 10 martes 5 de mayo 2020,2:40:27,https://ca.bbcollab.com/recording/c74fac6cc12f4a24b35bb9d5b20205fc
Historia Económica y Empresarial,K,2020-05-07,"Sesión 11, jueves 7 de mayo 2020",1:32:47,https://ca.bbcollab.com/recording/f19c34b620bf44978cdb2736a56aaa4d
Historia Económica y Empresarial,K,2020-05-14,Sesión 13 jueves 14 de mayo 2020,1:17:07,https://ca.bbcollab.com/recording/ba3abd8679c6458e947456dd7e5f84e2
Historia Económica y Empresarial,K,2020-05-26,"Sesión 14, martes 26 de mayo 2020",2:09:31,https://ca.bbcollab.com/recording/462c367a1c77405195681bbb3f8aa05f
Historia Económica y Empresarial,K,2020-05-28,"Sesión 15, jueves 28 de mayo 2020",1:46:55,https://ca.bbcollab.com/recording/b5398d69c3434c6c95fe337fb24dd91f
Historia Económica y Empresarial,K,2020-06-02,"Sesión 16, 2 de junio 2020",2:42:20,https://ca.bbcollab.com/recording/dee0ec7cebae4950aacf63200064c787
Historia Económica y Empresarial,K,2020-06-04,"Sesión 17, 4 de junio 2020",1:49:11,https://ca.bbcollab.com/recording/d9395f1c756c467abc11cc1e0ccd4697
Historia Económica y Empresarial,K,2020-06-09,"Sesión 18, martes 9 de junio 2020",1:10:24,https://ca.bbcollab.com/recording/4ee4596fa0bf4ba3b0395067db4a7343
Historia Económica y Empresarial,K,2020-06-09,"Sesión 18, martes 9 de junio 2020",0:44:53,https://ca.bbcollab.com/recording/e04549bd863047659fdcb242a4a902d8
Historia Económica y Empresarial,K,2020-06-11,"Sesión 19, jueves 11 junio 2020",1:39:05,https://ca.bbcollab.com/recording/3b34e6e833c84325a396c006ac413252
Historia Económica y Empresarial,K,2020-06-16,"Sesión 20, martes 16 junio 2020",1:50:45,https://ca.bbcollab.com/recording/7bc0ff220400410f8b883f0d616a15ae
Historia Económica y Empresarial,K,2020-06-16,"Sesión 20, martes 16 junio 2020",0:49:57,https://ca.bbcollab.com/recording/fc7147fa37024d0fac96c3ffc0408f81
Historia Económica y Empresarial,K,2020-06-23,Sesión 22. martes 23 de junio 2020,2:37:40,https://ca.bbcollab.com/recording/521e99da18d346a8af4f41bd93514540
Historia Económica y Empresarial,K,2020-06-25,"Sesión 23, jueves 25 de junio 2020",1:40:24,https://ca.bbcollab.com/recording/095d27db2b464503a3dc848bbe9b1ff0
Historia Económica y Empresarial,K,2020-06-30,"Sesión 24, martes 30 de junio",2:18:50,https://ca.bbcollab.com/recording/e41bdb212a644e37999abbe5ec7bd8e5
Historia Económica y Empresarial,K,2020-07-02,"Sesión 25, jueves 2 de julio",1:35:40,https://ca.bbcollab.com/recording/0fc4c83fa29e4348842994cc00b16b30
Historia Económica y Empresarial,K,2020-07-07,"Sesión 26, martes 7 de julio 2020",2:37:50,https://ca.bbcollab.com/recording/aa47942519654c48a16700efd969d01d
