Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia de las Relac. Intern. Perú y Es,A,2020-04-01,Introducción,1:19:38,https://ca.bbcollab.com/recording/8427ac36ba66427f8a0b496fe321c7bb
Historia de las Relac. Intern. Perú y Es,A,2020-04-08,Colonia y República temprana,1:30:03,https://ca.bbcollab.com/recording/8a0ed6f8eae7400eac073895dfbb168d
Historia de las Relac. Intern. Perú y Es,A,2020-04-15,Independencia,1:33:38,https://ca.bbcollab.com/recording/381804c243224832b31cc01cdda12272
Historia de las Relac. Intern. Perú y Es,A,2020-04-22,El guano,1:04:41,https://ca.bbcollab.com/recording/dcf8b5e631b04002a1529a456c7419d4
Historia de las Relac. Intern. Perú y Es,A,2020-04-29,Guerra del Pacifico,1:31:56,https://ca.bbcollab.com/recording/79953807ee9044928515ef87f4757086
Historia de las Relac. Intern. Perú y Es,A,2020-05-06,Contrato Grace,1:11:41,https://ca.bbcollab.com/recording/ac433a2816eb4736b427ab3c52aa5696
Historia de las Relac. Intern. Perú y Es,A,2020-05-13,El Oncenio,1:25:36,https://ca.bbcollab.com/recording/f7bae38c2cfb4fe9ba6e510123a37e48
Historia de las Relac. Intern. Perú y Es,A,2020-05-27,SGM,1:55:18,https://ca.bbcollab.com/recording/ca5a577c5d2a4e7d946fc10b37810bfb
Historia de las Relac. Intern. Perú y Es,A,2020-06-03,Guerra Fría,1:34:16,https://ca.bbcollab.com/recording/ee21fcd2902d46bda3d369960133fd3e
Historia de las Relac. Intern. Perú y Es,A,2020-06-10,Peru-EEUU,1:59:09,https://ca.bbcollab.com/recording/3b9b4b788db14cb484d64395163120ed
Historia de las Relac. Intern. Perú y Es,A,2020-06-17,Peru-EEUU,0:56:27,https://ca.bbcollab.com/recording/2fbbdb46bcd14c66823aa36940e0efc1
Historia de las Relac. Intern. Perú y Es,A,2020-06-24,Informes orales,1:04:46,https://ca.bbcollab.com/recording/df981324866143a69bc32569e0fdae65
Historia de las Relac. Intern. Perú y Es,A,2020-07-01,Peru-EEUU,2:36:23,https://ca.bbcollab.com/recording/47bbdb598aa1496b82caf234149c4c69
