Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Historia del Pensamiento Económico,A,2020-03-31,Inicio de clase,1:19:44,https://ca.bbcollab.com/recording/845366171db24c46a7319cbdfca37df7
Historia del Pensamiento Económico,A,2020-04-03,CLASE 2,1:50:29,https://ca.bbcollab.com/recording/029eac715f354d27a9d64824e5829e13
Historia del Pensamiento Económico,A,2020-04-07,Clase 3,1:08:28,https://ca.bbcollab.com/recording/6b513d48ef184baba77467a9790b964c
Historia del Pensamiento Económico,A,2020-04-14,Clase 4,1:12:59,https://ca.bbcollab.com/recording/fe3ae19429ab41cdbe7fe325176410f8
Historia del Pensamiento Económico,A,2020-04-17,Clase V,1:15:53,https://ca.bbcollab.com/recording/4a0399a795f049b38bfb76514caa7b71
Historia del Pensamiento Económico,A,2020-04-21,Clase VI,1:15:13,https://ca.bbcollab.com/recording/adca836ccb0e40978725df939a782d17
Historia del Pensamiento Económico,A,2020-04-24,Sesion VI,1:16:45,https://ca.bbcollab.com/recording/67bbf6cf150744888a9ffae12c2201fc
Historia del Pensamiento Económico,A,2020-04-28,Las Ideas de los Mercantilistas,1:25:31,https://ca.bbcollab.com/recording/c12c6c5036234943863a5d43ee3ec814
Historia del Pensamiento Económico,A,2020-05-05,La Teoriía de la Balanza de Pagos,1:09:18,https://ca.bbcollab.com/recording/b3b0202d465d4fdbb3cd0eb08a6f5a5b
Historia del Pensamiento Económico,A,2020-05-08,Examen Parcial,1:03:12,https://ca.bbcollab.com/recording/a7841b0adb8e4dde9b7794e245d8d512
Historia del Pensamiento Económico,A,2020-05-12,Los Fisiocratas Y su tiempo,1:05:51,https://ca.bbcollab.com/recording/4100d2136178497483a9f10b69a778a3
Historia del Pensamiento Económico,A,2020-05-15,Las Ideas de los Fisiocratas,1:16:56,https://ca.bbcollab.com/recording/2784e48d04d047bd9ff6393580121d6b
Historia del Pensamiento Económico,A,2020-05-26,La Economía Politica,1:03:27,https://ca.bbcollab.com/recording/44af3484df684a92a38143f454c984c6
Historia del Pensamiento Económico,A,2020-06-02,Los temas de la Economía Política,1:09:19,https://ca.bbcollab.com/recording/3acde0f442ec401b9cea1040cd27098f
Historia del Pensamiento Económico,A,2020-06-05,La Teoría del Valor,1:27:39,https://ca.bbcollab.com/recording/c940046ff7fe4f9fb6c628406cb06abf
Historia del Pensamiento Económico,A,2020-06-09,Teoria del Valor trabajo,0:20:46,https://ca.bbcollab.com/recording/b14971fdee6443c8a873192f56a7a363
Historia del Pensamiento Económico,A,2020-06-09,Teoria del Valor Trabajo,1:21:26,https://ca.bbcollab.com/recording/d92093ec217944748be439e63cd18836
Historia del Pensamiento Económico,A,2020-06-12,La Teorìa del Comercio Internacional,1:19:09,https://ca.bbcollab.com/recording/5b28abd358c84f05abe805380688acc5
Historia del Pensamiento Económico,A,2020-06-23,Crecimiento y distribución,0:00:04,https://ca.bbcollab.com/recording/8063a27293374d28b54ada623297cfb1
Historia del Pensamiento Económico,A,2020-06-23,Crecimiento y distribución,0:53:27,https://ca.bbcollab.com/recording/93cdcb7c798e472685c66cf7edb4b6a9
Historia del Pensamiento Económico,A,2020-06-26,Crecimiento y Distribución II,1:34:18,https://ca.bbcollab.com/recording/b6f4067e8107418b8f4ec311925d6cc0
Historia del Pensamiento Económico,A,2020-06-30,Examen Final,0:48:22,https://ca.bbcollab.com/recording/bb5eeb7dfd64400fa0e4cba144536465
Historia del Pensamiento Económico,A,2020-07-03,Escuelas Neoclásicas,0:48:58,https://ca.bbcollab.com/recording/c2f80e0290ce47db8fe0952ba2525a5f
Historia del Pensamiento Económico,A,2020-07-07,Escuelas Neoclásicas II,0:58:35,https://ca.bbcollab.com/recording/6149d083defa4cbebc9b30f1f72bc13c
Historia del Pensamiento Económico,A,2020-07-10,Las Escuelas Económicas de Alemania,1:47:47,https://ca.bbcollab.com/recording/11b043013ed0473aadff6364f317bb40
Historia del Pensamiento Económico,A,2020-07-10,Las Escuelas Económicas de Alemania,1:47:47,https://ca.bbcollab.com/recording/11b043013ed0473aadff6364f317bb40
