Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Human Resource Management,A,2020-03-31,1st Week - Tuesday Class,1:31:33,https://ca.bbcollab.com/recording/2a4367fe1ee94beeb3369d686c5f9585
Human Resource Management,A,2020-04-07,Class,1:48:31,https://ca.bbcollab.com/recording/15d2abeeab974b089dc920d2a7a5c474
Human Resource Management,A,2020-04-14,Class,1:50:05,https://ca.bbcollab.com/recording/874b41182aed4b6dac752928bfa717bd
Human Resource Management,A,2020-04-16,Class,1:38:37,https://ca.bbcollab.com/recording/80fbafc1d3d34bf0a5802322b46d152c
Human Resource Management,A,2020-04-23,Class,1:23:58,https://ca.bbcollab.com/recording/54a831bbd4774d3bbce56fd02f0735d4
Human Resource Management,A,2020-04-28,Class,1:33:55,https://ca.bbcollab.com/recording/6eaf18985785418eb139a64fa9bb70cf
Human Resource Management,A,2020-04-30,Class,1:38:34,https://ca.bbcollab.com/recording/c4f078c2500141c39f8801561699394a
Human Resource Management,A,2020-05-05,Class,1:22:00,https://ca.bbcollab.com/recording/c66c2ecccdfc4918b2e5adcb6d2c597b
Human Resource Management,A,2020-05-12,Class,1:05:54,https://ca.bbcollab.com/recording/67670cfa6ee34fc28ef87f62f463a12c
Human Resource Management,A,2020-05-14,Class,1:32:37,https://ca.bbcollab.com/recording/aa396b44424a4ac1bc2096422e911ca8
Human Resource Management,A,2020-05-26,Class,1:37:54,https://ca.bbcollab.com/recording/f992bb2ae32a42ff99a04914bbb90d73
Human Resource Management,A,2020-06-02,Class,1:29:03,https://ca.bbcollab.com/recording/c4d34fc66b9244d5987c437a0274a247
Human Resource Management,A,2020-06-04,Class,1:27:30,https://ca.bbcollab.com/recording/e8282430caa848b4bfa048541aa749e8
Human Resource Management,A,2020-06-04,Class,0:10:46,https://ca.bbcollab.com/recording/fbd6a6dee89c42b7b8d81a977eefda3c
Human Resource Management,A,2020-06-09,Class,1:34:30,https://ca.bbcollab.com/recording/947b7e0dcbde4e2597d0c7cdb4cb7a92
Human Resource Management,A,2020-06-11,Class,1:25:37,https://ca.bbcollab.com/recording/86d04fa48aa44ff7b492cf18e2ffc1a3
Human Resource Management,A,2020-06-18,Class,1:55:18,https://ca.bbcollab.com/recording/92110a832fc247609a7c50f2e077e205
Human Resource Management,A,2020-06-23,Class,1:55:24,https://ca.bbcollab.com/recording/8c526f12f51c41edb8eb92636c5eb628
Human Resource Management,A,2020-06-25,Class,1:20:30,https://ca.bbcollab.com/recording/5541afaca33742e589ef97faac9bc21d
Human Resource Management,A,2020-07-02,Class,1:08:25,https://ca.bbcollab.com/recording/c96b8e2cebdc47d294b6daba6e140c5f
Human Resource Management,A,2020-07-02,Class,1:08:25,https://ca.bbcollab.com/recording/c96b8e2cebdc47d294b6daba6e140c5f
