Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Informática para los Negocios I,A,2020-03-30,CLASE,0:40:51,https://ca.bbcollab.com/recording/b8a3edcee50a43af918d10d05d722a5a
Informática para los Negocios I,A,2020-03-30,CLASE,1:01:35,https://ca.bbcollab.com/recording/ef91643bb9114bbc9114a84789493bba
Informática para los Negocios I,A,2020-04-01,CLASE,0:54:01,https://ca.bbcollab.com/recording/7f8a575a5c3748198b60612fa371fbdc
Informática para los Negocios I,A,2020-04-01,CLASE,0:40:20,https://ca.bbcollab.com/recording/c1eaef60d2e34014adfda806a4621847
Informática para los Negocios I,A,2020-04-06,CLASE,1:02:55,https://ca.bbcollab.com/recording/917cb5eb8b7248a4878bda5ac72fe0e0
Informática para los Negocios I,A,2020-04-06,CLASE,0:30:43,https://ca.bbcollab.com/recording/ca920f8b2e5e4fbbb0f66450281d0c8b
Informática para los Negocios I,A,2020-04-08,CLASE,1:45:07,https://ca.bbcollab.com/recording/fa9c43ca2fe9457cabdcfb6adf62079b
Informática para los Negocios I,A,2020-04-10,CLASE,1:40:05,https://ca.bbcollab.com/recording/a3b6550ad8fa43d7b30719da61442f70
Informática para los Negocios I,A,2020-04-13,CLASE,0:37:22,https://ca.bbcollab.com/recording/df6329511404446da41039265420ae90
Informática para los Negocios I,A,2020-04-13,CLASE,1:12:04,https://ca.bbcollab.com/recording/e4f3f720315344d39f3398daa6c7f793
Informática para los Negocios I,A,2020-04-15,CLASE,0:16:23,https://ca.bbcollab.com/recording/831022a0af6840308b8557a9581d65f9
Informática para los Negocios I,A,2020-04-15,CLASE,0:28:24,https://ca.bbcollab.com/recording/b1c09a2d4050441c8ed52e33719571ad
Informática para los Negocios I,A,2020-04-15,CLASE,0:41:34,https://ca.bbcollab.com/recording/b9eabf9c5d7f44bd8787c91c68c4cef2
Informática para los Negocios I,A,2020-04-15,CLASE,0:14:18,https://ca.bbcollab.com/recording/fb8ab2f9241745a490159b57773b5214
Informática para los Negocios I,A,2020-04-17,CLASE,1:46:52,https://ca.bbcollab.com/recording/1c1672e3fae84398b8fea3ed6bfe1e6c
Informática para los Negocios I,A,2020-04-20,CLASE,1:43:48,https://ca.bbcollab.com/recording/53b8332cc45f4bf2bde1b8db27ca5a90
Informática para los Negocios I,A,2020-04-22,CLASE,1:29:18,https://ca.bbcollab.com/recording/8d9cb00b89104555b214c16e6e6731d2
Informática para los Negocios I,A,2020-04-24,CLASE,0:07:10,https://ca.bbcollab.com/recording/82d32f5de62f432384f1b73040e7ecc7
Informática para los Negocios I,A,2020-04-24,CLASE,1:22:02,https://ca.bbcollab.com/recording/ca052519b8494317a963cd8d630ed247
Informática para los Negocios I,A,2020-04-27,CLASE,1:42:28,https://ca.bbcollab.com/recording/d9569b694cf04503a580b93e4184be33
Informática para los Negocios I,A,2020-04-29,CLASE,0:06:12,https://ca.bbcollab.com/recording/903bcbb832934cfe9f14649d0692b5b5
Informática para los Negocios I,A,2020-04-29,CLASE,1:29:41,https://ca.bbcollab.com/recording/bbd252bc0c8b4a68b06c87c65383d9ea
Informática para los Negocios I,A,2020-05-01,CLASE,0:41:52,https://ca.bbcollab.com/recording/54ce775a13494b1abf16ea5fc824a08e
Informática para los Negocios I,A,2020-05-01,CLASE,0:30:16,https://ca.bbcollab.com/recording/fd20d71679904eadab44cbfcd8396282
Informática para los Negocios I,A,2020-05-04,CLASE,1:42:13,https://ca.bbcollab.com/recording/f96dfb1422014482a1a98eec06f0396a
Informática para los Negocios I,A,2020-05-06,CLASE,0:09:46,https://ca.bbcollab.com/recording/5e272f27e2284271b028be01ef60eb24
Informática para los Negocios I,A,2020-05-06,CLASE,1:35:59,https://ca.bbcollab.com/recording/ab8fb69beb354efb889cd2897613bfd7
Informática para los Negocios I,A,2020-05-08,CLASE,1:36:36,https://ca.bbcollab.com/recording/bbabde85ca624c94ac68223064eafdff
Informática para los Negocios I,A,2020-05-11,CLASE,1:54:39,https://ca.bbcollab.com/recording/2c6c95cf7dc3415aad022501cf6b321b
Informática para los Negocios I,A,2020-05-13,CLASE,1:40:09,https://ca.bbcollab.com/recording/16fad0cfc8674c798909782aed0d6cb9
Informática para los Negocios I,A,2020-05-13,CLASE,0:13:56,https://ca.bbcollab.com/recording/1744c20210954ad3a6548c1d228fd027
Informática para los Negocios I,A,2020-05-15,CLASE,1:35:22,https://ca.bbcollab.com/recording/2226d2c0433c4a5a9b810f86683f9f4a
Informática para los Negocios I,A,2020-05-25,CLASE,1:52:00,https://ca.bbcollab.com/recording/6f27177437654f21a0cf1ba939b7daeb
Informática para los Negocios I,A,2020-05-27,CLASE,1:54:44,https://ca.bbcollab.com/recording/ec180d3700df46b58e096790cacc3b7c
Informática para los Negocios I,A,2020-05-29,CLASE,1:39:28,https://ca.bbcollab.com/recording/7d531aa256b94007ae4be10c7701a525
Informática para los Negocios I,A,2020-06-01,CLASE,1:43:46,https://ca.bbcollab.com/recording/404de0ba899047ca88e1b97707fc2aab
Informática para los Negocios I,A,2020-06-03,CLASE,1:59:12,https://ca.bbcollab.com/recording/f38ccf60e4d94a069fe156e785a1c358
Informática para los Negocios I,A,2020-06-05,CLASE,1:40:09,https://ca.bbcollab.com/recording/99f575d7bf0f43a186b5f042d471dbbe
Informática para los Negocios I,A,2020-06-08,CLASE,1:23:51,https://ca.bbcollab.com/recording/19e8bb7d7d7e46c299ddf2d678677c0a
Informática para los Negocios I,A,2020-06-08,CLASE,0:28:08,https://ca.bbcollab.com/recording/a5947b1ef72a4551822d3f629797b0e3
Informática para los Negocios I,A,2020-06-10,CLASE,1:48:00,https://ca.bbcollab.com/recording/86fe6512594d4840b50fd183be8a2d07
Informática para los Negocios I,A,2020-06-12,CLASE,1:51:53,https://ca.bbcollab.com/recording/fadcbf959a844aa1a289ff8c431b886f
Informática para los Negocios I,A,2020-06-15,CLASE,1:52:00,https://ca.bbcollab.com/recording/03d20579eeb14ee3b4ae5395e58f8efe
Informática para los Negocios I,A,2020-06-17,CLASE,1:53:14,https://ca.bbcollab.com/recording/94263648b1f643cf8bed44bfb61f4b02
