Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Informática para los Negocios I,B,2020-03-31,Clase 01,1:53:50,https://ca.bbcollab.com/recording/2527500e115944128fbb255573ee2b03
Informática para los Negocios I,B,2020-04-01,Clase 02,1:45:56,https://ca.bbcollab.com/recording/1b922fd981db46628e91494b740cb971
Informática para los Negocios I,B,2020-04-02,Clase 03,1:48:04,https://ca.bbcollab.com/recording/f1bda66f8cf14f2b92eebc450659c451
Informática para los Negocios I,B,2020-04-07,Clase 04,1:55:17,https://ca.bbcollab.com/recording/306f2982f5f144a7ac6777f0bc21a7e5
Informática para los Negocios I,B,2020-04-08,Clase 05,1:53:19,https://ca.bbcollab.com/recording/241dbde5400a4fcbafcc88805e8bdb8a
Informática para los Negocios I,B,2020-04-09,Clase 06,1:56:03,https://ca.bbcollab.com/recording/33c0b74bf71b4534aa8465d9aac188c7
Informática para los Negocios I,B,2020-04-15,Clase 8,1:52:59,https://ca.bbcollab.com/recording/a30c6433b587436bba06869052933de1
Informática para los Negocios I,B,2020-04-16,Clase 09,1:42:48,https://ca.bbcollab.com/recording/64f738cf70674d698ed0b69514aceee4
Informática para los Negocios I,B,2020-04-21,Clase 10,0:08:19,https://ca.bbcollab.com/recording/3da4b3b9edb74a199b5409bcedad8452
Informática para los Negocios I,B,2020-04-21,Clase 10,1:18:08,https://ca.bbcollab.com/recording/5c00a63369194ae39d1dcd0bc8ca1455
Informática para los Negocios I,B,2020-04-21,Clase 10 Parte 3,1:57:01,https://ca.bbcollab.com/recording/ecbfef0348804241882e9a0aaa027f88
Informática para los Negocios I,B,2020-04-22,Clase 10 Parte 3 Repeticion,1:59:16,https://ca.bbcollab.com/recording/0a797a1d8bb44cb2bedffaaab6e5fd9e
Informática para los Negocios I,B,2020-04-22,Clase 11,1:46:20,https://ca.bbcollab.com/recording/20f86c7d41f74411ab4e9eedb4d56d97
Informática para los Negocios I,B,2020-04-23,Clase 12,1:50:24,https://ca.bbcollab.com/recording/7c709111825e4b79a2a6bde69d82b625
Informática para los Negocios I,B,2020-04-23,Pre PC1 Sección B,2:00:48,https://ca.bbcollab.com/recording/4554372cf49548f4a70948a92502d124
