Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Informática para los Negocios I,H,2020-03-30,Clase 01,1:45:01,https://ca.bbcollab.com/recording/6713d94b2e04479ea2352dfb94c064f4
Informática para los Negocios I,H,2020-04-01,Clase 02,1:45:24,https://ca.bbcollab.com/recording/17653e6a6bdf4a3b994580a28ebdae7c
Informática para los Negocios I,H,2020-04-05,Clase 03,1:41:58,https://ca.bbcollab.com/recording/498304ef52894cb5851ee6eb544b3335
Informática para los Negocios I,H,2020-04-06,Clase 04,1:50:29,https://ca.bbcollab.com/recording/aafbc88c21e3416aa0172d5d27f50e0b
Informática para los Negocios I,H,2020-04-08,Clase 05,1:48:14,https://ca.bbcollab.com/recording/44afae7dcdd04e299fb4fd6979d19f4a
Informática para los Negocios I,H,2020-04-10,Clase 06,1:47:22,https://ca.bbcollab.com/recording/a1280c9092814f498d4e00ac190ae9a7
Informática para los Negocios I,H,2020-04-13,Clase 06,1:44:43,https://ca.bbcollab.com/recording/d45cbeb9c6da46aab53fc2b3cd7fae1a
Informática para los Negocios I,H,2020-04-15,Clase 8,1:49:40,https://ca.bbcollab.com/recording/85dbf3a4005f4a1abb4ad2daa81c2bd7
Informática para los Negocios I,H,2020-04-17,Clase 9,1:47:17,https://ca.bbcollab.com/recording/7fa3273ca4ea4dc1bf78826095b0a3a4
Informática para los Negocios I,H,2020-04-20,Clase 10,1:40:54,https://ca.bbcollab.com/recording/d03059ec61cb497292994cde41e24f2e
Informática para los Negocios I,H,2020-04-22,Clase 11,1:43:48,https://ca.bbcollab.com/recording/de6875a09f7749489a6642483e218316
Informática para los Negocios I,H,2020-04-22,Pre PC1 Sección H,1:54:20,https://ca.bbcollab.com/recording/ba046ecee93a4857ab826b95b72f06ea
Informática para los Negocios I,H,2020-04-24,Clase 12,1:43:32,https://ca.bbcollab.com/recording/34bbea08b91e49328001fd10280d021b
Informática para los Negocios I,H,2020-04-27,Clase 13,1:52:01,https://ca.bbcollab.com/recording/1acc39e650524734bd9df7d6813e54fd
Informática para los Negocios I,H,2020-04-29,Clase 14,1:42:28,https://ca.bbcollab.com/recording/3393d89b74ec48529416965d2af26f2b
Informática para los Negocios I,H,2020-05-01,Clase 15,1:44:22,https://ca.bbcollab.com/recording/ccfe4c53284f4f0a857eed9550845e85
Informática para los Negocios I,H,2020-05-04,Clase 16,1:42:55,https://ca.bbcollab.com/recording/9fcfccf0477e4a8db46e41a8aad0cf05
Informática para los Negocios I,H,2020-05-06,Clase 17,1:49:09,https://ca.bbcollab.com/recording/1bd6652983d14fb2836ccf7dfeefe0e8
