Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Informática para los Negocios I,I,2020-03-30,Clase 01,1:44:14,https://ca.bbcollab.com/recording/cd3da25121a849bfa91a9faa367b0233
Informática para los Negocios I,I,2020-04-01,Clase 02,1:38:08,https://ca.bbcollab.com/recording/a8bd9ac6b10844599081b0d3a8a72e45
Informática para los Negocios I,I,2020-04-01,Clase 02,0:14:10,https://ca.bbcollab.com/recording/f3f3f62afd074a5dabd339d7122009ec
Informática para los Negocios I,I,2020-04-03,Clase 03,1:45:17,https://ca.bbcollab.com/recording/24aa966c3e2d4a32bdbfd71ed8b63a2e
Informática para los Negocios I,I,2020-04-06,Clase 04,1:47:24,https://ca.bbcollab.com/recording/0e993c962ed14bc7ab074a2a2d4526fb
Informática para los Negocios I,I,2020-04-08,Clase 05,1:54:37,https://ca.bbcollab.com/recording/f24da42fc7df4ae1b44692339d2331a9
Informática para los Negocios I,I,2020-04-10,Clase 06,1:53:29,https://ca.bbcollab.com/recording/c4340f25536a48f590cb2fbee284ff5f
Informática para los Negocios I,I,2020-04-13,Clase 07,1:45:15,https://ca.bbcollab.com/recording/5507ec2fbac540c887f21ca2b63dfe16
Informática para los Negocios I,I,2020-04-15,Sesión 7,1:46:40,https://ca.bbcollab.com/recording/7486c49fbf2b4d1b85201f4c594380de
Informática para los Negocios I,I,2020-04-17,Clase 9,1:46:28,https://ca.bbcollab.com/recording/580bd32f7363432089ec06662129d4b6
Informática para los Negocios I,I,2020-04-20,Clase 10,1:40:46,https://ca.bbcollab.com/recording/75555afac108465fac28f3912d45e485
Informática para los Negocios I,I,2020-04-22,Clase 11,1:44:07,https://ca.bbcollab.com/recording/59860b54b8654bf7bf174f74da8ead8e
Informática para los Negocios I,I,2020-04-24,Clase 12,1:45:56,https://ca.bbcollab.com/recording/32f0c84bb6ea48aa8aaa630b0ccc25a9
Informática para los Negocios I,I,2020-04-27,Clase 13,1:39:32,https://ca.bbcollab.com/recording/b5010893126341c9be26a60f505545c2
Informática para los Negocios I,I,2020-04-29,Clase 14,0:42:38,https://ca.bbcollab.com/recording/c901ad3ab6f04f8dae6999aaf3a1b396
Informática para los Negocios I,I,2020-04-29,Clase 14,0:49:52,https://ca.bbcollab.com/recording/d4e194610d2e4c108ba8160cd6b77824
Informática para los Negocios I,I,2020-05-01,Clase 15,1:43:33,https://ca.bbcollab.com/recording/203bfed654a84eda8f3211ae9ae9599c
Informática para los Negocios I,I,2020-05-04,Clase 16,0:52:33,https://ca.bbcollab.com/recording/392e99544a8746258e84b0e96cbbc47a
Informática para los Negocios I,I,2020-05-04,Clase 16,0:43:24,https://ca.bbcollab.com/recording/80df193d3ca8429abdb975fab572b4e0
Informática para los Negocios I,I,2020-05-06,Clase 17,1:43:35,https://ca.bbcollab.com/recording/86cebe0323c547e585f70834bb1e664b
Informática para los Negocios I,I,2020-05-08,Clase 18,1:52:49,https://ca.bbcollab.com/recording/406edc155d234f99a9fd021a0ee98cf3
Informática para los Negocios I,I,2020-05-11,Clase 19,1:45:07,https://ca.bbcollab.com/recording/f8114432132449edb4f674aedbc58e8b
Informática para los Negocios I,I,2020-05-15,Clase 20,1:47:11,https://ca.bbcollab.com/recording/003d15261f5e42d7a2b86824178d5a31
Informática para los Negocios I,I,2020-05-16,Clase 21,1:45:02,https://ca.bbcollab.com/recording/5edfcc6ee3d34bfe9a61eaa8836c4342
Informática para los Negocios I,I,2020-05-16,Pre Parcial 2020-1,2:37:28,https://ca.bbcollab.com/recording/e98a3afec1a5475882cd6e994622cb2b
Informática para los Negocios I,I,2020-05-25,Clase 22,1:42:29,https://ca.bbcollab.com/recording/e276077e81a14411bbe60b7e3c248086
Informática para los Negocios I,I,2020-05-27,Clase 23,1:43:14,https://ca.bbcollab.com/recording/d434e7cfc24a4a8f983601d4839969d6
Informática para los Negocios I,I,2020-05-29,Clase 24,1:41:57,https://ca.bbcollab.com/recording/7994dc8a1501402985f4d6a75cf8475b
Informática para los Negocios I,I,2020-06-01,Clase 25,1:48:57,https://ca.bbcollab.com/recording/b05fbf2af6494aeda447f9f5a36886c9
Informática para los Negocios I,I,2020-06-03,Clase 26,1:46:52,https://ca.bbcollab.com/recording/43f465f95eef41f0a59e3648e7fc8c69
Informática para los Negocios I,I,2020-06-05,Clase 27,1:36:43,https://ca.bbcollab.com/recording/5bf30f25b1294718980a1cb81ee0f78d
Informática para los Negocios I,I,2020-06-08,Clase 28,1:43:49,https://ca.bbcollab.com/recording/42b97a0f6b5747e8b3af6ec5c6c73a41
