Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Informática para los Negocios II,B,2020-03-31,Sesión de clase,1:45:19,https://ca.bbcollab.com/recording/ad1c408dea854a629005985a52c466df
Informática para los Negocios II,B,2020-04-02,Sesión de clase,1:23:43,https://ca.bbcollab.com/recording/1a393794458d4c0bb908fdf7a745dee0
Informática para los Negocios II,B,2020-04-07,Sesión de clase,1:35:17,https://ca.bbcollab.com/recording/a3f3f15097af4b9fba69029850ca4354
Informática para los Negocios II,B,2020-04-14,Sesión de clase,1:17:49,https://ca.bbcollab.com/recording/e278b7c740ca49a097eaa8e3fd069e36
Informática para los Negocios II,B,2020-04-16,Sesión de clase,1:50:03,https://ca.bbcollab.com/recording/6e74ebd3dc4c4953a5c1e63426085219
Informática para los Negocios II,B,2020-04-21,Sesión de clase,1:55:49,https://ca.bbcollab.com/recording/0eb9c6d29bee49da924e7fc13a39d803
Informática para los Negocios II,B,2020-04-23,Sesión de clase,1:46:56,https://ca.bbcollab.com/recording/44e432b36f764f3a961c8658de8a0e16
Informática para los Negocios II,B,2020-04-28,Sesión de clase,1:46:27,https://ca.bbcollab.com/recording/a8b62a731cf249cb889096b6b63fd83a
Informática para los Negocios II,B,2020-05-05,Sesión de clase,0:17:02,https://ca.bbcollab.com/recording/8eae5697860b4d8a921a988f2481337b
Informática para los Negocios II,B,2020-05-07,Sesión de clase,1:33:38,https://ca.bbcollab.com/recording/6cd2cc4b0bb145ceb7cea82542e97bc6
Informática para los Negocios II,B,2020-05-26,Sesión de clase,1:18:58,https://ca.bbcollab.com/recording/984d39b437f749f99dd86c9bfa5e0256
Informática para los Negocios II,B,2020-05-28,Sesión de clase,1:47:03,https://ca.bbcollab.com/recording/2fde4e366d984c79a6a0b7889a6a1083
Informática para los Negocios II,B,2020-06-02,Sesión de clase,1:44:30,https://ca.bbcollab.com/recording/aedb38e708a74a15bbf1e64e38a35fe4
Informática para los Negocios II,B,2020-06-09,Sesión de clase,1:44:09,https://ca.bbcollab.com/recording/6075d1ebaf1c4e99a44ffd7f68da6ef5
Informática para los Negocios II,B,2020-06-11,Sesión de clase,2:16:05,https://ca.bbcollab.com/recording/1121c983aa8f484ea4aae2fbd5dc9806
Informática para los Negocios II,B,2020-06-16,Sesión de clase,1:50:04,https://ca.bbcollab.com/recording/bd34e9d8715b40f3bc96c4da6f3964bb
Informática para los Negocios II,B,2020-06-18,Sesión de clase,1:37:51,https://ca.bbcollab.com/recording/7d349ec1f42e4b3ea4be3d846e93e9e9
Informática para los Negocios II,B,2020-06-23,Sesión de clase,1:39:35,https://ca.bbcollab.com/recording/8361208a1f6b41b88e3a78032b170663
Informática para los Negocios II,B,2020-07-02,Sesión de clase,1:02:36,https://ca.bbcollab.com/recording/8a0b8e59d2394d28b076fd58902c810d
