Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ingeniería de Datos,B,2020-03-30,Sesión 1 _ ID (Lunes),2:56:29,https://ca.bbcollab.com/recording/a0da991c2b4f41188a21110b6e998b63
Ingeniería de Datos,B,2020-04-01,Sesión 2 _ ID (Miércoles),0:36:38,https://ca.bbcollab.com/recording/7febfd15cc9c4351b8feab88bdc09f00
Ingeniería de Datos,B,2020-04-01,Sesión 2 _ ID (Miércoles),1:08:14,https://ca.bbcollab.com/recording/88e3bc2744a940c28224e721e090bb96
Ingeniería de Datos,B,2020-04-06,Sesión 1 _ ID (Lunes) 06/04/20,2:54:04,https://ca.bbcollab.com/recording/b12f5c769f544b82b1a2b56841c38dc4
Ingeniería de Datos,B,2020-04-08,Sesión 2 _ ID (Miércoles),1:13:59,https://ca.bbcollab.com/recording/6e7efb92d56d48ee902d02ffb8822376
Ingeniería de Datos,B,2020-04-13,Sesión 1 _ ID (Lunes),2:43:59,https://ca.bbcollab.com/recording/3791bc3ba1544814846a454206ce4393
Ingeniería de Datos,B,2020-04-15,Sesión 2 _ ID (Miércoles),1:54:54,https://ca.bbcollab.com/recording/4ed0b36b114b43708be4db226ab77d5b
Ingeniería de Datos,B,2020-04-20,Sesión 1 _ ID (Lunes),2:51:47,https://ca.bbcollab.com/recording/63304940774543dea4f2523cd796c5c2
Ingeniería de Datos,B,2020-04-22,Sesión 2 _ ID (Miércoles),1:41:01,https://ca.bbcollab.com/recording/fd07dfccfdf04b1e959579d2c83b46c0
Ingeniería de Datos,B,2020-04-27,Sesión 1 _ ID (Lunes),2:30:34,https://ca.bbcollab.com/recording/fa03c45ee9c24b48b8ff1951307b1264
Ingeniería de Datos,B,2020-04-29,Sesión 2 _ ID (Miércoles),1:45:55,https://ca.bbcollab.com/recording/8d04e0f0c60b446185b150813677b8c6
Ingeniería de Datos,B,2020-05-04,Sesión 1 _ ID (Lunes),2:42:14,https://ca.bbcollab.com/recording/94385f326d6a4f6d9ce1913366b786fa
Ingeniería de Datos,B,2020-05-06,Sesión 2 _ ID (Miércoles),1:53:20,https://ca.bbcollab.com/recording/4f72a1c0fcda4661840591cf7ff36b44
Ingeniería de Datos,B,2020-05-11,Sesión 1 _ ID (Lunes),2:53:01,https://ca.bbcollab.com/recording/6822cf168e324310b862d89f63525b9a
Ingeniería de Datos,B,2020-05-13,Sesión 2 _ ID (Miércoles),1:38:11,https://ca.bbcollab.com/recording/f9c53ef5c0414f4ba5cf3f12d1c834e9
Ingeniería de Datos,B,2020-05-20,EXAMEN PARCIAL,0:54:53,https://ca.bbcollab.com/recording/b17ee432678a402f81750555dcb85aec
Ingeniería de Datos,B,2020-05-25,Sesión 1 _ ID (Lunes),1:57:38,https://ca.bbcollab.com/recording/f658780ed28c4eb79c12ccce62b97577
Ingeniería de Datos,B,2020-05-27,Sesión 2 _ ID (Miércoles),1:34:34,https://ca.bbcollab.com/recording/f71df74b7623405faa309702553d10d4
Ingeniería de Datos,B,2020-06-01,Sesión 1 _ ID (Lunes),2:47:46,https://ca.bbcollab.com/recording/a16b3568219d42cab78285b0dfd92fad
Ingeniería de Datos,B,2020-06-03,Sesión 2 _ ID (Miércoles),1:50:44,https://ca.bbcollab.com/recording/e15cdb6f32234d9fa7f7abefecb17021
Ingeniería de Datos,B,2020-06-08,Sesión 1 _ ID (Lunes),2:36:01,https://ca.bbcollab.com/recording/4da6f7ff70b74766b5d88f7a9d3b1cb9
Ingeniería de Datos,B,2020-06-10,Sesión 2 _ ID (Miércoles),2:39:19,https://ca.bbcollab.com/recording/919aa983d21248e0823bfd8e3afc34c0
Ingeniería de Datos,B,2020-06-15,Sesión 1 _ ID (Lunes),2:38:03,https://ca.bbcollab.com/recording/b85fb7b47f094656866878b9f36ea5bc
Ingeniería de Datos,B,2020-06-22,Sesión 1 _ ID (Lunes),2:45:15,https://ca.bbcollab.com/recording/6c6831da7561422c882a65743d19531d
Ingeniería de Datos,B,2020-06-24,Sesion 2 - Miercoles,1:54:28,https://ca.bbcollab.com/recording/ba76b6bbdcb843f9b78638c635fd7b1e
Ingeniería de Datos,B,2020-07-01,Sesion 2 - Miercoles,1:56:00,https://ca.bbcollab.com/recording/73d553d6d5204b0d882f864474b00881
Ingeniería de Datos,B,2020-07-06,Sesión 1 _ ID (Lunes),2:54:30,https://ca.bbcollab.com/recording/8f82b2aea7ae4e8cb2b2e6fa36451ce8
Ingeniería de Datos,B,2020-07-08,Sesion 2 - Miercoles,1:33:29,https://ca.bbcollab.com/recording/bfcf4fd888354d8994a5951000131e48
Ingeniería de Datos,B,2020-07-08,Sesion 2 - Miercoles,1:33:29,https://ca.bbcollab.com/recording/bfcf4fd888354d8994a5951000131e48
Ingeniería de Datos,B,2020-07-15,Sesión de consultas-Examen Final,1:23:03,https://ca.bbcollab.com/recording/9cf40a2adb3a4046b55ff135382207c2
