Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ingeniería de Procesos,A,2020-03-31,Clase virtual 1,1:47:32,https://ca.bbcollab.com/recording/01036e7075c74c65942a610a44cb2d1a
Ingeniería de Procesos,A,2020-03-31,Clase virtual 1,0:46:01,https://ca.bbcollab.com/recording/d200646898f74c29a4e22339397d6313
Ingeniería de Procesos,A,2020-04-02,Clase virtual 2,1:37:33,https://ca.bbcollab.com/recording/0e0126b95df54032ad36d6c390d87959
Ingeniería de Procesos,A,2020-04-02,Ensayo de la plataforma Blackboard Collaborate Ultra,0:13:36,https://ca.bbcollab.com/recording/93b045d11ec34b3ead7cf1ec4406573e
Ingeniería de Procesos,A,2020-04-07,Clase virtual 3,3:35:59,https://ca.bbcollab.com/recording/b1f58f9fe833451e9a073b0f2d2ef92a
Ingeniería de Procesos,A,2020-04-09,Clase virtual 4,1:31:19,https://ca.bbcollab.com/recording/2492bbf3c5374f88b9fa761bdcdb4ad9
Ingeniería de Procesos,A,2020-04-14,Clase virtual 5,2:24:36,https://ca.bbcollab.com/recording/21e6872f8a4d4bc0845ee91395aa9d07
Ingeniería de Procesos,A,2020-04-16,Clase virtual 6,2:44:03,https://ca.bbcollab.com/recording/2c646bdb109144d3949dfdfabc763d52
Ingeniería de Procesos,A,2020-04-21,Clase virtual 7,2:43:56,https://ca.bbcollab.com/recording/8b67ccddaf0b47338912df261243bf76
Ingeniería de Procesos,A,2020-04-28,Clase virtual 9,3:06:38,https://ca.bbcollab.com/recording/f891c939e5744745a80f84af2c4af62e
Ingeniería de Procesos,A,2020-05-05,Clase virtual 11,0:32:44,https://ca.bbcollab.com/recording/c4d3f8cadf2d4fbb9ef3c69b1fd303b0
Ingeniería de Procesos,A,2020-05-07,Clase virtual 12,2:01:25,https://ca.bbcollab.com/recording/2b9d1902bd0749d6aad20b15eaf1e382
Ingeniería de Procesos,A,2020-05-12,Clase virtual 13,3:06:13,https://ca.bbcollab.com/recording/ba8e0f09b36e499ea3d6012ac543fbce
Ingeniería de Procesos,A,2020-05-14,Clase virtual  14,1:27:18,https://ca.bbcollab.com/recording/d6b17e28edfe4746ad90050738e439f7
Ingeniería de Procesos,A,2020-05-20,Examen Parcial,2:22:45,https://ca.bbcollab.com/recording/45086daeb926439987843f8c4a420498
Ingeniería de Procesos,A,2020-05-26,Clase virtual 15,2:40:25,https://ca.bbcollab.com/recording/686f021666b74895b4d894af73cb1aba
Ingeniería de Procesos,A,2020-05-28,Clase virtual 16,1:50:39,https://ca.bbcollab.com/recording/1a478ecd68a94d17b05b4a9824e43590
Ingeniería de Procesos,A,2020-06-02,Clase virtual 17,3:18:06,https://ca.bbcollab.com/recording/aae4dfcedf5d487a97b45c7728c895a4
Ingeniería de Procesos,A,2020-06-04,Clase virtual 18,2:16:43,https://ca.bbcollab.com/recording/2fbe1f4465ec4ad39ac2fb2fb5e8ac58
Ingeniería de Procesos,A,2020-06-09,Clase virtual 19,2:39:48,https://ca.bbcollab.com/recording/06e62255ed2a436eafdd07a22dc0129f
Ingeniería de Procesos,A,2020-06-11,Clase virtual 20,1:29:30,https://ca.bbcollab.com/recording/4a9bd5b556504bc7842620af3fb77a32
Ingeniería de Procesos,A,2020-06-16,Clase virtual 21,2:46:03,https://ca.bbcollab.com/recording/19c7407a8d3a4670b4eafd0f521a837d
Ingeniería de Procesos,A,2020-06-18,Clase virtual 22,2:17:25,https://ca.bbcollab.com/recording/48fbb0512d4b4dc8b1e9c53e1d786698
Ingeniería de Procesos,A,2020-06-23,Clase virtual 23,3:13:49,https://ca.bbcollab.com/recording/4afd5e4140814c47829fc2812c3e1d34
Ingeniería de Procesos,A,2020-06-25,Clase virtual 24,2:06:02,https://ca.bbcollab.com/recording/a6bcc62c68384010880229ed3e5de7ed
Ingeniería de Procesos,A,2020-06-30,Clase virtual 25,3:19:17,https://ca.bbcollab.com/recording/6eaef55e14c146c483dc254609b58ab6
Ingeniería de Procesos,A,2020-07-02,Clase virtual 26,2:57:46,https://ca.bbcollab.com/recording/096cc7bcf98e4d4e9ba691fdd732c681
Ingeniería de Procesos,A,2020-07-02,Clase virtual 26,2:57:46,https://ca.bbcollab.com/recording/096cc7bcf98e4d4e9ba691fdd732c681
Ingeniería de Procesos,A,2020-07-07,Clase virtual 27,3:18:58,https://ca.bbcollab.com/recording/9334886da4b04b4cae1af43d647014fb
Ingeniería de Procesos,A,2020-07-09,Clase virtual 28,0:03:42,https://ca.bbcollab.com/recording/9decb81bd6cc41419e105908c94e09f7
Ingeniería de Procesos,A,2020-07-09,Clase virtual 28,0:03:42,https://ca.bbcollab.com/recording/9decb81bd6cc41419e105908c94e09f7
