Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Instrumentos Derivados,A,2020-03-31,Sesión 1: Introducción,1:06:58,https://ca.bbcollab.com/recording/77d803dae67d4adaba0eb12d7038599b
Instrumentos Derivados,A,2020-03-31,Sesión 1: Introducción,1:29:56,https://ca.bbcollab.com/recording/d4ebcf1b4cf44730b3fedbad019a46b5
Instrumentos Derivados,A,2020-04-03,Sesión 2: Forwards y Futuros,1:43:14,https://ca.bbcollab.com/recording/5afea5a3ad4143879d02beb1c47fbfd7
Instrumentos Derivados,A,2020-04-07,Sesión 3: Forwards,1:42:47,https://ca.bbcollab.com/recording/3215737efa984f7c9e51398e2fb45bd1
Instrumentos Derivados,A,2020-04-07,Sesión 3: Forwards,0:42:12,https://ca.bbcollab.com/recording/7d88954ba60b4be9b7836e84a416c58e
Instrumentos Derivados,A,2020-04-10,Sesión 4,2:00:02,https://ca.bbcollab.com/recording/3dc0c1a9538149a58aaa3e53544a0d6d
Instrumentos Derivados,A,2020-04-14,Sesión 5,1:28:55,https://ca.bbcollab.com/recording/706d88fd9eba480f903a52b01ae5caf8
Instrumentos Derivados,A,2020-04-14,Sesión 5,1:00:00,https://ca.bbcollab.com/recording/8027eb4b694e46e4acc3f963f14693f7
Instrumentos Derivados,A,2020-04-17,Sesión 6,1:36:41,https://ca.bbcollab.com/recording/c00715b1509f41e5bb5a60f4bccdd6b0
Instrumentos Derivados,A,2020-04-21,Sesión 7,2:43:20,https://ca.bbcollab.com/recording/2bb3f6bed7b744c6a842604ac3daafce
Instrumentos Derivados,A,2020-04-24,Sesión 8,1:35:32,https://ca.bbcollab.com/recording/7664cd8b94f54e95ab88d19071417424
Instrumentos Derivados,A,2020-04-28,Sesión 9,1:55:16,https://ca.bbcollab.com/recording/3e9fa23b4cb940eaa64b42e238934905
Instrumentos Derivados,A,2020-04-28,Sesión 9,0:32:02,https://ca.bbcollab.com/recording/51406e19a674401b894f27bc5e31d070
Instrumentos Derivados,A,2020-05-01,Sesión 10,1:36:01,https://ca.bbcollab.com/recording/564c5cacb2ca4a91ba22de30f9bfe15e
Instrumentos Derivados,A,2020-05-05,Sesión 11,2:41:57,https://ca.bbcollab.com/recording/77df3da2d58f46bdadd968966519be80
Instrumentos Derivados,A,2020-05-08,Sesión 12,1:42:45,https://ca.bbcollab.com/recording/73c9e4095ce74c99a36765fa32bb4b78
Instrumentos Derivados,A,2020-05-12,Sesión 13,2:43:04,https://ca.bbcollab.com/recording/279415c23445459ea791913205368e96
Instrumentos Derivados,A,2020-05-15,Sesión 14,1:50:53,https://ca.bbcollab.com/recording/de544e1edd37424590c2c6125a1ac782
Instrumentos Derivados,A,2020-05-21,Examen Parcial,0:18:18,https://ca.bbcollab.com/recording/0ab9514d5f024819a5cefd1e6124648f
Instrumentos Derivados,A,2020-05-26,Sesión 15,2:41:32,https://ca.bbcollab.com/recording/794368683b50405e8dc97af610c15de2
Instrumentos Derivados,A,2020-05-29,Sesión 16,1:53:10,https://ca.bbcollab.com/recording/5f7dd45430844ebc8070c26232f4c2bb
Instrumentos Derivados,A,2020-06-02,Sesión 17,2:34:12,https://ca.bbcollab.com/recording/71c9ed2bf2d44d89ad84b5666c480f5d
Instrumentos Derivados,A,2020-06-05,Sesión 18,1:34:10,https://ca.bbcollab.com/recording/e15b0089d68a4a42a32759f83322a586
Instrumentos Derivados,A,2020-06-09,Sesión 19,2:37:08,https://ca.bbcollab.com/recording/b3083d04024b46d68ef2188610db354d
Instrumentos Derivados,A,2020-06-12,Sesión 20,1:30:31,https://ca.bbcollab.com/recording/640d3243b9f444b2b2e873b3a1200f75
Instrumentos Derivados,A,2020-06-16,Sesión 21,2:27:33,https://ca.bbcollab.com/recording/1118082d88954f4caeda97f953139e84
Instrumentos Derivados,A,2020-06-19,Sesión 22,1:34:35,https://ca.bbcollab.com/recording/c1d00967d52b408594eb0f39f2b42cb8
Instrumentos Derivados,A,2020-06-23,Sesión 23,2:13:14,https://ca.bbcollab.com/recording/1147a3d4c47840e49059031fa126d878
Instrumentos Derivados,A,2020-06-26,Sesión 24,1:31:05,https://ca.bbcollab.com/recording/e347159290f24646b787fa885e6b07d2
Instrumentos Derivados,A,2020-06-30,Sesión 25,2:12:08,https://ca.bbcollab.com/recording/176338148ee343689e9879bd4fbf503a
Instrumentos Derivados,A,2020-06-30,Sesión 25,0:26:28,https://ca.bbcollab.com/recording/b3934a3dcc184e8e9610279d9cbdd107
Instrumentos Derivados,A,2020-07-03,Sesión 26,1:42:25,https://ca.bbcollab.com/recording/4fbe10c30d474083a7e99a4c3ca3816b
Instrumentos Derivados,A,2020-07-07,Sesión 27,2:40:51,https://ca.bbcollab.com/recording/ad6721d2ec234ddf970c9034f547a31b
Instrumentos Derivados,A,2020-07-10,Sesión 28,1:14:25,https://ca.bbcollab.com/recording/05619011719e493cbd963ba5682f4ae7
Instrumentos Derivados,A,2020-07-10,Sesión 28,1:14:25,https://ca.bbcollab.com/recording/05619011719e493cbd963ba5682f4ae7
Instrumentos Derivados,A,2020-07-16,Examen Final,1:50:34,https://ca.bbcollab.com/recording/2a0538c43393453387c108734bedfcab
