Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
International Corporate Finance,A,2020-03-30,Sesión No. 1 30/03/20,0:41:36,https://ca.bbcollab.com/recording/e045e58f66c843348b355fb7e350ffe7
International Corporate Finance,A,2020-04-02,Sesión No. 2 02/04/2020,2:58:04,https://ca.bbcollab.com/recording/2538f0140cd84cf1824a7b87e914917e
International Corporate Finance,A,2020-04-06,Sesión No. 3 06/04/2020,1:53:00,https://ca.bbcollab.com/recording/e40b95561e334dff9e41815b116ad7df
International Corporate Finance,A,2020-04-13,Sesión No. 3 13/04/2020,1:51:42,https://ca.bbcollab.com/recording/f2a2930847324832ac630fda56a043a3
International Corporate Finance,A,2020-04-16,Sesión  No. 5 16/04/2020,1:57:40,https://ca.bbcollab.com/recording/f42a0b19fe2d4c309672cdaaf3ece19e
International Corporate Finance,A,2020-04-16,Sesión  No. 5 16/04/2020,0:09:50,https://ca.bbcollab.com/recording/ff71dc65e27346deb8ee465edaaa4786
International Corporate Finance,A,2020-04-20,Sesión No. 6 20/04/2020,1:58:41,https://ca.bbcollab.com/recording/d6b46d38c0e84b258f4732e30705fe47
International Corporate Finance,A,2020-04-23,Sesión No. 7 23/04/2020,2:57:05,https://ca.bbcollab.com/recording/16b8762cc2cc406286428a41a96a85c6
International Corporate Finance,A,2020-04-27,Sesión Abierta para Asesorías 06/04/2020,0:50:35,https://ca.bbcollab.com/recording/860e1f9bbbd641e684143ea15ffae3ef
International Corporate Finance,A,2020-04-27,Sesión No. 8 27/04/2020,1:50:07,https://ca.bbcollab.com/recording/8b10753d768d48b7905b56774f0dc8bd
International Corporate Finance,A,2020-04-30,Sesión No. 9 30/04/2020,2:40:05,https://ca.bbcollab.com/recording/007bdf5d216942e8965b1a8ec6b87a12
International Corporate Finance,A,2020-05-04,Sesión No. 11 04/05/2020,1:51:28,https://ca.bbcollab.com/recording/05bfc18d57504e839636934686459ca2
International Corporate Finance,A,2020-05-07,Sesión No 11 07/05/2020,2:48:08,https://ca.bbcollab.com/recording/a8b091cc50894476ad0263332ea48af2
International Corporate Finance,A,2020-05-11,Sesión 13 11/05/2020,1:59:16,https://ca.bbcollab.com/recording/406afde7de5e4a11a43c274cf20f7cf4
International Corporate Finance,A,2020-05-14,Sesión No. 13 14/05/2020,2:49:24,https://ca.bbcollab.com/recording/dbf74a89f19d4f2dbc9b4a6d7d984cf7
International Corporate Finance,A,2020-05-22,Sesión Examen Parcial  22/05/2020,2:17:59,https://ca.bbcollab.com/recording/85f881553077418dabed9a48052cb031
International Corporate Finance,A,2020-05-25,Sesión 15 25/05/2020,2:10:28,https://ca.bbcollab.com/recording/12833e45cd8a43f287dc202bde4d6334
International Corporate Finance,A,2020-05-28,Sesión 17 28/05/2020,2:59:42,https://ca.bbcollab.com/recording/afbcb2b337ef4ad9ab698c05b6e0d01b
International Corporate Finance,A,2020-06-01,Sesión No. 17 01/06/2020,1:54:37,https://ca.bbcollab.com/recording/79f923b477cc4f9ca3cfe94f58fad579
International Corporate Finance,A,2020-06-04,Sesión No. 17 04/06/2020,2:52:25,https://ca.bbcollab.com/recording/a333d722f95b41dc8f6b71c65fb158e9
International Corporate Finance,A,2020-06-08,Sesión No. 19 08/06/2020,1:55:26,https://ca.bbcollab.com/recording/ca75b0ce453a41619483acd75d05d209
International Corporate Finance,A,2020-06-11,Sesión 20 11/06/2020,1:34:59,https://ca.bbcollab.com/recording/4998da3f6ee94c52b58e415d5f585c2a
International Corporate Finance,A,2020-06-13,Sesión 20 11/06/2020,2:48:56,https://ca.bbcollab.com/recording/12e2a019434949d1a25acee3f444d464
International Corporate Finance,A,2020-06-15,Sesión No. 21 15/06/2020,1:59:56,https://ca.bbcollab.com/recording/fb114888049b4921ae065aef185e0673
International Corporate Finance,A,2020-06-18,Sesión No. 22 18/06/2020,2:47:32,https://ca.bbcollab.com/recording/0261e84574f84a79b2cbb8a48751e04a
International Corporate Finance,A,2020-06-22,Sesión 23 22/06/2020,1:51:19,https://ca.bbcollab.com/recording/b232c885463c4d91afd046a5c4cb6969
International Corporate Finance,A,2020-06-25,Sesón No. 24 25/06/2020,2:48:01,https://ca.bbcollab.com/recording/08bf44ac0657498181aef4b125c9497b
International Corporate Finance,A,2020-07-02,Sesión No. 25 02/07/2020,2:51:50,https://ca.bbcollab.com/recording/750c08ec834e44be8297dfd907d29c86
International Corporate Finance,A,2020-07-06,Sesión No. 25 06/07/2020,1:32:56,https://ca.bbcollab.com/recording/833e56db175b46faab5ab42f2ca075b1
International Corporate Finance,A,2020-07-09,Sesión No. 26  09/07/2020,2:19:30,https://ca.bbcollab.com/recording/fcfe5c82c91045df83ba3d826d5d1b34
International Corporate Finance,A,2020-07-09,Sesión No. 26  09/07/2020,2:19:30,https://ca.bbcollab.com/recording/fcfe5c82c91045df83ba3d826d5d1b34
