Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
International Human Resources Management,A,2020-04-01,Clase 1,0:18:31,https://ca.bbcollab.com/recording/a333427abad447feb611047d329c955a
International Human Resources Management,A,2020-04-01,Clase 1,1:27:52,https://ca.bbcollab.com/recording/c3dbc7e645ad4480b7e262fa3067d870
International Human Resources Management,A,2020-04-08,Clase 2 - IHRM,3:21:12,https://ca.bbcollab.com/recording/dced71b61d5c4ae1a72285102e84add0
International Human Resources Management,A,2020-04-15,Lesson 3,3:05:16,https://ca.bbcollab.com/recording/4ab2daf78a794d309bfb535c7da26a56
International Human Resources Management,A,2020-04-22,Class 04 April 22,3:10:38,https://ca.bbcollab.com/recording/2dda8062fdb54a4ba1da325daf261e9a
International Human Resources Management,A,2020-04-29,Class 5 - How to Motivate People Part II,3:04:20,https://ca.bbcollab.com/recording/2ec7c819ff9147328a2eabff9d40b0da
International Human Resources Management,A,2020-05-06,Exam No. 1,3:09:23,https://ca.bbcollab.com/recording/d05302e108d3434f97f175ad39bfafb0
International Human Resources Management,A,2020-05-13,Class No. 7,3:26:12,https://ca.bbcollab.com/recording/3cad59866441498d9e02403691e3716b
International Human Resources Management,A,2020-05-27,Employee Experience,3:13:45,https://ca.bbcollab.com/recording/74bbe60f10f4431aba2122823f76d0f7
International Human Resources Management,A,2020-06-03,Performance Management,3:05:05,https://ca.bbcollab.com/recording/d85049fbb6f3475b834b2379d9129002
International Human Resources Management,A,2020-06-10,Global Talent Management,3:02:04,https://ca.bbcollab.com/recording/cfceef137bf347d4b01455f00ae0924b
International Human Resources Management,A,2020-06-17,Recruiting!,3:12:25,https://ca.bbcollab.com/recording/86349de4d22a45b0b0c7355ce3fe2c01
International Human Resources Management,A,2020-06-24,Recruiting part II,3:01:20,https://ca.bbcollab.com/recording/2171af4f0518416682cab12ba3ec03c2
International Human Resources Management,A,2020-07-01,Exam No. 2,3:14:14,https://ca.bbcollab.com/recording/1e83cb20b8a74f60b59d7009b815e560
International Human Resources Management,A,2020-07-08,Final lesson!,2:07:56,https://ca.bbcollab.com/recording/db0dccfb8ca243628ccf1a3834cbf09f
International Human Resources Management,A,2020-07-08,Final lesson!,2:07:56,https://ca.bbcollab.com/recording/db0dccfb8ca243628ccf1a3834cbf09f
International Human Resources Management,A,2020-07-16,Final Test,1:51:59,https://ca.bbcollab.com/recording/46b612f1724348caad3532e1c1efa439
