Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Introducción a la Analítica,A,2020-03-31,Sesiones de clase,1:40:59,https://ca.bbcollab.com/recording/d806ddbf78284ab18ab0a5aecc5135a8
Introducción a la Analítica,A,2020-04-02,Sesiones de clase,1:56:29,https://ca.bbcollab.com/recording/675092852f1742c38c3a55b41e6d20b4
Introducción a la Analítica,A,2020-04-07,Sesiones de clase,1:54:22,https://ca.bbcollab.com/recording/75e626eba4944f928ae4e89ac334a724
Introducción a la Analítica,A,2020-04-09,Sesiones de clase,3:00:37,https://ca.bbcollab.com/recording/c64b6eebaa8249e49d688a32e8a506e2
Introducción a la Analítica,A,2020-04-14,Sesiones de clase,1:50:08,https://ca.bbcollab.com/recording/46511c3e85154f03a7d85aad4b8cf500
Introducción a la Analítica,A,2020-04-16,Sesiones de clase,1:50:00,https://ca.bbcollab.com/recording/c48870507c7a41e2af663059cc982322
Introducción a la Analítica,A,2020-04-21,Sesiones de clase,1:46:57,https://ca.bbcollab.com/recording/1027cc85d0d143668bd041725102e260
Introducción a la Analítica,A,2020-04-23,Sesiones de clase,2:01:07,https://ca.bbcollab.com/recording/eeea08c2ecc14bd899a2f7133424467c
Introducción a la Analítica,A,2020-04-28,Sesiones de clase,1:52:01,https://ca.bbcollab.com/recording/5d66e34d7a554a9c897b66b47b888f74
Introducción a la Analítica,A,2020-04-30,Sesiones de clase,1:56:34,https://ca.bbcollab.com/recording/dc971e0774c840a292fe08b03b07678e
Introducción a la Analítica,A,2020-05-05,Sesiones de clase,1:45:08,https://ca.bbcollab.com/recording/afb8b4f5c2ac4469a116d9913e78cd18
Introducción a la Analítica,A,2020-05-07,Sesión de clase,1:55:48,https://ca.bbcollab.com/recording/335b0f57ef1d4d4fa4b2a8daf99b2e08
Introducción a la Analítica,A,2020-05-12,Sesión de clase,2:50:16,https://ca.bbcollab.com/recording/51e1711ee0b343109c3325c80440790a
Introducción a la Analítica,A,2020-05-19,Sesión de consultas: Examen Parcial,2:03:48,https://ca.bbcollab.com/recording/a128bcd1cbc04ec6a0b3ec0be5374380
Introducción a la Analítica,A,2020-05-26,Sesión de clase,2:57:20,https://ca.bbcollab.com/recording/7b05adc0bde44f15b61464cd11f2e235
Introducción a la Analítica,A,2020-05-28,Sesión de clase,1:45:19,https://ca.bbcollab.com/recording/368e537cd5c143a490a50e57ade54e2b
Introducción a la Analítica,A,2020-06-02,Sesión de clase,1:35:36,https://ca.bbcollab.com/recording/936500e846c446ec809a3d4f336a2aeb
Introducción a la Analítica,A,2020-06-04,Sesión de clase,1:54:43,https://ca.bbcollab.com/recording/ca7d1b46738b44c5be2fd9c0a97488d1
Introducción a la Analítica,A,2020-06-09,Sesión de clase,1:24:16,https://ca.bbcollab.com/recording/5f18b177f304411ba1910858360cdcb3
Introducción a la Analítica,A,2020-06-11,Clases,1:39:39,https://ca.bbcollab.com/recording/d1029fd434d449849d6018521eeb7aaa
Introducción a la Analítica,A,2020-06-16,Clases,1:38:03,https://ca.bbcollab.com/recording/e902df92a4d94c708caa765c2636b5c4
Introducción a la Analítica,A,2020-06-18,Clases,1:28:00,https://ca.bbcollab.com/recording/396e325e91ce42aa9e486eaa4bab4294
Introducción a la Analítica,A,2020-06-23,Clases,2:15:03,https://ca.bbcollab.com/recording/553a2c55624646019a635a44f49595dd
Introducción a la Analítica,A,2020-06-25,Clases,1:42:41,https://ca.bbcollab.com/recording/fb77f0490713424f9d4a84c7ce8dd225
Introducción a la Analítica,A,2020-07-02,Clases,1:47:22,https://ca.bbcollab.com/recording/97717ae4fb024ab489dbd4d1ad2bea0d
Introducción a la Analítica,A,2020-07-09,Clases,3:06:31,https://ca.bbcollab.com/recording/a7ede11a78624e1b96e0643349c594e0
Introducción a la Analítica,A,2020-07-09,Clases,3:06:31,https://ca.bbcollab.com/recording/a7ede11a78624e1b96e0643349c594e0
Introducción a la Analítica,A,2020-07-14,Sesión de consultas: Examen Final,1:34:50,https://ca.bbcollab.com/recording/c7034d7a27f947fead3e267fbd8df920
Introducción a la Analítica,A,2020-07-14,Sesión de consultas: Examen Final,1:34:50,https://ca.bbcollab.com/recording/c7034d7a27f947fead3e267fbd8df920
