Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Introducción a la Ingeniería,B,2020-03-31,Semana 1. Sesión 1,1:58:38,https://ca.bbcollab.com/recording/e44effd2be5541168e5516b7d9135cf4
Introducción a la Ingeniería,B,2020-04-02,Semana 1 - Sesión 2. 02.04.2020,1:55:03,https://ca.bbcollab.com/recording/7bceb31cbe334de99c01409fe33afb37
Introducción a la Ingeniería,B,2020-04-07,Semana 2. Sesión 1 - 07.04.2020,1:55:37,https://ca.bbcollab.com/recording/e31fb3f0f9804ff7a1cb9aee4e208014
Introducción a la Ingeniería,B,2020-04-14,Clases. Sesión 1,0:01:37,https://ca.bbcollab.com/recording/2719f964b2f94bffbfa7a22da465764f
Introducción a la Ingeniería,B,2020-04-14,Laboratorio 01 - B,0:00:27,https://ca.bbcollab.com/recording/aacf91ebba0648fab77654c89ad10af2
Introducción a la Ingeniería,B,2020-04-14,Laboratorio 01 - B,2:04:47,https://ca.bbcollab.com/recording/ca5c57f115784063a462885a33ca8112
Introducción a la Ingeniería,B,2020-04-16,"Clases, Sesión 2  - Jueves",1:54:08,https://ca.bbcollab.com/recording/b4379eae78ee450a9132ec8981cb3a16
Introducción a la Ingeniería,B,2020-04-21,Clases. Sesión 1,1:52:05,https://ca.bbcollab.com/recording/82df0c0094f64ab3a97996f958fff967
Introducción a la Ingeniería,B,2020-04-21,Recuperación 21.04.2020,1:51:58,https://ca.bbcollab.com/recording/57e10846a5574650a0732411286a7c19
Introducción a la Ingeniería,B,2020-04-23,"Clases, Sesión 2  - Jueves",1:50:47,https://ca.bbcollab.com/recording/8a5edf58fee049c0b6aae427f32588b2
Introducción a la Ingeniería,B,2020-04-28,Clases. Sesión 1,1:04:50,https://ca.bbcollab.com/recording/24c1f2f9244549c0939bbd910fec3c77
Introducción a la Ingeniería,B,2020-04-28,Clases. Sesión 1,0:43:54,https://ca.bbcollab.com/recording/f0faa07af5c340858fb232f3d5fe17ce
Introducción a la Ingeniería,B,2020-04-28,Laboratorio 02 - A,2:00:56,https://ca.bbcollab.com/recording/25f5710e9dd147aaa1a9210b64775971
