Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Introducción al Arte y la Arquitectura V,A,2020-04-06,Sesión 3: lunes 6 de abril,2:06:52,https://ca.bbcollab.com/recording/852f0f13871c4d52ab7aaf1568dbf7f3
Introducción al Arte y la Arquitectura V,A,2020-04-08,Sesión miércoles 8 de abril,1:58:03,https://ca.bbcollab.com/recording/e9a896e7d06a47a09cc7fd25e1411c11
Introducción al Arte y la Arquitectura V,A,2020-04-13,Sesión lunes 13 de abril,1:56:32,https://ca.bbcollab.com/recording/e44c4560ad92424baca9d78f0dd4550d
Introducción al Arte y la Arquitectura V,A,2020-04-20,Sesión lunes 20 de abril,1:46:06,https://ca.bbcollab.com/recording/4c1f34d784474e6a9b66acea3eae46e8
Introducción al Arte y la Arquitectura V,A,2020-04-22,Sesión miércoles 22 de abril,1:59:43,https://ca.bbcollab.com/recording/841f466fac2f405eb7d187b85f9167f9
Introducción al Arte y la Arquitectura V,A,2020-04-27,Sesión lunes 27 de abril,1:57:20,https://ca.bbcollab.com/recording/f7f7d124269f40c69370896e9343b774
Introducción al Arte y la Arquitectura V,A,2020-04-29,Miércoles 29 de abril,1:59:45,https://ca.bbcollab.com/recording/4065a14c359049b7b0afc43f54c97d5b
Introducción al Arte y la Arquitectura V,A,2020-05-04,Sesión lunes 4 de mayo,2:08:22,https://ca.bbcollab.com/recording/6630d1a49e2f4805b3ad4635225e0c38
Introducción al Arte y la Arquitectura V,A,2020-05-11,Sesión lunes 11 de mayo,2:02:49,https://ca.bbcollab.com/recording/b77c892825de403fb5367b2a132aae71
Introducción al Arte y la Arquitectura V,A,2020-05-27,Sesión miércoles 27 de mayo,1:45:09,https://ca.bbcollab.com/recording/cbc4d780c1e942e4905e057d9c1ea44a
Introducción al Arte y la Arquitectura V,A,2020-06-01,Sesión lunes 1 de junio,1:56:10,https://ca.bbcollab.com/recording/576a006606f247a3b1ea6f773d3b625a
Introducción al Arte y la Arquitectura V,A,2020-06-03,sesión miércoles 3 de junio,1:36:37,https://ca.bbcollab.com/recording/8248fd09f2904d9abe2776df0f0553bb
Introducción al Arte y la Arquitectura V,A,2020-06-08,Sesión lunes 8 de junio,1:55:53,https://ca.bbcollab.com/recording/4c19c9fc183f4e1994473567e1f780b4
Introducción al Arte y la Arquitectura V,A,2020-06-10,Sesión miércoles 10 de junio,1:55:42,https://ca.bbcollab.com/recording/f9a84c199d6342408336c0c30570fb35
Introducción al Arte y la Arquitectura V,A,2020-06-15,Sesión del lunes 15 de junio,1:53:43,https://ca.bbcollab.com/recording/1c3cc2c81fcc488289b4f67511ed2ded
Introducción al Arte y la Arquitectura V,A,2020-06-15,Sesión del lunes 15 de junio,1:32:31,https://ca.bbcollab.com/recording/d857deaef3f74832a832ab8050733c75
Introducción al Arte y la Arquitectura V,A,2020-06-17,Sesión miércoles 17 de junio,1:49:05,https://ca.bbcollab.com/recording/18b23a401c624a5fbf9c6641d17ee5c6
Introducción al Arte y la Arquitectura V,A,2020-06-22,sesión lunes 22 de junio,1:55:53,https://ca.bbcollab.com/recording/c558cf4b794c42b9bf737f214265e41e
Introducción al Arte y la Arquitectura V,A,2020-06-24,sesión miércoles 24 de junio,1:54:57,https://ca.bbcollab.com/recording/d70ee871907e41fc9f598dfbd72b3529
Introducción al Arte y la Arquitectura V,A,2020-07-01,sesión miércoles 1 de julio,2:00:35,https://ca.bbcollab.com/recording/44de6a3f92734f4299c2d3ecb773b2ec
Introducción al Arte y la Arquitectura V,A,2020-07-06,Sesión lunes 6 de julio,1:02:18,https://ca.bbcollab.com/recording/9cc9ff83886b437fb1eeb706b865e70c
