Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Introducción al Derecho,A,2020-03-30,Semana 1 - Sesión 1,0:33:23,https://ca.bbcollab.com/recording/57d22e9240b648e29f6d379ff9f4b5a4
Introducción al Derecho,A,2020-03-31,Semana 1 - Sesión 2,1:47:29,https://ca.bbcollab.com/recording/4000d26778c4412aba014f344c767b1c
Introducción al Derecho,A,2020-04-06,Semana 2 - Sesión 3,0:29:40,https://ca.bbcollab.com/recording/4c38fd3ce57a49618cdf6c6351e8927b
Introducción al Derecho,A,2020-04-06,Semana 2 - Sesión 3,0:45:38,https://ca.bbcollab.com/recording/bf4c9296f79a473e9d9dc2b0431d7ecd
Introducción al Derecho,A,2020-04-07,Semana 2 - Sesión 4,1:13:52,https://ca.bbcollab.com/recording/182777b275534eacbaf285320eb2af92
Introducción al Derecho,A,2020-04-13,Semana 3 - Sesión 5,1:19:19,https://ca.bbcollab.com/recording/b686cfb5305f478bbbe1267b1b1f233f
Introducción al Derecho,A,2020-04-14,Semana 3 - Sesión 6,1:24:52,https://ca.bbcollab.com/recording/4dbb1d40835642098c360604c11a9d25
Introducción al Derecho,A,2020-04-14,Semana 3 - Sesión 6,1:01:53,https://ca.bbcollab.com/recording/b1a4745ff8c34d46a62029c9c59f1933
Introducción al Derecho,A,2020-04-20,Semana 4 - Sesión 7,0:30:18,https://ca.bbcollab.com/recording/35740623cee44f6699738c3cfc14e6bb
Introducción al Derecho,A,2020-04-20,Semana 4 - Sesión 7,0:42:12,https://ca.bbcollab.com/recording/cbf63199449745ea95e665e2ae75e7bc
Introducción al Derecho,A,2020-04-21,Semana 4 - Sesión 8,1:31:59,https://ca.bbcollab.com/recording/904e4a56db1f4a05a2e18ded01cecdab
Introducción al Derecho,A,2020-04-21,Semana 4 - Sesión 8,0:53:13,https://ca.bbcollab.com/recording/b84aecfc9da042ca9972d0b832d564db
Introducción al Derecho,A,2020-04-27,Semana 5 - Sesión 9,1:19:13,https://ca.bbcollab.com/recording/e727dd5f4661473eb42f904504603b9f
Introducción al Derecho,A,2020-04-28,Semana 5 - Sesión 10,1:34:57,https://ca.bbcollab.com/recording/84a3c9db3c524aadb7595a6c21cc3666
Introducción al Derecho,A,2020-04-28,Semana 5 - Sesión 10,0:48:45,https://ca.bbcollab.com/recording/d5354e542df84f02aef25535e9decb24
Introducción al Derecho,A,2020-05-04,Semana 6 - Sesión 11,1:32:03,https://ca.bbcollab.com/recording/83511178e5fa4cc09fa89b4bf3628d5d
Introducción al Derecho,A,2020-05-05,Semana 6 - Sesión 12,1:26:59,https://ca.bbcollab.com/recording/97c779d41dcc44cabd8d88f8dd84e514
Introducción al Derecho,A,2020-05-05,Semana 6 - Sesión 12,0:45:45,https://ca.bbcollab.com/recording/f669e38ef7f6499ab061fb2ca67462d6
Introducción al Derecho,A,2020-05-12,Semana 7 - Sesión 14,1:06:11,https://ca.bbcollab.com/recording/7ec6b9f2165c4f4993152fd17428f4ef
Introducción al Derecho,A,2020-05-12,Semana 7 - Sesión 14,1:21:38,https://ca.bbcollab.com/recording/91209dba99eb4ad89da1bda5aaef68f1
Introducción al Derecho,A,2020-05-25,Semana 9 - Sesión 15,1:17:09,https://ca.bbcollab.com/recording/31ca35dff6a54e03a06fc52fe16ab124
Introducción al Derecho,A,2020-05-26,Semana 9 - Sesión 16,1:21:41,https://ca.bbcollab.com/recording/a6ec5cb8c7e84c429694f9f682a3dcf1
Introducción al Derecho,A,2020-05-26,Semana 9 - Sesión 16,0:58:00,https://ca.bbcollab.com/recording/e526138b0827400183b7c2b2440e5b0e
Introducción al Derecho,A,2020-06-01,Semana 10 - Sesión 17,0:53:49,https://ca.bbcollab.com/recording/3856e441aebc4b829590c78cda5919c8
Introducción al Derecho,A,2020-06-02,Semana 10 - Sesión 18,1:14:39,https://ca.bbcollab.com/recording/065fc73646a2450d941f62019435e1b9
