Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Investigación Académica,A,2020-03-30,Investigación Académica. 2020.1,1:24:03,https://ca.bbcollab.com/recording/4a9d8d4e19ed422498ef651eee82cea8
Investigación Académica,A,2020-04-01,Investigación Académica. 2020.1,2:03:44,https://ca.bbcollab.com/recording/44676c0307aa43b6a01a6496b550b828
Investigación Académica,A,2020-04-06,Investigación Académica. 2020.1,1:45:35,https://ca.bbcollab.com/recording/c8deb48b52574bdca7908c18dd2d3d4a
Investigación Académica,A,2020-04-08,Investigación Académica. 2020.1,1:46:52,https://ca.bbcollab.com/recording/32d0a8c51408492dadf50a4cbf89cdfe
Investigación Académica,A,2020-04-13,Investigación Académica. 2020.1,1:57:00,https://ca.bbcollab.com/recording/4ae07f62a8b849c694d234fb6134296b
Investigación Académica,A,2020-04-15,Investigación Académica. 2020.1,1:45:33,https://ca.bbcollab.com/recording/96193fe048f840d19b48dc73fe88760c
Investigación Académica,A,2020-04-29,ASESORÍAS INDIVIDUALES,1:30:41,https://ca.bbcollab.com/recording/157b94da6ebd4a539d44ea36da3e5034
Investigación Académica,A,2020-05-04,ASESORÍAS INDIVIDUALES,2:22:12,https://ca.bbcollab.com/recording/2e2f560bd55e4f789134e4c408df9435
Investigación Académica,A,2020-05-11,ASESORÍAS INDIVIDUALES,1:33:13,https://ca.bbcollab.com/recording/f2a03297324349bf8d84c48d407205d5
Investigación Académica,A,2020-05-25,Investigación Académica. 2020.1,1:49:30,https://ca.bbcollab.com/recording/fcc08ec9a1ec4be2be582e34e0019a4f
Investigación Académica,A,2020-06-01,Investigación Académica. 2020.1,0:59:43,https://ca.bbcollab.com/recording/829b8012ca024f09aaf9a585fc422172
Investigación Académica,A,2020-06-08,Investigación Académica. 2020.1,1:01:26,https://ca.bbcollab.com/recording/9d50a7827d61418abe5a1a0e553e3d12
Investigación Académica,A,2020-06-10,Investigación Académica. 2020.1,1:26:47,https://ca.bbcollab.com/recording/1dfcf6fc33c040a89342892b3b626454
Investigación Académica,A,2020-06-15,Investigación Académica. 2020.1,1:59:27,https://ca.bbcollab.com/recording/b7a7f69cc1fc4b84959a0e49c6f894a1
Investigación Académica,A,2020-06-17,Investigación Académica. 2020.1,1:32:28,https://ca.bbcollab.com/recording/fd752bafc4974af89e22cff1c750d5ab
Investigación Académica,A,2020-06-22,Investigación Académica. 2020.1,1:22:18,https://ca.bbcollab.com/recording/fe2f7bc4cc194d9ea6f2fb1eacecb856
Investigación Académica,A,2020-06-24,Investigación Académica. 2020.1,1:11:55,https://ca.bbcollab.com/recording/051ee465a1a048969acdfa3db0a94e37
Investigación Académica,A,2020-07-01,Investigación Académica. 2020.1,1:48:52,https://ca.bbcollab.com/recording/b56e33e8696d4446a994bdadb2e72f60
Investigación Académica,A,2020-07-08,Investigación Académica. 2020.1,2:02:40,https://ca.bbcollab.com/recording/03cf4379b9314f8688db8c48853900a5
Investigación Académica,A,2020-07-08,Investigación Académica. 2020.1,2:02:40,https://ca.bbcollab.com/recording/03cf4379b9314f8688db8c48853900a5
