Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Investigación Académica,D,2020-03-31,01 CLASES,1:40:04,https://ca.bbcollab.com/recording/9b65a160f91f4f9eb6e7b61ec060fb4d
Investigación Académica,D,2020-04-02,01 CLASES,1:40:24,https://ca.bbcollab.com/recording/c5094104db5e48b68cc3e4c31bf2e04e
Investigación Académica,D,2020-04-07,01 CLASES,1:36:57,https://ca.bbcollab.com/recording/aa8332acb59c4d08981195a0ea7de11f
Investigación Académica,D,2020-04-14,01 CLASES,1:16:52,https://ca.bbcollab.com/recording/13471fe4ba864a64b2092151f932cd76
Investigación Académica,D,2020-04-21,01 CLASES,1:07:46,https://ca.bbcollab.com/recording/59f1714e44364d10afa8ce57cf108d20
Investigación Académica,D,2020-04-23,01 CLASES,1:05:52,https://ca.bbcollab.com/recording/50ff39c579634bcabb2132721ffde4bb
Investigación Académica,D,2020-04-28,01 CLASES,1:40:56,https://ca.bbcollab.com/recording/690c19db57344bcc80ab08d1ffa632de
Investigación Académica,D,2020-04-30,01 CLASES,1:16:27,https://ca.bbcollab.com/recording/0bacd7b5cfc2451f90c1381601a38cae
Investigación Académica,D,2020-05-05,01 CLASES,1:37:07,https://ca.bbcollab.com/recording/5b71641699ce4ac8a7f990ae8f96c3f8
Investigación Académica,D,2020-05-07,01 CLASES,1:36:38,https://ca.bbcollab.com/recording/8479e86ff5864f2cb7cce6ae3db67de8
Investigación Académica,D,2020-05-12,01 CLASES,1:43:26,https://ca.bbcollab.com/recording/92d92d8b35b0454aa88c65e031d20340
Investigación Académica,D,2020-05-14,01 CLASES,1:32:42,https://ca.bbcollab.com/recording/53549d3623f0404cb934d2998575f965
Investigación Académica,D,2020-05-26,01 CLASES,1:18:38,https://ca.bbcollab.com/recording/f5415ca2591c4d0d8c1febd0a735bcdc
Investigación Académica,D,2020-05-28,01 CLASES,1:41:21,https://ca.bbcollab.com/recording/8734749d72e8447186099e8dd301f9d3
Investigación Académica,D,2020-06-02,01 CLASES,1:41:32,https://ca.bbcollab.com/recording/c436b04df8cf4d678340bd10a75a43c1
Investigación Académica,D,2020-06-04,01 CLASES,1:42:36,https://ca.bbcollab.com/recording/0d88b956b92b41ac98dfe63f55ee1ec0
Investigación Académica,D,2020-06-09,01 CLASES,1:40:42,https://ca.bbcollab.com/recording/07c4a6304b2f4c69a4b95bd10c5dc3a7
Investigación Académica,D,2020-06-11,01 CLASES,1:45:11,https://ca.bbcollab.com/recording/d4327b3672ff4bd8a4c4374042d18f75
Investigación Académica,D,2020-06-16,01 CLASES,1:36:29,https://ca.bbcollab.com/recording/d6d11a1c6da94c569f60e99eccfd32fb
Investigación Académica,D,2020-06-18,01 CLASES,0:43:45,https://ca.bbcollab.com/recording/363b68ddbaf545e2a054f0acd3c441a3
Investigación Académica,D,2020-06-23,01 CLASES,0:58:45,https://ca.bbcollab.com/recording/339a35facaed4f35b7a9b3779639a574
Investigación Académica,D,2020-06-25,01 CLASES,1:00:37,https://ca.bbcollab.com/recording/f2b7be0e61cb479e8823eb810b9e1177
Investigación Académica,D,2020-06-30,01 CLASES,1:28:11,https://ca.bbcollab.com/recording/36a9d39e8d10448ba1f1361ef1349328
Investigación Académica,D,2020-07-02,01 CLASES,0:54:49,https://ca.bbcollab.com/recording/e3c0cca612bf43a7b5be1913b590995f
Investigación Académica,D,2020-07-07,01 CLASES,1:32:55,https://ca.bbcollab.com/recording/059b27cd13f143899e7675d2010df5d7
Investigación Académica,D,2020-07-09,01 CLASES,1:31:37,https://ca.bbcollab.com/recording/5303b0115d5a4361b7cfc34d982c8fb1
Investigación Académica,D,2020-07-09,01 CLASES,1:31:37,https://ca.bbcollab.com/recording/5303b0115d5a4361b7cfc34d982c8fb1
