Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Investigación Académica,E,2020-04-01,Clase 1,0:05:57,https://ca.bbcollab.com/recording/18ea216514e144b5a1346f8fb4b999bc
Investigación Académica,E,2020-04-03,Clase 2,0:52:21,https://ca.bbcollab.com/recording/3f7857bd05774abf8276c26a11da5937
Investigación Académica,E,2020-04-15,Clase 4,0:26:06,https://ca.bbcollab.com/recording/5e1d552543fb4ebba9910d6ae296f0c8
Investigación Académica,E,2020-04-17,Clase 5,0:22:30,https://ca.bbcollab.com/recording/819013ccfcaa42fe85cdb9b060843316
Investigación Académica,E,2020-04-24,Clase 7,0:34:01,https://ca.bbcollab.com/recording/a0ce51f921d842b1acdd677cc968dd38
Investigación Académica,E,2020-05-29,Clase 8,0:30:44,https://ca.bbcollab.com/recording/ab4c2186315546f0aed7939c94a22da9
Investigación Académica,E,2020-06-03,Clase 03 junio,1:27:31,https://ca.bbcollab.com/recording/8f862e732d7c432593e7e360cd7671e5
Investigación Académica,E,2020-06-05,Clase 9,1:15:55,https://ca.bbcollab.com/recording/441c631959d84df792a9a617bd02dea9
Investigación Académica,E,2020-06-10,Clase 10,1:17:16,https://ca.bbcollab.com/recording/ece885ed2bee4d0c8efc91a5fc01ba6d
Investigación Académica,E,2020-06-12,Clase 11,0:50:11,https://ca.bbcollab.com/recording/cedd884b17fd44f7af936688333645dd
Investigación Académica,E,2020-06-17,Clase 12,0:34:46,https://ca.bbcollab.com/recording/5dbc189e04344829b71b8446eca1a432
Investigación Académica,E,2020-07-10,Clase final,0:23:01,https://ca.bbcollab.com/recording/fd4bd42a3b6f446e912616b9be6288f1
Investigación Académica,E,2020-07-10,Clase final,0:23:01,https://ca.bbcollab.com/recording/fd4bd42a3b6f446e912616b9be6288f1
