Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Investigación Operativa I,B,2020-04-01,Semana 1: Miércoles 01.04,1:46:40,https://ca.bbcollab.com/recording/c4f3a68a28d842cebee80c79a77f55ec
Investigación Operativa I,B,2020-04-03,Semana 1: Viernes 03.04,0:00:03,https://ca.bbcollab.com/recording/15717ed9813548c49d3df75e38baf8f1
Investigación Operativa I,B,2020-04-03,Semana 1: Viernes 03.04,1:34:35,https://ca.bbcollab.com/recording/d50c69eb45324be993d755338d07622b
Investigación Operativa I,B,2020-04-08,Semana 2: Miércoles,1:54:52,https://ca.bbcollab.com/recording/eb1dceb8c9ee427a9af596322bfb5c8e
Investigación Operativa I,B,2020-04-10,Semana 2: Viernes,1:59:30,https://ca.bbcollab.com/recording/70bfbeabbf6b47baa71cd4fe5490255e
Investigación Operativa I,B,2020-04-15,Semana 3: Miércoles,1:51:09,https://ca.bbcollab.com/recording/5d557a7555e6417e9b0ea017540f9151
Investigación Operativa I,B,2020-04-17,Semana 3: Viernes,2:11:24,https://ca.bbcollab.com/recording/ccc3fecc3b2549c68ef29597baee21cb
Investigación Operativa I,B,2020-04-22,Semana 4: Miércoles,1:49:49,https://ca.bbcollab.com/recording/30636c760b714cbaa90dd2254bd84e70
Investigación Operativa I,B,2020-04-24,Semana 4: Viernes,2:04:28,https://ca.bbcollab.com/recording/d594a634d9bd44519db804cf59f75c04
Investigación Operativa I,B,2020-04-29,Semana 5: Miércoles,1:53:25,https://ca.bbcollab.com/recording/c4334e685b8144e1986ccb113bba5c63
Investigación Operativa I,B,2020-05-01,Semana 5: Viernes,2:07:48,https://ca.bbcollab.com/recording/cb5b3ba8c8284a29a9d7607f44a04967
Investigación Operativa I,B,2020-05-06,Semana 6: Miércoles,2:06:27,https://ca.bbcollab.com/recording/339ef2d3eb5a4c5f9cf56b993f2fb056
Investigación Operativa I,B,2020-05-08,Semana 6: Viernes,1:58:37,https://ca.bbcollab.com/recording/449939f9ce9140bbabbddd9b80158dd8
Investigación Operativa I,B,2020-05-13,Semana 7: Miércoles,1:46:17,https://ca.bbcollab.com/recording/e754613dced744cc8a7cee9bd064a3d1
Investigación Operativa I,B,2020-05-15,Semana 7: Viernes,1:48:46,https://ca.bbcollab.com/recording/8f268931f4af484fa53d3209593ffea1
Investigación Operativa I,B,2020-05-19,Examen parcial,2:40:55,https://ca.bbcollab.com/recording/013853ca13634b3181c538099b03b47b
Investigación Operativa I,B,2020-05-27,Miércoles,1:48:15,https://ca.bbcollab.com/recording/144129e7f2534ef2a93b2d4b92cbbf23
Investigación Operativa I,B,2020-05-29,Viernes,1:59:15,https://ca.bbcollab.com/recording/919491baee984644a249b94dbac37a8c
Investigación Operativa I,B,2020-06-03,Miércoles,1:59:54,https://ca.bbcollab.com/recording/576cf5fad1c34887af74dd547137140c
Investigación Operativa I,B,2020-06-05,Viernes,1:39:29,https://ca.bbcollab.com/recording/fa8a3c725a2a4f5392a15b10617cb224
Investigación Operativa I,B,2020-06-10,Miércoles,2:08:51,https://ca.bbcollab.com/recording/224a361252ec4ab08cafadd43cc80c85
Investigación Operativa I,B,2020-06-12,Viernes,1:56:56,https://ca.bbcollab.com/recording/5aaa713341174b598082c6e0b851cace
Investigación Operativa I,B,2020-06-24,Miércoles,1:58:27,https://ca.bbcollab.com/recording/58df8cec549e4aa6baeae77734ce0a56
Investigación Operativa I,B,2020-06-26,Viernes,1:57:30,https://ca.bbcollab.com/recording/af5572626fda490f98ad24894b43104d
Investigación Operativa I,B,2020-07-01,Miércoles,1:35:41,https://ca.bbcollab.com/recording/92fe00c42b314c48a0182cc1918a0ede
Investigación Operativa I,B,2020-07-08,Miércoles,1:13:03,https://ca.bbcollab.com/recording/a2aafe51869d4008a557ebb0a01fa0bb
Investigación Operativa I,B,2020-07-08,Miércoles,1:13:03,https://ca.bbcollab.com/recording/a2aafe51869d4008a557ebb0a01fa0bb
Investigación Operativa I,B,2020-07-10,Viernes,0:22:19,https://ca.bbcollab.com/recording/ff414f46af0a4bdf90b9c165120e9f0e
Investigación Operativa I,B,2020-07-10,Viernes,0:22:19,https://ca.bbcollab.com/recording/ff414f46af0a4bdf90b9c165120e9f0e
