Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Investigación Operativa II,A,2020-03-30,Introducción,1:43:34,https://ca.bbcollab.com/recording/ea385b0d36434d03b9a1f37d2377d3f1
Investigación Operativa II,A,2020-04-01,Unidad 1: Análisis de decisiones,1:57:03,https://ca.bbcollab.com/recording/610a0e828a944e649fa280f09a4e2c79
Investigación Operativa II,A,2020-04-06,Unidad 1: Análisis de decisiones,2:00:20,https://ca.bbcollab.com/recording/979dc8ad07654b85bd63f42875475156
Investigación Operativa II,A,2020-04-08,Unidad 1: Análisis de decisiones,1:20:21,https://ca.bbcollab.com/recording/a0a9993d1b2b4befa53dff5cd576aefb
Investigación Operativa II,A,2020-04-13,Unidad 1: Análisis de decisiones,1:05:51,https://ca.bbcollab.com/recording/61332602d7934c50809d80458437a991
Investigación Operativa II,A,2020-04-15,Unidad 1: Análisis de decisiones,1:50:18,https://ca.bbcollab.com/recording/6b88bda384884ad387854743ad3315c4
Investigación Operativa II,A,2020-04-20,Unidad 1: Análisis de decisiones,0:12:39,https://ca.bbcollab.com/recording/33c76c11a45e43c9bd2696ead722c3b0
Investigación Operativa II,A,2020-04-20,Unidad 1: Análisis de decisiones,0:00:12,https://ca.bbcollab.com/recording/b0f7af4cbfbe4dee9da905374c003400
Investigación Operativa II,A,2020-04-22,Unidad 1: Análisis de decisiones,1:25:31,https://ca.bbcollab.com/recording/df2a532dae5d426ea81ef6e91fd803fa
Investigación Operativa II,A,2020-04-27,Unidad 1: Análisis de decisiones,1:24:38,https://ca.bbcollab.com/recording/e2125e1d6d9d4e8ea2e2e7afc1e6cf05
Investigación Operativa II,A,2020-04-29,Unidad 1: Análisis de decisiones,0:45:09,https://ca.bbcollab.com/recording/e73a8274f80a4b9fa296f7d5bddacda5
Investigación Operativa II,A,2020-05-04,Unidad 1: Análisis de decisiones,0:59:16,https://ca.bbcollab.com/recording/3060fcf9a51348f9a22f74372248228b
Investigación Operativa II,A,2020-05-06,Unidad 1: Análisis de decisiones,0:54:21,https://ca.bbcollab.com/recording/12c7b9e7a42e4c1599bb3718b54dc68f
Investigación Operativa II,A,2020-05-06,Unidad 1: Análisis de decisiones,0:36:22,https://ca.bbcollab.com/recording/46b2cf3fe6894c40b0817b10ad017cf6
Investigación Operativa II,A,2020-05-11,Unidad 1: Análisis de decisiones,0:47:22,https://ca.bbcollab.com/recording/c8f38dc187f245c7994f2fce77991fa6
