Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Investigación de Mercados,B,2020-03-31,Introducción al curso,1:36:40,https://ca.bbcollab.com/recording/473519b4e89f4378a67189c113cedecd
Investigación de Mercados,B,2020-04-02,Introducción al curso,1:41:21,https://ca.bbcollab.com/recording/5ae5cba6b04e4f93b99228fb34c58aad
Investigación de Mercados,B,2020-04-07,Introducción al curso,1:50:51,https://ca.bbcollab.com/recording/f3492745f745430ab0a11022cd0b3301
Investigación de Mercados,B,2020-04-14,Introducción al curso,1:28:08,https://ca.bbcollab.com/recording/64c94e8799b2408290c23fb1a1106d64
Investigación de Mercados,B,2020-04-16,Introducción al curso,1:30:15,https://ca.bbcollab.com/recording/c3540bead3874f3ca7dd2a88cd6caf6c
Investigación de Mercados,B,2020-04-21,Introducción al curso,1:42:55,https://ca.bbcollab.com/recording/521d78c74ac647fabd84ab10e88b705e
Investigación de Mercados,B,2020-04-23,Introducción al curso,1:39:36,https://ca.bbcollab.com/recording/93a41667bfe045019b50a6c6724591a8
Investigación de Mercados,B,2020-04-28,Introducción al curso,1:42:26,https://ca.bbcollab.com/recording/6c78da21e09e4952a612e8507cdc85ee
Investigación de Mercados,B,2020-04-30,Introducción al curso,1:41:41,https://ca.bbcollab.com/recording/c0273ff8606b49afaa34635b33fe9a96
Investigación de Mercados,B,2020-05-05,Introducción al curso,1:51:13,https://ca.bbcollab.com/recording/ba4038c4fb3d47a1b8cccf610bf42e7f
Investigación de Mercados,B,2020-05-07,Introducción al curso,1:45:31,https://ca.bbcollab.com/recording/9bc4ca7cf05148498825c3ddade05234
Investigación de Mercados,B,2020-05-12,Introducción al curso,1:33:22,https://ca.bbcollab.com/recording/b33194c774c742468e08d7e66ff88fca
Investigación de Mercados,B,2020-05-14,Introducción al curso,1:44:34,https://ca.bbcollab.com/recording/b9126e0e85d144049f4b832d744b5dce
Investigación de Mercados,B,2020-05-18,Introducción al curso,1:04:14,https://ca.bbcollab.com/recording/50b2071a26714136aec08e55c5186fc4
Investigación de Mercados,B,2020-05-26,Introducción al curso,1:40:46,https://ca.bbcollab.com/recording/7b3b70b0bba44cbaa4ac136bd3d82374
Investigación de Mercados,B,2020-05-28,Introducción al curso,1:32:27,https://ca.bbcollab.com/recording/fbdc278829e04f7ea2581f62f9cc10c4
Investigación de Mercados,B,2020-06-02,Introducción al curso,1:37:58,https://ca.bbcollab.com/recording/0e0d9bb11a9b49da87be3ee25e14aaa8
Investigación de Mercados,B,2020-06-04,Introducción al curso,1:29:09,https://ca.bbcollab.com/recording/8e660c8af07e4c24a21f941d607a73fc
Investigación de Mercados,B,2020-06-09,Introducción al curso,1:34:50,https://ca.bbcollab.com/recording/f60b8d76cd044b05bfcebbeb7dae6f40
Investigación de Mercados,B,2020-06-11,Introducción al curso,1:27:46,https://ca.bbcollab.com/recording/497c2687b17b4cf5816fac337e5061c5
Investigación de Mercados,B,2020-06-16,Introducción al curso,1:39:31,https://ca.bbcollab.com/recording/3de4f4db97954b669007600df2606075
Investigación de Mercados,B,2020-06-18,Introducción al curso,1:43:13,https://ca.bbcollab.com/recording/455c14371a4749e1a86b2e802637bec0
Investigación de Mercados,B,2020-06-23,Introducción al curso,1:26:31,https://ca.bbcollab.com/recording/2334e9fbccd04c85afd26c8828245811
Investigación de Mercados,B,2020-06-25,Introducción al curso,1:34:58,https://ca.bbcollab.com/recording/19f387288c894d42ac17c10e2aafad89
Investigación de Mercados,B,2020-06-30,Introducción al curso,1:39:49,https://ca.bbcollab.com/recording/0d9a6cdfb39c4520a5539793588ec799
Investigación de Mercados,B,2020-07-02,Introducción al curso,1:26:37,https://ca.bbcollab.com/recording/726c3f09a9c04a35b75cd064d52e3c47
Investigación de Mercados,B,2020-07-07,Introducción al curso,1:30:47,https://ca.bbcollab.com/recording/f2db28857dd4454d9d0a397419945b6e
Investigación de Mercados,B,2020-07-09,Introducción al curso,1:21:30,https://ca.bbcollab.com/recording/862f6b34adf641e58ee1a68aed08cb92
Investigación de Mercados,B,2020-07-09,Introducción al curso,1:21:30,https://ca.bbcollab.com/recording/862f6b34adf641e58ee1a68aed08cb92
