Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
La Informalidad en el Perú: Problemática,A,2020-04-01,SESION 1 INTRODUCCION,0:09:36,https://ca.bbcollab.com/recording/244903adb1964e2bb03402d7a05bb363
La Informalidad en el Perú: Problemática,A,2020-04-01,SESION 1 INTRODUCCION,2:24:01,https://ca.bbcollab.com/recording/804eb94d25dd441598cea71a163f135d
La Informalidad en el Perú: Problemática,A,2020-04-08,Sesión Miércoles 08 Abril,2:46:13,https://ca.bbcollab.com/recording/e8060d2f8ecd41fc810d3edab8794c90
La Informalidad en el Perú: Problemática,A,2020-04-15,Sesión 15 Abril,2:44:38,https://ca.bbcollab.com/recording/bc636d8144c543979221a6418155257f
La Informalidad en el Perú: Problemática,A,2020-04-22,Sesión 22 Abril,2:40:02,https://ca.bbcollab.com/recording/d3f011982f4349b696f80a2f039d143f
La Informalidad en el Perú: Problemática,A,2020-04-29,Sesión 29 Abril,2:37:40,https://ca.bbcollab.com/recording/26f221edeb9641bb96bc2f07a5371690
La Informalidad en el Perú: Problemática,A,2020-05-06,Sesión 06 de Mayo,2:32:43,https://ca.bbcollab.com/recording/828d1dc2ece3466c8c1bb9a2ac27dc80
La Informalidad en el Perú: Problemática,A,2020-05-13,Sesión 13 Mayo,2:11:37,https://ca.bbcollab.com/recording/29485efc4823412f9426a2d30732dfa9
La Informalidad en el Perú: Problemática,A,2020-05-13,Sesión 13 Mayo,0:46:41,https://ca.bbcollab.com/recording/692ffdbf2e86450f9c301b2bfed83c78
La Informalidad en el Perú: Problemática,A,2020-05-27,Sesión 27 de Mayo,2:50:02,https://ca.bbcollab.com/recording/9ec03623dacf4e30a59ce188f417a036
La Informalidad en el Perú: Problemática,A,2020-06-03,Sesión 03 de Junio,2:42:12,https://ca.bbcollab.com/recording/3ec2fdf94ce4493986b4aaa70901f6c8
La Informalidad en el Perú: Problemática,A,2020-06-10,Sesión 10 de junio,2:35:13,https://ca.bbcollab.com/recording/2cf1b212af7443caa971d0c8f9f764a1
La Informalidad en el Perú: Problemática,A,2020-06-17,Sesión 17 de junio,2:39:00,https://ca.bbcollab.com/recording/6082550132d145ef867084e96198a2bd
La Informalidad en el Perú: Problemática,A,2020-07-01,Sesión 01 de julio,2:35:34,https://ca.bbcollab.com/recording/0e4aff9964c54d77a5208c2eeda9cc38
La Informalidad en el Perú: Problemática,A,2020-07-08,Sesión 08 de julio,2:03:19,https://ca.bbcollab.com/recording/38402c84cde0454bad6e05c0727bf9f8
