Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,B,2020-03-31,SEM 1 MARTES 31 MARZO,1:48:58,https://ca.bbcollab.com/recording/b0c5145e37f04640b6c7919c2fb2d532
Lenguaje I,B,2020-04-02,SEM 1 JUEVES 2 ABRIL,1:36:44,https://ca.bbcollab.com/recording/dcd45afa3ceb455f8d4a534b1c93b89a
Lenguaje I,B,2020-04-07,SEM 2 martes  7 ABRIL,1:41:31,https://ca.bbcollab.com/recording/54a1d35fd19345fe880774ee33380a65
Lenguaje I,B,2020-04-14,SEM 3 martes  14 ABRIL,1:45:44,https://ca.bbcollab.com/recording/c30c60b724654453b2ab4b0d58dd0431
Lenguaje I,B,2020-04-16,SEM 4  JUEVES 16 ABRIL,1:54:58,https://ca.bbcollab.com/recording/1644b55e58fa46509d5c1898db1bbc48
Lenguaje I,B,2020-04-21,sem 5 martes 21 abril,1:33:08,https://ca.bbcollab.com/recording/8774ec38cb6041e580fed5c1a9843142
Lenguaje I,B,2020-04-23,jue 23 abril,1:43:59,https://ca.bbcollab.com/recording/cd76886eea1f49d0913711f2b881ba21
Lenguaje I,B,2020-04-28,martes 27 abril,1:38:06,https://ca.bbcollab.com/recording/533455008e6246a89423b86d9150e733
Lenguaje I,B,2020-04-30,jue 30 abril,1:27:18,https://ca.bbcollab.com/recording/920508d6830045a580815db8e9e8db52
Lenguaje I,B,2020-05-05,Martes 05 Mayo,1:40:00,https://ca.bbcollab.com/recording/6f30df4baff54c4591bd27477f912a10
Lenguaje I,B,2020-05-07,jueves 7 mayo,1:33:24,https://ca.bbcollab.com/recording/7626a1a5d75b4db781b2baaf4e0edf14
Lenguaje I,B,2020-05-12,martes 12 mayo,1:30:38,https://ca.bbcollab.com/recording/bd2350e4eea0438684b52329e45d52d8
Lenguaje I,B,2020-05-14,jueves 14 mayo,1:34:08,https://ca.bbcollab.com/recording/a538113a203541e484e34ec5037fbec1
Lenguaje I,B,2020-05-26,martes 26 mayo,1:30:09,https://ca.bbcollab.com/recording/1e56303e4153450ca250a2c32c8bca02
Lenguaje I,B,2020-05-28,jueves 28 mayo,1:36:28,https://ca.bbcollab.com/recording/7dd39a7e17ae46c3bd76d411b01681d1
Lenguaje I,B,2020-06-02,martes 2 junio,1:34:57,https://ca.bbcollab.com/recording/543450476ddf42c8ab126cbb3340c7bb
Lenguaje I,B,2020-06-04,jueves 4 junio,1:39:39,https://ca.bbcollab.com/recording/b76cf3784e624c6e9f685129e1e2a8ff
Lenguaje I,B,2020-06-09,MARTES 9 JUNIO,1:46:39,https://ca.bbcollab.com/recording/6e3b3c80f0d84e908f8f549c73f796bd
Lenguaje I,B,2020-06-11,jueves 11 junio,2:23:06,https://ca.bbcollab.com/recording/ae71b883833f4c38ac75b24a1b0e720d
Lenguaje I,B,2020-06-16,martes 16 junio,1:27:26,https://ca.bbcollab.com/recording/21f6c96c7d914db6960052119d64ebab
Lenguaje I,B,2020-06-18,jueves 18 junio,1:39:52,https://ca.bbcollab.com/recording/34220039ee0f4fb3a5474a74c2f5fd9c
Lenguaje I,B,2020-06-23,JUEVES 23 JUNIO,1:34:49,https://ca.bbcollab.com/recording/714a35cde8a04ae69f09c93a3af5947b
Lenguaje I,B,2020-06-25,JUEVES 25 JUNIO,1:35:46,https://ca.bbcollab.com/recording/c830134865104bfda0219178e1b2ab13
Lenguaje I,B,2020-06-30,martes 30junio,1:36:30,https://ca.bbcollab.com/recording/b74e6d7efbbf4667b4fddd0ef13525f6
Lenguaje I,B,2020-07-07,martes 7 julio,1:37:17,https://ca.bbcollab.com/recording/d62c74fbc93a4f74b45cf1513ff1e099
Lenguaje I,B,2020-07-09,jueves 9 julio,1:38:06,https://ca.bbcollab.com/recording/b4d0a611f83642ecbb3cd341860627bd
Lenguaje I,B,2020-07-09,jueves 9 julio,1:38:06,https://ca.bbcollab.com/recording/b4d0a611f83642ecbb3cd341860627bd
