Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,C,2020-03-31,Clase 1,2:06:12,https://ca.bbcollab.com/recording/4d4f5ce24ba34fe0a1b1a4eacdcb0b2f
Lenguaje I,C,2020-04-02,Clase 2,1:57:22,https://ca.bbcollab.com/recording/5871afc53ae9480b8477c7279dda4393
Lenguaje I,C,2020-04-07,Clase 3 Oración y coordinación,1:59:10,https://ca.bbcollab.com/recording/1d09072681ae419ea76ea3d0dd8b804e
Lenguaje I,C,2020-04-14,Martes 14 de abril,1:54:37,https://ca.bbcollab.com/recording/06cef7b6c1894a3dbea3aeeb8c659a1c
Lenguaje I,C,2020-04-16,PC jueves 16 de abril,0:41:27,https://ca.bbcollab.com/recording/d52fd69bee7c497095b11d80c3e9cc5b
Lenguaje I,C,2020-04-21,Martes 21 de abril,1:56:16,https://ca.bbcollab.com/recording/1b1448b7c34f4957a57a06637629be3b
Lenguaje I,C,2020-04-23,Jueves 23-4,1:53:36,https://ca.bbcollab.com/recording/f2775f8b75aa4b8aadb0913e79721fc0
Lenguaje I,C,2020-04-28,Martes 28-4,1:53:36,https://ca.bbcollab.com/recording/7b695b09896c4b289c746bbdf57b4d8c
Lenguaje I,C,2020-04-30,Jueves 30-4,1:56:47,https://ca.bbcollab.com/recording/9052d353b4874650b9bb758b80fc9e21
Lenguaje I,C,2020-05-05,Martes 5/5,1:43:15,https://ca.bbcollab.com/recording/57eb5fa18609478ebf16e1900008c4fb
Lenguaje I,C,2020-05-12,Martes 12-5,1:48:35,https://ca.bbcollab.com/recording/0aa40557ba4d43a491aec889844a1470
Lenguaje I,C,2020-05-14,Jueves 14-5,1:56:35,https://ca.bbcollab.com/recording/f3499e0685a840979ef7812d7a520cc0
Lenguaje I,C,2020-05-26,Martes 26-5,1:52:28,https://ca.bbcollab.com/recording/086891d24ca447098589dcde399d6fc8
Lenguaje I,C,2020-05-28,Jueves 28-5,1:48:06,https://ca.bbcollab.com/recording/dedda9a0ab504f1898fd0f2dcb27d070
Lenguaje I,C,2020-06-02,Martes 2-6,1:47:03,https://ca.bbcollab.com/recording/0e5afe044bf040898e9dfd7906ba8fe1
Lenguaje I,C,2020-06-04,Jueves 4-6,1:54:54,https://ca.bbcollab.com/recording/95212fdbeafa4947a92a37c9706dd0c0
Lenguaje I,C,2020-06-09,Martes 9-6,1:48:49,https://ca.bbcollab.com/recording/4be5878922c64268bb94172050348689
Lenguaje I,C,2020-06-16,Martes 16-6,1:49:04,https://ca.bbcollab.com/recording/2c8c99aa4b5a41aa90b4f306982eec11
Lenguaje I,C,2020-06-18,Jueves 18-6,1:46:00,https://ca.bbcollab.com/recording/0119b9b50139468b844165b1299a8063
Lenguaje I,C,2020-06-23,Martes 23-6,1:48:27,https://ca.bbcollab.com/recording/6b601dfd1a7a4323b1a155804f045592
Lenguaje I,C,2020-06-25,Jueves 25-6,1:51:33,https://ca.bbcollab.com/recording/dda26c16f4f545fa8d857ebb9d55891e
Lenguaje I,C,2020-06-30,Martes 30-6,1:52:05,https://ca.bbcollab.com/recording/9784eb4da36b4a70a62b03fcfef7af11
Lenguaje I,C,2020-07-07,Martes 7-7,1:46:50,https://ca.bbcollab.com/recording/dbac33ae444f4ddf932427cf6de3e64c
Lenguaje I,C,2020-07-09,Jueves 9 de julio,2:04:33,https://ca.bbcollab.com/recording/f76fff1a33df4374bf8bf0ca90a2726f
Lenguaje I,C,2020-07-09,Jueves 9 de julio,2:04:33,https://ca.bbcollab.com/recording/f76fff1a33df4374bf8bf0ca90a2726f
