Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,E,2020-03-31,Presentación del curso y primera sesión,1:39:07,https://ca.bbcollab.com/recording/14cca260e77e46749bfde5e28d12db36
Lenguaje I,E,2020-04-02,Segunda sesión: Verbo y oración simple,1:42:09,https://ca.bbcollab.com/recording/9a74955614b24691a74b2ca1a21e3b1c
Lenguaje I,E,2020-04-07,Semana 3: sintaxis de la oración simple y presentación de la oración compuesta,1:40:19,https://ca.bbcollab.com/recording/8570722e319940b28f18a74fc1955ddf
Lenguaje I,E,2020-04-14,Sesión 5: coordinación de proposiciones y subordinación sustantiva,1:34:20,https://ca.bbcollab.com/recording/999e689de5d041bf8092147bb3a424ae
Lenguaje I,E,2020-04-21,Sesión 7: subordinación sustantiva y adjetiva,1:39:53,https://ca.bbcollab.com/recording/ea69086ffdda4a4999c20898367f8c4d
Lenguaje I,E,2020-04-23,Revisión de la PC1 y subordinada adjetiva,1:35:28,https://ca.bbcollab.com/recording/6a3d1ed0a0d3463494d44cd1a1ca634f
Lenguaje I,E,2020-04-28,Sesión 8: subordinaciones adjetival y adverbial,1:39:15,https://ca.bbcollab.com/recording/5531346860324188b76de376a609ce54
Lenguaje I,E,2020-04-30,Sesión 9: subordinación adverbial,1:38:42,https://ca.bbcollab.com/recording/95f24aee3331412bbaf98054b0947ab7
Lenguaje I,E,2020-05-05,Sesión 10: oración compuesta (repaso para PC2),1:36:21,https://ca.bbcollab.com/recording/7b62d950aac04d85a8a63cf6cfa3a7cd
Lenguaje I,E,2020-05-12,Sesión 11: errores comunes,1:37:02,https://ca.bbcollab.com/recording/bd87b65d37734c839e90bf48f2ba3ef7
Lenguaje I,E,2020-05-14,Sesión 12: revisión de PC2 y repaso,1:30:56,https://ca.bbcollab.com/recording/df71f78917f14cb3805c24ca9c6bc7c4
Lenguaje I,E,2020-05-21,"Examen parcial de Lenguaje 1 (E) y Nivelación en Lenguaje (B,E y J)",1:54:49,https://ca.bbcollab.com/recording/fd9171728ee048fcac4942659de02906
Lenguaje I,E,2020-05-26,Sesión 13: naturaleza del lenguaje,1:34:26,https://ca.bbcollab.com/recording/fb63849517524205b48a652337aa73d6
Lenguaje I,E,2020-05-28,Sesión 14,1:40:32,https://ca.bbcollab.com/recording/3981c0860e3d4f0fb30213d02fd397d2
Lenguaje I,E,2020-06-02,Sesión 15: naturaleza del signo lingüístico,1:39:37,https://ca.bbcollab.com/recording/b6d5b1c5383547829c187a3873585464
Lenguaje I,E,2020-06-04,"Sesión 16: naturaleza del lenguaje, referentes y referidos, esquema de contenidos",1:42:09,https://ca.bbcollab.com/recording/e54dd191790d441b8678b3edacde0132
Lenguaje I,E,2020-06-09,Sesión 17: esquematizar textos y repaso,1:46:15,https://ca.bbcollab.com/recording/bd5db9a5fed3428bba19cf54f89574b5
Lenguaje I,E,2020-06-11,"Tercera práctica calificada, sección E",1:00:59,https://ca.bbcollab.com/recording/1cd17153099b4999be2494bbb0e355a1
Lenguaje I,E,2020-06-16,Sesión 18: funciones del lenguaje,1:44:50,https://ca.bbcollab.com/recording/4ab112f2fc26438ea5b768801706e6d9
Lenguaje I,E,2020-06-18,Sesión 19: funciones del lenguaje,1:42:35,https://ca.bbcollab.com/recording/921ff8f5521342e29a407164afab3bf5
Lenguaje I,E,2020-06-23,"Sesión 20: sistema, norma y habla",1:40:07,https://ca.bbcollab.com/recording/78b277862873443d8071a81be2bcc64f
Lenguaje I,E,2020-06-25,"Sesión 21: sistema, norma y habla",1:43:19,https://ca.bbcollab.com/recording/d0df62d165fc407f9cb994856f2d1ddf
Lenguaje I,E,2020-06-30,"Sesión 21: saberes lingüísticos y repaso de sistema, norma y habla",1:38:58,https://ca.bbcollab.com/recording/3de45fae5d744be6a083a2a4914fdaef
Lenguaje I,E,2020-07-02,PC4 de Lenguaje 1,0:40:32,https://ca.bbcollab.com/recording/d10c1dd6ba62451abf24b7cd9c47b9ef
Lenguaje I,E,2020-07-07,Semana final: paradigma y sintagma,1:37:33,https://ca.bbcollab.com/recording/1ad1cbadceb740c680fd1f57c2f11599
Lenguaje I,E,2020-07-09,Clase final,1:37:46,https://ca.bbcollab.com/recording/487a2edaabe74af39c33e8802b568f07
Lenguaje I,E,2020-07-09,Clase final,1:37:46,https://ca.bbcollab.com/recording/487a2edaabe74af39c33e8802b568f07
Lenguaje I,E,2020-07-16,Consultas para los exámenes finales de Lenguaje 1 (E) y Nivelación en Lenguaje (BEJ),2:37:43,https://ca.bbcollab.com/recording/96577205bbfa45c99d504184984eae86
