Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,L,2020-03-31,Primera clase Lenguaje 1 - sección L,1:44:12,https://ca.bbcollab.com/recording/3fb6f0835cc742778b83bf20d8f6654d
Lenguaje I,L,2020-04-02,Sesión 2 Oración simple,1:47:53,https://ca.bbcollab.com/recording/5b2c92982244411daeef8d5f31e20c14
Lenguaje I,L,2020-04-07,Sesión 3 oración compuesta coordinación,1:38:22,https://ca.bbcollab.com/recording/d7d71d4fd3c74eaa84278760df96161f
Lenguaje I,L,2020-04-14,clase 4 coordinación proposiciones y repaso PC1,1:37:15,https://ca.bbcollab.com/recording/32554dcdef7f482594efb42fd6a006b8
Lenguaje I,L,2020-04-16,Sesión 5 Práctica calificada 1,1:27:07,https://ca.bbcollab.com/recording/5e59ebcd205846b1992f77fa8714565a
Lenguaje I,L,2020-04-21,Lenguaje 1 (sesión de los martes),1:41:02,https://ca.bbcollab.com/recording/69bf3a18f51f42b2b6aa9c6cf1528cf3
Lenguaje I,L,2020-04-23,Lenguaje 1 (sesión de los jueves),1:38:29,https://ca.bbcollab.com/recording/0ae1f02959fe4b31bcd6ab9312d5b910
Lenguaje I,L,2020-04-28,Lenguaje 1 (sesión de los martes),1:34:57,https://ca.bbcollab.com/recording/77fe721f58e64a16bfbfdb14ba88d385
Lenguaje I,L,2020-04-30,Lenguaje 1 (sesión de los jueves),1:36:48,https://ca.bbcollab.com/recording/01dfbe1da4ed401fa80f3e0803d56644
Lenguaje I,L,2020-05-05,Lenguaje 1 (sesión de los martes),1:45:49,https://ca.bbcollab.com/recording/6991f0849abf465c82dbc2feb6372077
Lenguaje I,L,2020-05-07,Lenguaje 1 (sesión de los jueves),1:30:58,https://ca.bbcollab.com/recording/9c7ec577dd034feb9da6d8a9f8d494c1
Lenguaje I,L,2020-05-12,Lenguaje 1 (sesión de los martes),1:49:17,https://ca.bbcollab.com/recording/d2d02ce90ddc436e93f77300a86e40d9
Lenguaje I,L,2020-05-14,Lenguaje 1 (sesión de los jueves),1:45:31,https://ca.bbcollab.com/recording/440fb5e066164b078feccdc89da46e58
Lenguaje I,L,2020-05-26,Lenguaje 1 (sesión de los martes),1:51:22,https://ca.bbcollab.com/recording/f502158c94734d37a2de6a6208436fc5
Lenguaje I,L,2020-05-28,Lenguaje 1 (sesión de los jueves),1:32:33,https://ca.bbcollab.com/recording/c656fc5703c64f6fb59cfcfdd1fa9dcc
Lenguaje I,L,2020-06-02,Lenguaje 1 (sesión de los martes),1:48:27,https://ca.bbcollab.com/recording/0725b1c8765a4647b6f91fdea3b8fc8b
Lenguaje I,L,2020-06-04,Lenguaje 1 (sesión de los jueves),1:53:59,https://ca.bbcollab.com/recording/384d7d84a6364c71a6e7448e790ed629
Lenguaje I,L,2020-06-09,Lenguaje 1 (sesión de los martes),1:49:59,https://ca.bbcollab.com/recording/4e511d67d49d485c849d43dcaaebb28c
Lenguaje I,L,2020-06-11,Lenguaje 1 (sesión de los jueves),1:48:41,https://ca.bbcollab.com/recording/de5541cfe0ea424396eff0b9f2051fec
Lenguaje I,L,2020-06-16,Lenguaje 1 (sesión de los martes),1:29:38,https://ca.bbcollab.com/recording/fe6b4a901f674800bd6a4cc202959969
Lenguaje I,L,2020-06-18,Lenguaje 1 (sesión de los jueves),1:45:57,https://ca.bbcollab.com/recording/e271cd40ff55449aae53ad193a594f23
Lenguaje I,L,2020-06-23,Lenguaje 1 (sesión de los martes),1:41:09,https://ca.bbcollab.com/recording/9152cb82f01c4aa9ac31ccfae8d88b1b
Lenguaje I,L,2020-06-25,Lenguaje 1 (sesión de los jueves),1:49:30,https://ca.bbcollab.com/recording/d80e1a36f5e54231b28e5188454ea58f
Lenguaje I,L,2020-06-30,Lenguaje 1 (sesión de los martes),1:41:34,https://ca.bbcollab.com/recording/a42bfc309ff54545b6bb7b760ef45227
Lenguaje I,L,2020-07-02,Lenguaje 1 (sesión de los jueves),1:37:36,https://ca.bbcollab.com/recording/15e8477817b8441fb3e994024388aefc
Lenguaje I,L,2020-07-07,Lenguaje 1 (sesión de los martes),1:36:12,https://ca.bbcollab.com/recording/ec9224f89ed543d291dfae9b19387c48
Lenguaje I,L,2020-07-09,Lenguaje 1 (sesión de los jueves),1:45:06,https://ca.bbcollab.com/recording/06ef4941d5484cf48570f446b57e9438
Lenguaje I,L,2020-07-09,Lenguaje 1 (sesión de los jueves),1:45:06,https://ca.bbcollab.com/recording/06ef4941d5484cf48570f446b57e9438
