Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,M,2020-03-31,Primera clase. Presentación. Verbos irregulares.,1:38:42,https://ca.bbcollab.com/recording/4c1544de7f9d435b8c7086bdab31f444
Lenguaje I,M,2020-04-02,Clase 2 -Oración simple,1:38:46,https://ca.bbcollab.com/recording/bfe243a24f464c098272dad103e4cc8a
Lenguaje I,M,2020-04-07,Sesión 3 -Oración Simple y Coordinación de prop.,1:40:48,https://ca.bbcollab.com/recording/0601f07bb3f24c5a986350f7b2f5742d
Lenguaje I,M,2020-04-14,Sesión 4 - Repaso de coordinación,1:45:52,https://ca.bbcollab.com/recording/556bac0cbfbd471ea08f4d8ffe538fd0
Lenguaje I,M,2020-04-16,Clase 5 - PCI,1:27:23,https://ca.bbcollab.com/recording/63031b21a8d449ff834a815a6bc563cf
Lenguaje I,M,2020-04-21,Clase 6 - Proposición subordinada sustantiva,1:38:48,https://ca.bbcollab.com/recording/78ad35395e6445009f5f4a0c1b9b7389
Lenguaje I,M,2020-04-23,Clase 7 - PSS (II)/ P.S Adj.,1:45:05,https://ca.bbcollab.com/recording/08a4ac8ce52244e1af12f665581b18e5
Lenguaje I,M,2020-04-28,Clase VIII - PS. Adjetiva,1:37:44,https://ca.bbcollab.com/recording/51d9b7fe1ddc4728b3b082d8639c1efb
Lenguaje I,M,2020-04-30,Clase IX - P.S. Adjetiva (II),1:39:00,https://ca.bbcollab.com/recording/6eeb912913804ffb94e4d30326168914
Lenguaje I,M,2020-05-05,"Clase X - PS. ADV.//PS. Causales, condicionales, consecutivas y concesivas.",1:42:48,https://ca.bbcollab.com/recording/8ece4e44c50d4195aa98e17cae4ec412
Lenguaje I,M,2020-05-07,Clase XI - PC II,1:29:21,https://ca.bbcollab.com/recording/38bfd508a40f4246832dac867faa134d
Lenguaje I,M,2020-05-12,"Clase XII - Sintaxis, entonación y puntuación",1:35:11,https://ca.bbcollab.com/recording/da89272cf4ed46e28c235c1d7e7e22dc
Lenguaje I,M,2020-05-14,Clase XIII -Errores sintácticos frecuentes,1:37:51,https://ca.bbcollab.com/recording/2065695f10c242c69064adb84870ba4d
Lenguaje I,M,2020-05-21,Sala de Consultas Examen Parcial 2020-I,2:10:40,https://ca.bbcollab.com/recording/690230bf3eba4cf3b4efced28d1f2d9b
Lenguaje I,M,2020-05-26,Clase XIV - Naturaleza del lenguaje,1:43:12,https://ca.bbcollab.com/recording/8dae50c1610743648d80a01193801b2e
Lenguaje I,M,2020-05-28,Clase XV - Nat. del lenguaje II,1:41:41,https://ca.bbcollab.com/recording/1afe75072e8044b3a3329e634b664c84
Lenguaje I,M,2020-06-02,Clase XVI - Naturaleza del Lenguaje III,1:43:52,https://ca.bbcollab.com/recording/56ebe6753d3744e2a33482972ee582ab
Lenguaje I,M,2020-06-04,Clase XVII - Nat del Lenguaje - IV - Base de lo social,1:40:28,https://ca.bbcollab.com/recording/df54cb70a5a241298c0ba9d2f484b5d4
Lenguaje I,M,2020-06-09,Clase XVIII - Guía 2,1:39:38,https://ca.bbcollab.com/recording/f2e6ca6aea9e4d0cadc1418b2ee290d2
Lenguaje I,M,2020-06-11,Clase XIX PCIII,1:29:46,https://ca.bbcollab.com/recording/edb0dbaa5c3e4a5383ab8dd674d7c55a
Lenguaje I,M,2020-06-16,Clase XX _ Funciones del Lenguaje I,1:41:37,https://ca.bbcollab.com/recording/32a43b35efb34ebb8b6be112451e28f2
Lenguaje I,M,2020-06-18,Clase XXI - Funciones del Lenguaje II Denotación y Connotación,1:39:47,https://ca.bbcollab.com/recording/893f53ba364246c78715aab003cfc7b0
Lenguaje I,M,2020-06-23,"Clase XXII - Sistema, norma y habla I",1:42:54,https://ca.bbcollab.com/recording/715a9a6e33fd4582bc7a3f71263a03ba
Lenguaje I,M,2020-06-25,"Clase XXIII - Sistema, norma y habla II",1:41:47,https://ca.bbcollab.com/recording/46f43eb3e2f3412781d1bae56e022f34
Lenguaje I,M,2020-06-30,Clase XXIV - SNH - ERRORES,1:41:13,https://ca.bbcollab.com/recording/ba548471b74d4bfd9b13646b44521059
Lenguaje I,M,2020-07-02,Clase XXV - PC IV,1:31:05,https://ca.bbcollab.com/recording/254dcd5e21d34cb1b169557a9d68be10
Lenguaje I,M,2020-07-07,Clase XXVI - Sintagma y paradigma,1:38:23,https://ca.bbcollab.com/recording/c2894571c9994fd9be433518d7d0ddf4
Lenguaje I,M,2020-07-09,Clase XXVII - Cierre,1:30:43,https://ca.bbcollab.com/recording/b57786c0d3a74e6a94adb557267a87b5
