Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,O,2020-03-31,Clase I - Presentación- Verbos irregulares,1:41:12,https://ca.bbcollab.com/recording/882acbe2fb7f4f20a7c402b8c8fbba63
Lenguaje I,O,2020-04-02,Clase 2 - Oración simple,1:39:46,https://ca.bbcollab.com/recording/5b5a341f02d04b53957e27e1d8860f2f
Lenguaje I,O,2020-04-07,Clase 3  - Oración simple/Inicio de O. Compuesta,1:42:35,https://ca.bbcollab.com/recording/4533e2d6bcfb4398b92d9e4967397211
Lenguaje I,O,2020-04-14,Clase 4 - Repaso de coordinación de proposiciones,1:39:08,https://ca.bbcollab.com/recording/c28cf5128c8b4050a4f62a542528a23d
Lenguaje I,O,2020-04-16,Clase 5 - PCI,1:32:15,https://ca.bbcollab.com/recording/09201a1a7c80412787083d727df61caf
Lenguaje I,O,2020-04-21,Clase 6 - Proposición subordinada sustantiva,1:42:03,https://ca.bbcollab.com/recording/bf7fbbb52c0b4a3fb64973b061891feb
Lenguaje I,O,2020-04-23,Clase 7 -  PSS 2 -PSAdjetiva.,1:40:22,https://ca.bbcollab.com/recording/d7ac97af74fe485183f6f888ef6093a7
Lenguaje I,O,2020-04-28,Clase 8- PS. Adjetiva,1:38:46,https://ca.bbcollab.com/recording/392deb3d7abc4709a550b77125e4eaa4
Lenguaje I,O,2020-04-30,Clase 9 - PS: ADJ (II),1:37:32,https://ca.bbcollab.com/recording/bdfb590015d24cc58d5e2a148aaf7955
Lenguaje I,O,2020-05-05,Clase 10 - PS. Adverbial (y otras),1:40:58,https://ca.bbcollab.com/recording/9a2b4d74e26a40d9923f2ff146baf336
Lenguaje I,O,2020-05-07,Clase XI - PC II,1:35:07,https://ca.bbcollab.com/recording/eda79f0c37de4f289ce8136c1216e66a
Lenguaje I,O,2020-05-12,Clase XII -Sintaxis/Entonación/Puntuación,1:39:55,https://ca.bbcollab.com/recording/047864cb29474ec79a635312ccb8eff7
Lenguaje I,O,2020-05-14,Clase XIII - Errores sintácticos,1:47:34,https://ca.bbcollab.com/recording/5ba47a89234c4d07944b0648824a1edb
Lenguaje I,O,2020-05-26,Clase XIV - Naturaleza del lenguaje (I),1:40:44,https://ca.bbcollab.com/recording/4e83b86b84b644db91630b86d2b06374
Lenguaje I,O,2020-05-28,Clase XV - Nat. del Lenguaje II,1:44:49,https://ca.bbcollab.com/recording/7e6d0b2351e64e0b818053d4da1dc104
Lenguaje I,O,2020-06-02,Clase XVI -Nat. del Lenguaje III,1:40:05,https://ca.bbcollab.com/recording/447e2046ad4c4115854ee24eede08150
Lenguaje I,O,2020-06-04,Clase XVII- Nat. del Leng.: Base de lo social,1:38:37,https://ca.bbcollab.com/recording/d71a66c7e1df4534a901d3cdcc5d8cea
Lenguaje I,O,2020-06-09,Clase XVIII - Guía 2 - Fin,1:40:58,https://ca.bbcollab.com/recording/4f7c377464f04a6098557e15ad108029
Lenguaje I,O,2020-06-11,Clase XIX - PC III,1:30:54,https://ca.bbcollab.com/recording/f303e648e1e14d609252bffa8178d476
Lenguaje I,O,2020-06-16,Clase XX - Funciones del Lenguaje I,1:43:53,https://ca.bbcollab.com/recording/0ebc6c3b215b490da5ee52589bc54c76
Lenguaje I,O,2020-06-18,Clase XXI - FUNCIONES DEL LENGUAJE II,1:40:38,https://ca.bbcollab.com/recording/87e735a1df6b4133b50c723d7dfa77fc
Lenguaje I,O,2020-06-23,"Clase XXII -Sistema, norma y habla",1:43:25,https://ca.bbcollab.com/recording/eeb76d351b704dd1bb851b9c56618249
Lenguaje I,O,2020-06-25,"Clase XXIII - Sistema, norma y habla II",1:43:15,https://ca.bbcollab.com/recording/70f13953e89e41bb822b2104421778fd
Lenguaje I,O,2020-06-30,Clase XXIV -SNH III - Errores,1:40:58,https://ca.bbcollab.com/recording/19f38ab8da924a5985c459128393a160
Lenguaje I,O,2020-07-02,Clase XXV PC IV,1:30:36,https://ca.bbcollab.com/recording/6ef2264e09c148ec8e81fccb86ea4a69
Lenguaje I,O,2020-07-07,Clase XXVI - Sintagma y paradigma,1:38:11,https://ca.bbcollab.com/recording/4e51feedb88c47c4a432886cebb053f2
Lenguaje I,O,2020-07-09,Clase XXVII - CIERRE,1:36:24,https://ca.bbcollab.com/recording/13d3aa3bc5ac41afa69569dee37be232
Lenguaje I,O,2020-07-09,Clase XXVII - CIERRE,1:36:24,https://ca.bbcollab.com/recording/13d3aa3bc5ac41afa69569dee37be232
