Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,P,2020-03-31,Sesión 1 - 31 de marzo,1:23:41,https://ca.bbcollab.com/recording/b851ae377922447aaae4ba1cff1a1629
Lenguaje I,P,2020-04-02,Sesión L1 - 2 de abril,0:55:28,https://ca.bbcollab.com/recording/a91084f5981d4c23878e87ceedd1035a
Lenguaje I,P,2020-04-07,Clase martes 7 - Lenguaje 1,0:13:30,https://ca.bbcollab.com/recording/4effc926e7e848a2b1cf4acf11bdd0d7
Lenguaje I,P,2020-04-07,Clase martes 7 - Lenguaje 1,0:23:56,https://ca.bbcollab.com/recording/bdb3925601f94294afaa6b53471a2d68
Lenguaje I,P,2020-04-14,Clase 14 de abril (Lenguaje 1),1:42:49,https://ca.bbcollab.com/recording/d4f48912ba9c4404aecfc5b18a2edb22
Lenguaje I,P,2020-04-21,Clase Lenguaje 1,2:14:54,https://ca.bbcollab.com/recording/1be4a5aa81c947a48af6d7577eed424d
Lenguaje I,P,2020-04-23,Clase Lenguaje 1,1:49:51,https://ca.bbcollab.com/recording/44fbe479451c404e9eb4eaa8929781fb
Lenguaje I,P,2020-04-28,Clase Lenguaje 1,1:35:25,https://ca.bbcollab.com/recording/224c989572c1470fa61306d1709724c1
Lenguaje I,P,2020-04-30,Clase Lenguaje 1,1:38:12,https://ca.bbcollab.com/recording/3754b11266b34f82b269bda30adc759a
Lenguaje I,P,2020-05-05,Clase Lenguaje 1,1:29:55,https://ca.bbcollab.com/recording/d8e803684a404c12bbfa5a1f42b6b267
Lenguaje I,P,2020-05-12,Clase Lenguaje 1,1:12:07,https://ca.bbcollab.com/recording/4e5894bdc713495e88d579fbb4fcb01e
Lenguaje I,P,2020-05-14,Clase Lenguaje 1,1:34:40,https://ca.bbcollab.com/recording/7d96739a3f0841e0951de446308a95e3
Lenguaje I,P,2020-05-26,Clase - Lenguaje 1,1:24:39,https://ca.bbcollab.com/recording/64e57a31dc6b4a29bd41401009ced7a4
Lenguaje I,P,2020-05-28,Clase - Lenguaje 1,1:44:39,https://ca.bbcollab.com/recording/78b4e52ffecb40d39c8755248ca2e693
Lenguaje I,P,2020-06-02,Clase - Lenguaje 1,1:40:58,https://ca.bbcollab.com/recording/bbdce4ed49ae4ecd950f5ff561845d00
Lenguaje I,P,2020-06-04,Clase - Lenguaje 1,1:35:59,https://ca.bbcollab.com/recording/772dd1315e9747bda4ada3690ed62244
Lenguaje I,P,2020-06-09,Clase - Lenguaje 1,1:04:37,https://ca.bbcollab.com/recording/0dd58f49fd304c1a933146a233097b07
Lenguaje I,P,2020-06-16,Clase - Lenguaje 1,1:34:48,https://ca.bbcollab.com/recording/9545b79064f34cb58fe0bba09f441a1c
Lenguaje I,P,2020-06-18,Clase - Lenguaje 1,1:36:29,https://ca.bbcollab.com/recording/c0c3885e635d4dcdb1be7163b6cb6294
Lenguaje I,P,2020-06-25,Clase - Lenguaje 1,1:20:16,https://ca.bbcollab.com/recording/bad42651838b4718ada219236dbb6735
Lenguaje I,P,2020-06-27,Clase de recuperación - sábado 4:00 - 5:40 p.m.,1:47:02,https://ca.bbcollab.com/recording/9840c772440e493aab1be8bdd11f8724
Lenguaje I,P,2020-06-30,Clase - Lenguaje 1,1:39:59,https://ca.bbcollab.com/recording/a1b7321b70414b879cc47f3f590ab222
Lenguaje I,P,2020-07-07,Clase - Lenguaje 1,1:20:23,https://ca.bbcollab.com/recording/3752d7277d8b4229b12b822f4fc422e3
Lenguaje I,P,2020-07-09,Clase - Lenguaje 1,1:29:05,https://ca.bbcollab.com/recording/f85b67cb9c3e4332ac5a970b36defbae
Lenguaje I,P,2020-07-09,Clase - Lenguaje 1,1:29:05,https://ca.bbcollab.com/recording/f85b67cb9c3e4332ac5a970b36defbae
