Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje I,T,2020-03-31,Sesión I - Presentación-Verbos irregulares,1:35:51,https://ca.bbcollab.com/recording/07d089f3e53f4db28022fba5975fb105
Lenguaje I,T,2020-04-02,Clase 2 -Oración simple,1:41:05,https://ca.bbcollab.com/recording/0e68d7cc88b74129b477e137c41fab5d
Lenguaje I,T,2020-04-07,Clase 3 -Oración simple/Inicio de O. Compuesta,1:44:32,https://ca.bbcollab.com/recording/075ae7a4e60541bb9c814a34bb18492f
Lenguaje I,T,2020-04-14,Clase 4 - Oración compuesta por coord. Repaso.,1:41:32,https://ca.bbcollab.com/recording/5098efd5f2a84cf5b7550f24b7393c6b
Lenguaje I,T,2020-04-16,Clase 5 PCI,1:29:42,https://ca.bbcollab.com/recording/841558281d4a4f37b8e088c871ea3d60
Lenguaje I,T,2020-04-21,Clase 6 - Proposición suboirdinada sustantiva,1:43:57,https://ca.bbcollab.com/recording/07395a510e1c4f97a8f326a735dd5ae5
Lenguaje I,T,2020-04-23,Clase 7 - PSSust. II/ P.S. Adj.,1:40:33,https://ca.bbcollab.com/recording/e3671a2fd8594d82ae9f84842d185a0e
Lenguaje I,T,2020-04-28,Clase 8 - P.S. Adjetiva,1:39:52,https://ca.bbcollab.com/recording/8a6f1e2e826d42929463548b9a625cb2
Lenguaje I,T,2020-04-30,Clase 9 - PS ADJT. (II),1:38:58,https://ca.bbcollab.com/recording/5ffb936fc1bb4afbbfae7044acc6c927
Lenguaje I,T,2020-05-05,Clase X (PS Adverbial y otras),1:44:54,https://ca.bbcollab.com/recording/7253160b42544a5393e205218257021b
Lenguaje I,T,2020-05-07,Clase XI - PC II,1:30:29,https://ca.bbcollab.com/recording/e72095210efc4f07a9163e9e19f793f8
Lenguaje I,T,2020-05-12,Clase XI - PC II,0:10:16,https://ca.bbcollab.com/recording/93226319034747a38d769f553ff9f203
Lenguaje I,T,2020-05-12,"Clase XII -Sintaxis, entonación y puntuación",1:40:32,https://ca.bbcollab.com/recording/56e6002d74d84656a1376e3ad3e246c8
Lenguaje I,T,2020-05-14,Clase XIII - Errores sintácticos,1:44:08,https://ca.bbcollab.com/recording/d458682260a14003aa4afc43ed3e24c6
Lenguaje I,T,2020-05-26,Clase XIV - Naturaleza del lenguaje I,1:46:32,https://ca.bbcollab.com/recording/70b99965285146e5bbdb53ad09048fd5
Lenguaje I,T,2020-05-28,Clase XV - Nat. del Lenguaje II,1:42:58,https://ca.bbcollab.com/recording/82723bcdff5b4507b0132fb0693672a8
Lenguaje I,T,2020-06-02,Clase XVI- Nat. del lenguaje III,1:44:47,https://ca.bbcollab.com/recording/772bcf9930d64e83b26a107a449cac2c
Lenguaje I,T,2020-06-04,Clase XVII- Lenguaje: base de lo social. Guía 2,1:40:43,https://ca.bbcollab.com/recording/1ebe283312cc4dd3a43ca1e58fa3143c
Lenguaje I,T,2020-06-09,Clase XVIII - Guía 2 - Fin,1:42:28,https://ca.bbcollab.com/recording/cbdb4b739c0f494e82e3df02d9284b77
Lenguaje I,T,2020-06-11,Clase XIX - PCIII,1:27:15,https://ca.bbcollab.com/recording/a47a8ae6abb74499b9df424d8e718739
Lenguaje I,T,2020-06-16,Clase XX - Funciones del Lenguaje I,1:43:14,https://ca.bbcollab.com/recording/8a98277176ec4f25b4033d4172e0cccd
Lenguaje I,T,2020-06-18,Clase XXI - Funciones del Lenguaje II - Denotación y Connotación,1:37:28,https://ca.bbcollab.com/recording/b13859e674e84edc9cc8b962cb443eb5
Lenguaje I,T,2020-06-23,"Clase XXII - Sistema, norma y habla I",1:43:07,https://ca.bbcollab.com/recording/aec80faa66c44296996e2ac2cbc2bc1c
Lenguaje I,T,2020-06-25,"Clase XXIII -Sistema, norma y habla II",1:43:04,https://ca.bbcollab.com/recording/18761ec8f7c843cf91ff2d6497dbb000
Lenguaje I,T,2020-06-30,Clase XXIV - SNH III - Errores,1:45:29,https://ca.bbcollab.com/recording/a0c3b214bc3c4155b7fbf1aeb71eebd4
Lenguaje I,T,2020-07-02,Clase XXV,1:31:31,https://ca.bbcollab.com/recording/636d08f98b18409bba19a55ee1211694
Lenguaje I,T,2020-07-07,Clase XXVI - Paradigma y sintagma,1:41:59,https://ca.bbcollab.com/recording/9baa0b397bff45c09134eb18659edca4
Lenguaje I,T,2020-07-09,Clase XXVII- CIERRE,1:34:39,https://ca.bbcollab.com/recording/a220990a53bd434f9cef89a8849c18f5
Lenguaje I,T,2020-07-09,Clase XXVII- CIERRE,1:34:39,https://ca.bbcollab.com/recording/a220990a53bd434f9cef89a8849c18f5
