Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje II,F,2020-03-31,Sesión 1a (31/03),1:32:48,https://ca.bbcollab.com/recording/5624f0a68b9f484996b7c2cf7703b63d
Lenguaje II,F,2020-04-02,Sesión 1b (02/04),1:47:12,https://ca.bbcollab.com/recording/072f9e4fc8c14ead8a3dbe1eac66f016
Lenguaje II,F,2020-04-07,Sesión 2a (07/04),1:44:00,https://ca.bbcollab.com/recording/8697f3e60f5041509b726fc328b3c46b
Lenguaje II,F,2020-04-14,3a (14/04),1:47:48,https://ca.bbcollab.com/recording/9e8180ee4b35457db31c8416384a238c
Lenguaje II,F,2020-04-16,Sesión 3b (16/04) TP1,1:46:26,https://ca.bbcollab.com/recording/5d9ee800afcb4c4f93125d2942d12e44
Lenguaje II,F,2020-04-21,Sesión 4a (21/04),1:49:20,https://ca.bbcollab.com/recording/3a676b7d4efa42bdab688a64ccb91133
Lenguaje II,F,2020-04-23,Sesión 4b (23/04),1:51:02,https://ca.bbcollab.com/recording/c450a83a7f8d44a79acac179d232de64
Lenguaje II,F,2020-04-28,Sesión 5a (28/04),1:52:05,https://ca.bbcollab.com/recording/792c4113037440b3957049e938dfb3e9
Lenguaje II,F,2020-04-30,Sesión 5b (30/04),1:41:24,https://ca.bbcollab.com/recording/120fcbb5d9c2455082ec7b25e8b1bdde
Lenguaje II,F,2020-05-05,Sesión 6a (05/05),1:47:04,https://ca.bbcollab.com/recording/8d96e6a818f444199859b2bf0d15ff75
Lenguaje II,F,2020-05-07,Sesión 6b (07/05) TP2,1:35:07,https://ca.bbcollab.com/recording/27d9680a8a114e73bfc0982d44541b27
Lenguaje II,F,2020-05-07,Sesión 6b (07/05) TP2,0:05:17,https://ca.bbcollab.com/recording/b1f78c925cc94f94a0b1398004c1505e
Lenguaje II,F,2020-05-12,Sesión 7a (12/05),1:58:59,https://ca.bbcollab.com/recording/e902e4d0866c49b5ae82d6f464dc8ff3
Lenguaje II,F,2020-05-14,7b (14/05),1:50:20,https://ca.bbcollab.com/recording/d0404ba0680d417399266ea7f05a4b84
Lenguaje II,F,2020-05-21,Examen Parcial,2:15:42,https://ca.bbcollab.com/recording/a3c4dfde913e4af49ed596abe5c0507e
Lenguaje II,F,2020-05-26,Sesión 9a (26/05),1:45:58,https://ca.bbcollab.com/recording/b5d71c3a933645fdac59345ae338fe72
Lenguaje II,F,2020-05-28,Sesión 9b (28/05),1:41:58,https://ca.bbcollab.com/recording/93f242328b5745d4ae153b407d912d04
Lenguaje II,F,2020-06-02,Sesión 10a (2/06),1:53:10,https://ca.bbcollab.com/recording/64318da326b841748d94a1cc0233e3ce
Lenguaje II,F,2020-06-04,Sesión 10b (4/06) Simulacro de TP3,1:53:15,https://ca.bbcollab.com/recording/31dce4416e92418c8b74ea1c81597239
Lenguaje II,F,2020-06-09,Sesión 11a (TP3),1:45:49,https://ca.bbcollab.com/recording/fb87b47e5e784855b19df9e7c3882e51
Lenguaje II,F,2020-06-11,11b (11/06),1:49:29,https://ca.bbcollab.com/recording/538e7daa60754210bd337d10f5da1d98
Lenguaje II,F,2020-06-16,Sesión 12a (16/06),1:13:49,https://ca.bbcollab.com/recording/879b56a1386942fbab575ef1321a7c22
Lenguaje II,F,2020-06-18,Sesión 12b (18/06) Simulacro de TP4,1:45:25,https://ca.bbcollab.com/recording/87a00363725542498cab16c047a42f1e
Lenguaje II,F,2020-06-23,Sesión 13a (23/06) TP4,1:43:21,https://ca.bbcollab.com/recording/6df6085d62fb44bd9c80f549e2e6d477
Lenguaje II,F,2020-06-25,Sesión 13b (25/06),1:49:07,https://ca.bbcollab.com/recording/7f81ae3b26674a689fad8b4b7786e2e2
Lenguaje II,F,2020-06-30,Sesión 14a (30/06),1:49:45,https://ca.bbcollab.com/recording/f375563a0e5e4ea6bd03a04036582b2b
Lenguaje II,F,2020-07-02,Sesión 14b (02/07),1:47:14,https://ca.bbcollab.com/recording/b9cd7faf856b499aab5f4fa26c90cb95
Lenguaje II,F,2020-07-07,Sesión 15a (07/02),1:51:03,https://ca.bbcollab.com/recording/bf7f01be9d0d425c9175dee301f18adb
Lenguaje II,F,2020-07-09,Última clase :(,1:05:48,https://ca.bbcollab.com/recording/d1f26739ef0b4f6ebafd6c5e8e4f4803
Lenguaje II,F,2020-07-09,Última clase :(,1:05:48,https://ca.bbcollab.com/recording/d1f26739ef0b4f6ebafd6c5e8e4f4803
Lenguaje II,F,2020-07-16,Examen Final,2:14:05,https://ca.bbcollab.com/recording/e330f5c6f3a44095ba95e0ec06e440a1
