Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Lenguaje II,G,2020-03-31,Clase I-Presentación del curso,1:40:40,https://ca.bbcollab.com/recording/13f02c7126c64b759fadc260893732a2
Lenguaje II,G,2020-04-02,Clase II,1:42:00,https://ca.bbcollab.com/recording/e7e306604e3f43269a8222563fad5f5b
Lenguaje II,G,2020-04-07,Clase III -Esquema y resumen,1:39:29,https://ca.bbcollab.com/recording/491a9f43da974dcea62508aa95ff2be4
Lenguaje II,G,2020-04-14,Clase IV - Repaso de esquema y resumen,1:40:54,https://ca.bbcollab.com/recording/9f780ba8bfd44e8f8dd7f979dacf5012
Lenguaje II,G,2020-04-16,Clase V - Trabajo práctico I,1:40:21,https://ca.bbcollab.com/recording/c45adebcaf564ae68c29e0d0e7549261
Lenguaje II,G,2020-04-21,Clase VI - La organización de la información en el texto,1:42:34,https://ca.bbcollab.com/recording/2f6367834b0f4990b1c1eff8b168f9cf
Lenguaje II,G,2020-04-23,Clase 7- Esquemas de contenido/Etapas del proceso de redacción,1:38:18,https://ca.bbcollab.com/recording/3caf49e3db7d4420bf99373db66d3f0d
Lenguaje II,G,2020-04-28,Clase VIII - Etapas del proceso de redacción (II),1:39:57,https://ca.bbcollab.com/recording/31dc97e1e2b7400a8add4a6ed9ccfcdc
Lenguaje II,G,2020-04-30,Clase IX - Etapas del proceso (III),1:44:25,https://ca.bbcollab.com/recording/55c9db3169264c7f99cd3c9abae59f40
Lenguaje II,G,2020-05-05,Clase X - Repaso etapas del proceso,1:42:05,https://ca.bbcollab.com/recording/8cf19d25608f47afb25129217aee82fb
Lenguaje II,G,2020-05-07,Clase XI - TP II,1:53:22,https://ca.bbcollab.com/recording/b49d4fd7059548bc9599a4236858f98e
Lenguaje II,G,2020-05-12,Clase 12 - Repaso parcial I,1:44:19,https://ca.bbcollab.com/recording/bb0e986f347b458dacc64a579e29a43d
Lenguaje II,G,2020-05-14,Clase 13 - Repaso parcial II,1:40:31,https://ca.bbcollab.com/recording/c480be7084af471bb43f1fd47ffc2c4c
Lenguaje II,G,2020-05-21,Sala para el parcial de Lenguaje II - G,2:06:02,https://ca.bbcollab.com/recording/2ded39ba2db345ab8ff7a2a5b12d3d69
Lenguaje II,G,2020-05-26,Clase XIV - Generalizaciones/Ejemplos/Definiciones,1:39:57,https://ca.bbcollab.com/recording/b74175fd8d594376926a8d0c5a73c9bf
Lenguaje II,G,2020-05-28,Clase XV - Generalizaciones y ejemplos (II),1:41:01,https://ca.bbcollab.com/recording/8ed89a7cbdfb4208972d614c1cdedd07
Lenguaje II,G,2020-06-02,Clase XVI-  Comp.II/Descripción (I),1:45:06,https://ca.bbcollab.com/recording/b0ba025dc1044740b82ddc6732e108df
Lenguaje II,G,2020-06-04,Clase XVII - Fin de Descripción.,1:41:01,https://ca.bbcollab.com/recording/9f20a0a0dc5e4757b5bcb3946cd7b4c7
Lenguaje II,G,2020-06-09,Clase XVII - TPIII,1:48:40,https://ca.bbcollab.com/recording/3db892b6180746238e64e4f133c8ea29
Lenguaje II,G,2020-06-11,Clase XIX - Narración académica I,1:45:45,https://ca.bbcollab.com/recording/ee1213a4199a49f8907a993d2f718d76
Lenguaje II,G,2020-06-16,Clase XX - Narración II,1:41:11,https://ca.bbcollab.com/recording/e8f2f9b20a74495e9becb77ad5f7198e
Lenguaje II,G,2020-06-18,Clase XXI - Narración II,1:44:30,https://ca.bbcollab.com/recording/f1e2d7a7548d4ae29d0305d09623f9f3
Lenguaje II,G,2020-06-23,Clase 22 - TP IV,1:42:38,https://ca.bbcollab.com/recording/f87e01fcd8c14fdf92f79e54711c95f9
Lenguaje II,G,2020-06-25,Clase XXIII - Texto argumentativo I,1:42:00,https://ca.bbcollab.com/recording/48ef2bfcdbd942319ddb57a85acd0db8
Lenguaje II,G,2020-06-30,Clase XXIX - Argumentación II,1:42:57,https://ca.bbcollab.com/recording/3c10d8cb758e4688967ead6eb2c80035
Lenguaje II,G,2020-07-02,Clase XXV - Argumentación III,1:40:48,https://ca.bbcollab.com/recording/602e2a791c5c42e2af569a0c1870bdd3
Lenguaje II,G,2020-07-07,Clase XXVI- Ejercicio argumentativo,1:42:13,https://ca.bbcollab.com/recording/5901aadeee29468f822a20081bd673f5
Lenguaje II,G,2020-07-09,Clase XXVII - CIERRE,1:39:33,https://ca.bbcollab.com/recording/dd9b9d25faea44e4b5b03687349b0a88
Lenguaje II,G,2020-07-09,Clase XXVII - CIERRE,1:39:33,https://ca.bbcollab.com/recording/dd9b9d25faea44e4b5b03687349b0a88
