Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Location Intelligence,A,2020-03-31,Semana 1_1,1:42:07,https://ca.bbcollab.com/recording/2e3ecbad278c4593b5cbeab14f6dbe15
Location Intelligence,A,2020-04-02,Semana 1_2,2:02:56,https://ca.bbcollab.com/recording/e988b4b2bcf446899c59b6d5249da497
Location Intelligence,A,2020-04-07,Semana 2_1,1:55:59,https://ca.bbcollab.com/recording/eb589527920844b0a134bd2fde737ef1
Location Intelligence,A,2020-04-14,Semana 3_1,1:51:46,https://ca.bbcollab.com/recording/23687d7bfdb34816b4782b240e34dbb0
Location Intelligence,A,2020-04-16,Semana 3_2,1:47:40,https://ca.bbcollab.com/recording/59c7ba7102d247f3bf5b84fcbe663ac0
Location Intelligence,A,2020-04-21,Semana 4_1,1:40:28,https://ca.bbcollab.com/recording/f04ef7710b464b48873b238bce66786d
Location Intelligence,A,2020-04-23,Semana 4_2,1:42:28,https://ca.bbcollab.com/recording/51132ae8ae9c4704917cd3c136fc3119
Location Intelligence,A,2020-04-28,Semana 5_1,1:48:35,https://ca.bbcollab.com/recording/f3e1483f6760426ca828b0c53a0e7d89
Location Intelligence,A,2020-04-30,Semana 5_2,1:49:52,https://ca.bbcollab.com/recording/651d2494e86a46758e58dfffbe23768b
Location Intelligence,A,2020-05-05,Semana 6_1,0:21:37,https://ca.bbcollab.com/recording/a997592f00f047ae8a22eb9298483c74
Location Intelligence,A,2020-05-05,Semana 6_1,0:31:08,https://ca.bbcollab.com/recording/dc1c9bae18fe4e02a5c768be992e6683
Location Intelligence,A,2020-05-07,Semana 6_2,0:09:35,https://ca.bbcollab.com/recording/80f29a7af2c34dc18c9d12e1ab792b56
Location Intelligence,A,2020-05-12,Semana7_1,0:34:05,https://ca.bbcollab.com/recording/6c6d07fa8b0c403798ad31cd347aa5d5
Location Intelligence,A,2020-05-12,Semana7_1,0:58:37,https://ca.bbcollab.com/recording/8f367e05646b497a80b870b81bf96eb6
Location Intelligence,A,2020-05-14,Semana7_2,0:19:55,https://ca.bbcollab.com/recording/9146be1d2b0d41208f4c1b0c47372c65
Location Intelligence,A,2020-05-14,Semana7_2,1:16:08,https://ca.bbcollab.com/recording/a60dc819d7124cbca5834a64cfd95599
Location Intelligence,A,2020-05-21,Examen Parcial 2020-I,2:03:59,https://ca.bbcollab.com/recording/f9e8370f0e244872bf33e1889c9d076d
Location Intelligence,A,2020-05-26,Semana 9_1,1:59:00,https://ca.bbcollab.com/recording/2b5942020ee04554a09be754513394e3
Location Intelligence,A,2020-05-28,Semana 9_2,0:13:37,https://ca.bbcollab.com/recording/b5cf80b7fa5644e686f56f162df3df00
Location Intelligence,A,2020-05-28,Semana 9_2,0:14:37,https://ca.bbcollab.com/recording/dd7b92aa0e7049c08d9a79cbcaa07a4a
Location Intelligence,A,2020-06-02,Semana 10_1,1:47:25,https://ca.bbcollab.com/recording/6a8526bc65a0408387229df79c59941a
Location Intelligence,A,2020-06-04,Semana 10_2,1:49:01,https://ca.bbcollab.com/recording/5efc1c7e886b4f43a71c54e8785b4829
Location Intelligence,A,2020-06-09,Semana 11_1,1:55:43,https://ca.bbcollab.com/recording/343e6ca2c7ff4e36a08a5716bcc6f15b
Location Intelligence,A,2020-06-11,Semana 11_2,0:12:01,https://ca.bbcollab.com/recording/697872d4c54c494f9359caaa727f3fab
Location Intelligence,A,2020-06-11,Semana 11_2,1:15:38,https://ca.bbcollab.com/recording/b3ce67f2630c4674bc8df8b3a24e589f
Location Intelligence,A,2020-06-16,Semana 12_1,0:52:34,https://ca.bbcollab.com/recording/85feae6ab50f4d2d9b1a4d37613c402e
Location Intelligence,A,2020-06-18,Semana 12_2,0:26:18,https://ca.bbcollab.com/recording/872a3161a8f144f18d9b43f323bdf638
Location Intelligence,A,2020-06-23,Semana 13_1,1:56:11,https://ca.bbcollab.com/recording/fdba842410794dc68c0a2aa6a3fecbd3
Location Intelligence,A,2020-06-25,Semana 13_2,2:02:55,https://ca.bbcollab.com/recording/6043b4893d6a456aa397d1ac2371d59b
Location Intelligence,A,2020-06-30,Semana 14_1,1:53:41,https://ca.bbcollab.com/recording/e03b85a559b94a5297f11a737b098f30
Location Intelligence,A,2020-07-02,Semana 14_2,2:19:54,https://ca.bbcollab.com/recording/d6189ea40e04403b83a18ba140de4f4e
Location Intelligence,A,2020-07-07,Semana 15_1,1:28:27,https://ca.bbcollab.com/recording/860e43a2e74e44a4a10343e0cc5a4a09
Location Intelligence,A,2020-07-09,Semana 15_2,1:36:16,https://ca.bbcollab.com/recording/274a87a573054b8ebfc97ff151694a7a
