Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Macroeconomía I,B,2020-04-01,Abril 1ero,1:28:51,https://ca.bbcollab.com/recording/43dcbea8b5324938a520dd35dcf300cc
Macroeconomía I,B,2020-04-03,abril 3,0:12:43,https://ca.bbcollab.com/recording/a0d03ccf5e05433f9da51c1478b46278
Macroeconomía I,B,2020-04-03,abril 3,0:12:08,https://ca.bbcollab.com/recording/b07c25bf577e4acf81c07eec606ca000
Macroeconomía I,B,2020-04-06,6 de abril,1:03:29,https://ca.bbcollab.com/recording/4edd72a8c9424bc1b01644ad7a059703
Macroeconomía I,B,2020-04-13,13 de abril,1:17:27,https://ca.bbcollab.com/recording/3d701dceb7a24c96b56297b18faaacaa
Macroeconomía I,B,2020-04-15,Abril 15,1:26:03,https://ca.bbcollab.com/recording/22dcd328a7ba43f9a1571db7e1eb7cf5
Macroeconomía I,B,2020-04-17,PD2,1:21:49,https://ca.bbcollab.com/recording/c563fe3d28bc40eea5232172b8f5f55e
Macroeconomía I,B,2020-04-20,Abril 20,1:31:14,https://ca.bbcollab.com/recording/9d2a7ced8c5544ada3d0a73705485e71
Macroeconomía I,B,2020-04-22,Abril 22,1:26:24,https://ca.bbcollab.com/recording/3985420aaba5464f970e31df26239ba2
Macroeconomía I,B,2020-04-24,PD 3,1:37:59,https://ca.bbcollab.com/recording/2a14935431eb4d4392094c5c82eca21c
Macroeconomía I,B,2020-04-27,abril 27,1:24:01,https://ca.bbcollab.com/recording/0f95a2786d584005b14afc45d7b63fa1
Macroeconomía I,B,2020-04-29,Abril 29,1:39:09,https://ca.bbcollab.com/recording/a4706fe5a1dd4e99b49f744fe3966f23
Macroeconomía I,B,2020-05-02,Revisión PS,0:34:57,https://ca.bbcollab.com/recording/c1e91bd03dd544f298a618389bdd9aec
Macroeconomía I,B,2020-05-04,Mayo 4,0:26:29,https://ca.bbcollab.com/recording/3cd811f255564e3ea712f59867e11daa
Macroeconomía I,B,2020-05-04,Mayo 4,0:28:28,https://ca.bbcollab.com/recording/72b511dcc1184bbaa0df902221e12268
Macroeconomía I,B,2020-05-04,mayo 4 - 2do intento,0:47:28,https://ca.bbcollab.com/recording/9418a2468506406bb271cbcbc1049d6c
Macroeconomía I,B,2020-05-06,Mayo 6,1:31:07,https://ca.bbcollab.com/recording/0f4f93b445194a50b98e770dcb21ca6e
Macroeconomía I,B,2020-05-08,PD 4: Inversión,1:51:06,https://ca.bbcollab.com/recording/8ab1fa0bd3334f578702fe29a5591ab6
Macroeconomía I,B,2020-05-11,May 11,1:10:06,https://ca.bbcollab.com/recording/7ebe53d0ef684ffeadf6f671737fa993
Macroeconomía I,B,2020-05-13,Mayo 13,1:10:20,https://ca.bbcollab.com/recording/3cfcb21e41394d9ebeb928a1f12f4e24
Macroeconomía I,B,2020-05-15,PD 5,0:43:52,https://ca.bbcollab.com/recording/088038d93f904c9cbf35d09816fc3c59
